Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,65.0,0.0,65.0,65.0,65.0,0.0,0.0,0.0,4.0,0.310853,0.23331975184925946,0.457199,0.041784,0.433576,,-1.7120974508726823,0.17937933333333334,65.0,0.0,65,65,65.0,0.0,0.0,0.0,4,0.310853,0.23331975184925946,0.457199,0.041784,0.433576,,-1.7120974508726823,0.17937933333333334,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,6.0,0.0278972,0.01071643213481054,0.044707,0.0157,0.027294,1.7315274993025866,0.9483040520288744,0.007175039999999999,59.0,0.0,59,59,59.0,0.0,0.0,0.0,6,0.0278972,0.01071643213481054,0.044707,0.0157,0.027294,1.7315274993025866,0.9483040520288744,0.007175039999999999,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,13.0,0.08678400000000001,0.10227367989059373,0.303775,0.010385,0.036865999999999996,0.4707415397476442,1.4108485247531395,0.08208783333333335,59.0,0.0,59,59,59.0,0.0,0.0,0.0,13,0.08678400000000001,0.10227367989059373,0.303775,0.010385,0.036865999999999996,0.4707415397476442,1.4108485247531395,0.08208783333333335,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,7.0,0.115775,0.12466041168711099,0.303775,0.010385,0.058082499999999995,-1.255856497745932,0.9727017852666285,0.10468566666666666,59.0,0.0,59,59,59.0,0.0,0.0,0.0,7,0.115775,0.12466041168711099,0.303775,0.010385,0.058082499999999995,-1.255856497745932,0.9727017852666285,0.10468566666666666,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,52.666666666666664,2.309401076758503,54.0,50.0,54.0,,-1.732050807568868,1.7777777777777786,3.0,0.19682149999999998,0.24125846977981932,0.367417,0.026226,0.19682149999999998,,,0.1705955,52.666666666666664,2.309401076758503,54,50,54.0,,-1.732050807568868,1.7777777777777786,3,0.19682149999999998,0.24125846977981932,0.367417,0.026226,0.19682149999999998,,,0.1705955,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,52.666666666666664,2.309401076758503,54.0,50.0,54.0,,-1.732050807568868,1.7777777777777786,3.0,0.19682149999999998,0.24125846977981932,0.367417,0.026226,0.19682149999999998,,,0.1705955,52.666666666666664,2.309401076758503,54,50,54.0,,-1.732050807568868,1.7777777777777786,3,0.19682149999999998,0.24125846977981932,0.367417,0.026226,0.19682149999999998,,,0.1705955,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.117007,,0.117007,0.117007,0.117007,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.117007,,0.117007,0.117007,0.117007,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,9.0,0.09482962500000001,0.043135498225069804,0.162386,0.046794,0.083982,-1.1639193638540193,0.5830958914668493,0.03547153125000001,59.0,0.0,59,59,59.0,0.0,0.0,0.0,9,0.09482962500000001,0.043135498225069804,0.162386,0.046794,0.083982,-1.1639193638540193,0.5830958914668493,0.03547153125000001,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,7.0,0.08244133333333332,0.042171491904682085,0.162386,0.046794,0.0718925,3.334126612957901,1.739328565092647,0.028670444444444443,59.0,0.0,59,59,59.0,0.0,0.0,0.0,7,0.08244133333333332,0.042171491904682085,0.162386,0.046794,0.0718925,3.334126612957901,1.739328565092647,0.028670444444444443,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvancePlug3_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.06288049999999999,0.055640111291225855,0.102224,0.023537,0.06288049999999999,,,0.039343499999999997,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.06288049999999999,0.055640111291225855,0.102224,0.023537,0.06288049999999999,,,0.039343499999999997,,,,,,,,,,,,,,,,,
