Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Vibration,Vibration,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,52.0,7.0710678118654755,57.0,47.0,52.0,,,5.0,2.0,0.164888,,0.164888,0.164888,0.164888,,,0.0,53.666666666666664,5.773502691896258,57,47,57.0,,-1.7320508075688732,4.4444444444444455,3,0.082444,0.07200044088753901,0.133356,0.031532,0.082444,,,0.050912,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,58.333333333333336,1.0327955589886444,59,57,59.0,-1.8749999999999787,-0.9682458365518647,0.8888888888888881,6,0.17351719999999998,0.12907468190818835,0.271452,0.01378,0.260139,-3.034024777685584,-0.6536659844721308,0.11242256000000002,58.333333333333336,1.0327955589886444,59.0,57.0,59.0,-1.8749999999999787,-0.9682458365518647,0.8888888888888881,6.0,0.17351719999999998,0.12907468190818835,0.271452,0.01378,0.260139,-3.034024777685584,-0.6536659844721308,0.11242256000000002
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.14559450000000002,0.18657224553641413,0.277521,0.013668,0.14559450000000002,,,0.1319265,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.14559450000000002,0.18657224553641413,0.277521,0.013668,0.14559450000000002,,,0.1319265
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.343027,,0.343027,0.343027,0.343027,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.343027,,0.343027,0.343027,0.343027,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.3087615,0.004438509265507982,0.3119,0.305623,0.3087615,,,0.0031385000000000163,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.3087615,0.004438509265507982,0.3119,0.305623,0.3087615,,,0.0031385000000000163
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.372319,,0.372319,0.372319,0.372319,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.372319,,0.372319,0.372319,0.372319,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.272564,,0.272564,0.272564,0.272564,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.272564,,0.272564,0.272564,0.272564,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,57.0,0.0,57,57,57.0,,,0.0,2,0.044545,,0.044545,0.044545,0.044545,,,0.0,57.0,0.0,57.0,57.0,57.0,,,0.0,2.0,0.044545,,0.044545,0.044545,0.044545,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.368953,,0.368953,0.368953,0.368953,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.368953,,0.368953,0.368953,0.368953,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.323542,,0.323542,0.323542,0.323542,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.323542,,0.323542,0.323542,0.323542,,,0.0
