Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Door 1,Door,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,16.0,0.10684353333333334,0.23462345615775404,0.815571,0.003472,0.004104,5.826031121318784,2.437016498891453,0.16454938666666669,52.0,0.0,52,52,52.0,0.0,0.0,0.0,16,0.10684353333333334,0.23462345615775404,0.815571,0.003472,0.004104,5.826031121318784,2.437016498891453,0.16454938666666669,,,,,,,,,,,,,,,,,
Aqara Door 1,Door,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,4.0,0.004,0.00048444607543048594,0.004424,0.003472,0.004104,,-0.9215296355310045,0.00035200000000000005,52.0,0.0,52,52,52.0,0.0,0.0,0.0,4,0.004,0.00048444607543048594,0.004424,0.003472,0.004104,,-0.9215296355310045,0.00035200000000000005,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.453445,0.15251161899343932,0.561287,0.345603,0.453445,,,0.107842,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.453445,0.15251161899343932,0.561287,0.345603,0.453445,,,0.107842
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,57.8,6.572670690061994,65,47,59.0,2.916666666666659,-1.2932338163316397,4.320000000000002,5,0.23435275,0.2725261826239514,0.615014,0.026286,0.1480555,1.0378542301183007,1.309577317583002,0.19683374999999997,57.8,6.572670690061994,65.0,47.0,59.0,2.916666666666659,-1.2932338163316397,4.320000000000002,5.0,0.23435275,0.2725261826239514,0.615014,0.026286,0.1480555,1.0378542301183007,1.309577317583002,0.19683374999999997
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,60.333333333333336,2.6457513110645907,65,59,59.0,0.7346938775510097,1.6198477414681134,2.0740740740740753,9,0.18003199999999997,0.11219132441885665,0.32692,0.026286,0.190149,-1.6772377988070266,-0.17410036882522517,0.09732824999999999,60.333333333333336,2.6457513110645907,65.0,59.0,59.0,0.7346938775510097,1.6198477414681134,2.0740740740740753,9.0,0.18003199999999997,0.11219132441885665,0.32692,0.026286,0.190149,-1.6772377988070266,-0.17410036882522517,0.09732824999999999
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,60.2,2.6832815729997477,65,59,59.0,4.999999999999972,2.2360679774997845,1.9200000000000017,5,0.215674,0.10324240288757328,0.32692,0.122838,0.206469,-4.950245009733875,0.16748453253883594,0.08778549999999999,60.2,2.6832815729997477,65.0,59.0,59.0,4.999999999999972,2.2360679774997845,1.9200000000000017,5.0,0.215674,0.10324240288757328,0.32692,0.122838,0.206469,-4.950245009733875,0.16748453253883594,0.08778549999999999
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.389555,,0.389555,0.389555,0.389555,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.389555,,0.389555,0.389555,0.389555,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.389555,,0.389555,0.389555,0.389555,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.389555,,0.389555,0.389555,0.389555,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.09986625,0.12569367353576977,0.282816,0.015742,0.0504535,2.699185545864875,1.6770143692590271,0.09147487500000001,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.09986625,0.12569367353576977,0.282816,0.015742,0.0504535,2.699185545864875,1.6770143692590271,0.09147487500000001
Broadcast,Broadcast,./Data\Power\Topology_A\4-Group_dataset\powerPhilipsLamp2-1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,7,0.13123766666666667,0.10890589951451973,0.282816,0.015742,0.134433,-1.75562460673033,0.21441843061164473,0.09235466666666665,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,7.0,0.13123766666666667,0.10890589951451973,0.282816,0.015742,0.134433,-1.75562460673033,0.21441843061164473,0.09235466666666665
