Packet Number,Device Name,Device Type,Source Address,Destination Address,Device Name Destination,Device Type Destination,Source Address ZigBee,Device Name ZigBee,Device Type ZigBee,Destination Address ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Human Command,Packet Type,Command String
1,Aqara Motion,Motion,0x27d7,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,,
2,Coordinator,Coordinator,0x0000,0x27d7,Aqara Motion,Motion,,Unknown,Unknown,,,,0,Ack,
3,Ledvance Smart+ Plug,Socket,0x0112,0xffff,Broadcast,Broadcast,0x0112,Ledvance Smart+ Plug,Socket,0xfffc,Broadcast,Broadcast,0,Link Status (0x08),
4,Smart Socket,Socket,0xe1a6,0xffff,Broadcast,Broadcast,0xe1a6,Smart Socket,Socket,0xfffc,Broadcast,Broadcast,0,Link Status (0x08),
5,Smart Socket,Socket,0xe1a6,0xffff,Broadcast,Broadcast,,Unknown,Unknown,,,,0,,
6,Power Plug 2,Socket,0xa706,0xffff,Broadcast,Broadcast,0xe1a6,Smart Socket,Socket,0xfffc,Broadcast,Broadcast,0,Route Request (0x01),
7,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,Route Reply (0x02),
8,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,Route Reply (0x02),
9,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Ack,
10,Unknown,Unknown,,,Unknown,Unknown,,Unknown,Unknown,,,,0,Ack,
11,Smart Socket,Socket,0xe1a6,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,,
12,Power Plug 2,Socket,0xa706,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,Ack,
13,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,,
14,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Ack,
15,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,,
16,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,Ack,
17,Power Plug 2,Socket,0xa706,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,,
18,Smart Socket,Socket,0xe1a6,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Ack,
19,Smart Socket,Socket,0xe1a6,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,,
20,Power Plug 2,Socket,0xa706,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,Ack,
21,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,,
22,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,APS: Ack,
23,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,Ack,
24,Smart Socket,Socket,0xe1a6,0xa706,Power Plug 2,Socket,,Unknown,Unknown,,,,0,,
25,Power Plug 2,Socket,0xa706,0xe1a6,Smart Socket,Socket,,Unknown,Unknown,,,,0,Ack,
26,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,,Unknown,Unknown,,,,0,,
