Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-29 15:43:08.000000,53,0x0112,0xffff,33.0,0x0112,0xfffc,0.0
2023-10-29 15:43:10.851179,57,0x27d7,0x0000,141.0,,,2.851179
2023-10-29 15:43:10.853386,5,0x0000,0x27d7,141.0,,,0.002207
2023-10-29 15:43:11.782232,65,0xec7f,0xffff,213.0,0xec7f,0xfffd,0.928846
2023-10-29 15:43:11.785970,47,0xec7f,0xffff,214.0,,,0.003738
2023-10-29 15:43:11.789195,64,0xec7f,0xffff,215.0,0xec7f,0xfffd,0.003225
2023-10-29 15:43:11.819754,53,0x0112,0xffff,34.0,,,0.030559
2023-10-29 15:43:11.825835,57,0x0000,0xec7f,192.0,,,0.006081
2023-10-29 15:43:11.828029,5,0xec7f,0x0000,192.0,,,0.002194
2023-10-29 15:43:11.832053,55,0xec7f,0x0000,216.0,,,0.004024
2023-10-29 15:43:11.834196,5,0x0000,0xec7f,216.0,,,0.002143
2023-10-29 15:43:11.839135,65,0x0000,0xffff,193.0,,,0.004939
2023-10-29 15:43:11.850482,49,0x0000,0xec7f,194.0,0x0000,0xec7f,0.011347
2023-10-29 15:43:11.852420,5,0xec7f,0x0000,194.0,,,0.001938
2023-10-29 15:43:11.852796,107,0xa706,0xffff,66.0,,,0.000376
2023-10-29 15:43:11.863655,59,0x0000,0xec7f,195.0,0x0000,0xec7f,0.010859
2023-10-29 15:43:11.865912,5,0xec7f,0x0000,195.0,,,0.002257
2023-10-29 15:43:11.867453,64,0x0112,0xffff,36.0,,,0.001541
2023-10-29 15:43:11.871128,64,0x0000,0xffff,196.0,,,0.003675
2023-10-29 15:43:11.874548,55,0xec7f,0x0000,217.0,0xec7f,0x0000,0.00342
2023-10-29 15:43:11.876690,5,0x0000,0xec7f,217.0,,,0.002142
2023-10-29 15:43:11.878289,55,0xec7f,0x0000,218.0,,,0.001599
2023-10-29 15:43:11.880432,5,0x0000,0xec7f,218.0,,,0.002143
2023-10-29 15:43:11.882719,64,0xa706,0xffff,67.0,0xec7f,0xfffd,0.002287
2023-10-29 15:43:11.889078,45,0xec7f,0x0000,219.0,,,0.006359
