Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-29 17:46:25.000000,50,0x0000,0xec7f,227,0x0000,0xec7f,0.0
2023-10-29 17:46:25.004950,50,0x0000,0xec7f,227,0x0000,0xec7f,0.00495
2023-10-29 17:46:25.010401,50,0x0000,0xec7f,227,0x0000,0xec7f,0.005451
2023-10-29 17:46:25.015366,50,0x0000,0xec7f,227,0x0000,0xec7f,0.004965
2023-10-29 17:46:25.065041,50,0x0000,0xec7f,228,,,0.049675
2023-10-29 17:46:25.068918,50,0x0000,0xec7f,228,,,0.003877
2023-10-29 17:46:25.073679,50,0x0000,0xec7f,228,,,0.004761
2023-10-29 17:46:25.077850,50,0x0000,0xec7f,228,,,0.004171
2023-10-29 17:46:25.124200,50,0x0000,0xec7f,229,0x0000,0xec7f,0.04635
2023-10-29 17:46:25.127435,50,0x0000,0xec7f,229,0x0000,0xec7f,0.003235
2023-10-29 17:46:25.132618,50,0x0000,0xec7f,229,0x0000,0xec7f,0.005183
2023-10-29 17:46:25.188015,50,0x0000,0xec7f,230,0x0000,0xec7f,0.055397
2023-10-29 17:46:25.205050,50,0x0000,0xec7f,230,0x0000,0xec7f,0.017035
2023-10-29 17:46:25.208600,50,0x0000,0xec7f,230,0x0000,0xec7f,0.00355
2023-10-29 17:46:25.212720,50,0x0000,0xec7f,230,0x0000,0xec7f,0.00412
2023-10-29 17:46:27.398314,47,0x0000,0xffff,231,,,2.185594
2023-10-29 17:46:28.472580,57,0x0112,0xffff,6,,,1.074266
2023-10-29 17:46:28.515090,57,0x0000,0xffff,232,,,0.04251
2023-10-29 17:46:28.522107,59,0x0000,0xffff,233,0x0000,0xfffc,0.007017
2023-10-29 17:46:28.552958,69,0x0112,0x0000,7,,,0.030851
2023-10-29 17:46:28.555548,5,0x0000,0x0112,7,,,0.00259
2023-10-29 17:46:28.713503,49,0x0000,0x0112,234,0x0000,0x0112,0.157955
2023-10-29 17:46:28.715461,5,0x0112,0x0000,234,,,0.001958
2023-10-29 17:46:28.744015,50,0x0112,0x0000,8,0x0112,0x0000,0.028554
2023-10-29 17:46:28.745998,5,0x0000,0x0112,8,,,0.001983
2023-10-29 17:46:28.833558,59,0x0000,0xffff,235,,,0.08756
2023-10-29 17:46:28.972946,57,0x0112,0xffff,9,,,0.139388
2023-10-29 17:46:29.208605,59,0x0000,0xffff,236,0x0000,0xfffc,0.235659
2023-10-29 17:46:29.430151,52,0x0112,0x0000,10,,,0.221546
2023-10-29 17:46:29.432198,5,0x0000,0x0112,10,,,0.002047
2023-10-29 17:46:29.477243,57,0x0112,0xffff,11,,,0.045045
2023-10-29 17:46:29.509186,59,0x0000,0xffff,237,0x0000,0xfffc,0.031943
2023-10-29 17:46:30.504405,56,0x0112,0xffff,12,,,0.995219
2023-10-29 17:46:37.134292,50,0x0000,0x1cd8,238,0x0000,0x1cd8,6.629887
2023-10-29 17:46:37.138006,50,0x0000,0x1cd8,238,0x0000,0x1cd8,0.003714
2023-10-29 17:46:37.142128,50,0x0000,0x1cd8,238,0x0000,0x1cd8,0.004122
2023-10-29 17:46:37.145441,50,0x0000,0x1cd8,238,0x0000,0x1cd8,0.003313
2023-10-29 17:46:37.173771,50,0x0000,0x1cd8,239,0x0000,0x1cd8,0.02833
2023-10-29 17:46:37.186122,50,0x0000,0x1cd8,239,0x0000,0x1cd8,0.012351
2023-10-29 17:46:37.189898,50,0x0000,0x1cd8,239,0x0000,0x1cd8,0.003776
