Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-29 16:07:20.000000,52,0x0000,0xe1a6,145,,,0.0
2023-10-29 16:07:20.005767,52,0x0000,0xe1a6,145,,,0.005767
2023-10-29 16:07:20.010388,52,0x0000,0xe1a6,145,,,0.004621
2023-10-29 16:07:20.019108,52,0x0000,0xe1a6,145,,,0.00872
2023-10-29 16:07:20.027380,59,0x0000,0xffff,146,0x0000,0xfffc,0.008272
2023-10-29 16:07:20.036257,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.008877
2023-10-29 16:07:20.041827,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.00557
2023-10-29 16:07:20.047158,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.005331
2023-10-29 16:07:20.051520,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.004362
2023-10-29 16:07:20.059808,54,0x0000,0x0112,148,,,0.008288
2023-10-29 16:07:20.064322,54,0x0000,0x0112,148,,,0.004514
2023-10-29 16:07:20.068625,54,0x0000,0x0112,148,,,0.004303
2023-10-29 16:07:20.073126,54,0x0000,0x0112,148,,,0.004501
2023-10-29 16:07:20.081106,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.00798
2023-10-29 16:07:20.084351,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.003245
2023-10-29 16:07:20.087854,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.003503
2023-10-29 16:07:20.092058,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.004204
2023-10-29 16:07:20.101878,54,0x0000,0xe1a6,150,,,0.00982
2023-10-29 16:07:20.107672,54,0x0000,0xe1a6,150,,,0.005794
2023-10-29 16:07:20.111869,54,0x0000,0xe1a6,150,,,0.004197
2023-10-29 16:07:20.117011,54,0x0000,0xe1a6,150,,,0.005142
2023-10-29 16:07:20.126899,54,0x0000,0x0112,151,,,0.009888
2023-10-29 16:07:20.132455,54,0x0000,0x0112,151,,,0.005556
2023-10-29 16:07:20.136331,54,0x0000,0x0112,151,,,0.003876
2023-10-29 16:07:20.139695,54,0x0000,0x0112,151,,,0.003364
2023-10-29 16:07:20.148276,52,0x0000,0xe1a6,152,,,0.008581
2023-10-29 16:07:20.152124,52,0x0000,0xe1a6,152,,,0.003848
2023-10-29 16:07:20.156013,52,0x0000,0xe1a6,152,,,0.003889
2023-10-29 16:07:20.160833,52,0x0000,0xe1a6,152,,,0.00482
2023-10-29 16:07:20.169475,54,0x0000,0xe1a6,153,,,0.008642
2023-10-29 16:07:20.173028,54,0x0000,0xe1a6,153,,,0.003553
2023-10-29 16:07:20.177318,54,0x0000,0xe1a6,153,,,0.00429
2023-10-29 16:07:20.182461,54,0x0000,0xe1a6,153,,,0.005143
2023-10-29 16:07:20.190767,54,0x0000,0x0112,154,,,0.008306
2023-10-29 16:07:20.196561,54,0x0000,0x0112,154,,,0.005794
2023-10-29 16:07:20.201399,54,0x0000,0x0112,154,,,0.004838
2023-10-29 16:07:20.206999,54,0x0000,0x0112,154,,,0.0056
2023-10-29 16:07:20.214444,52,0x0000,0xe1a6,155,0x0000,0xe1a6,0.007445
2023-10-29 16:07:20.218279,52,0x0000,0xe1a6,155,0x0000,0xe1a6,0.003835
2023-10-29 16:07:20.223468,52,0x0000,0xe1a6,155,0x0000,0xe1a6,0.005189
2023-10-29 16:07:20.226730,52,0x0000,0xe1a6,155,0x0000,0xe1a6,0.003262
2023-10-29 16:07:20.235106,54,0x0000,0xe1a6,156,0x0000,0xe1a6,0.008376
2023-10-29 16:07:20.239667,54,0x0000,0xe1a6,156,0x0000,0xe1a6,0.004561
2023-10-29 16:07:20.244169,54,0x0000,0xe1a6,156,0x0000,0xe1a6,0.004502
2023-10-29 16:07:20.248709,54,0x0000,0xe1a6,156,0x0000,0xe1a6,0.00454
2023-10-29 16:07:20.255716,54,0x0000,0x0112,157,,,0.007007
2023-10-29 16:07:20.261112,54,0x0000,0x0112,157,,,0.005396
2023-10-29 16:07:20.265138,54,0x0000,0x0112,157,,,0.004026
2023-10-29 16:07:20.275848,54,0x0000,0x0112,157,,,0.01071
