Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-29 17:02:10.000000,57,0x27d7,0x0000,206.0,,,0.0
2023-10-29 17:02:10.002207,5,0x0000,0x27d7,206.0,,,0.002207
2023-10-29 17:02:10.017357,107,0xc177,,,,,0.01515
2023-10-29 17:02:11.840955,59,0x1cd8,0xffff,72.0,0x1cd8,0xfffc,1.823598
2023-10-29 17:02:11.847416,47,0x1cd8,0xffff,73.0,,,0.006461
2023-10-29 17:02:12.228918,59,0x1cd8,0xffff,74.0,,,0.381502
2023-10-29 17:02:12.404168,50,0x0000,0xffff,179.0,0x0000,0xfffc,0.17525
2023-10-29 17:02:12.568219,59,0x1cd8,0xffff,75.0,,,0.164051
2023-10-29 17:02:12.850636,59,0x1cd8,0xffff,76.0,0x1cd8,0xfffc,0.282417
2023-10-29 17:02:13.210819,10,,0xffff,77.0,,,0.360183
2023-10-29 17:02:13.306382,28,0x0000,,180.0,,,0.095563
2023-10-29 17:02:15.008373,55,0x1cd8,0x0000,93.0,0x1cd8,0x0000,1.701991
2023-10-29 17:02:15.010515,5,0x0000,0x1cd8,93.0,,,0.002142
2023-10-29 17:02:15.056764,48,0x1cd8,0x0000,94.0,,,0.046249
2023-10-29 17:02:15.058682,5,0x0000,0x1cd8,94.0,,,0.001918
2023-10-29 17:02:15.073112,62,0x0000,0x1cd8,181.0,,,0.01443
2023-10-29 17:02:15.075479,5,0x1cd8,0x0000,181.0,,,0.002367
2023-10-29 17:02:15.080932,45,0x0000,0x1cd8,182.0,,,0.005453
2023-10-29 17:02:15.082754,5,0x1cd8,0x0000,182.0,,,0.001822
2023-10-29 17:02:15.086403,55,0x1cd8,0x0000,95.0,0x1cd8,0x0000,0.003649
2023-10-29 17:02:15.088546,5,0x0000,0x1cd8,95.0,,,0.002143
2023-10-29 17:02:15.096185,55,0x1cd8,0x0000,96.0,0x1cd8,0x0000,0.007639
2023-10-29 17:02:15.098328,5,0x0000,0x1cd8,96.0,,,0.002143
2023-10-29 17:02:15.099625,55,0x1cd8,0x0000,96.0,0x1cd8,0x0000,0.001297
2023-10-29 17:02:15.101768,5,0x0000,0x1cd8,96.0,,,0.002143
2023-10-29 17:02:15.102219,45,0x0000,0x1cd8,183.0,0x0000,0x1cd8,0.000451
2023-10-29 17:02:15.104042,5,0x1cd8,0x0000,183.0,,,0.001823
2023-10-29 17:02:15.129683,58,0x1cd8,0x0000,97.0,0x1cd8,0x0000,0.025641
2023-10-29 17:02:15.131921,5,0x0000,0x1cd8,97.0,,,0.002238
2023-10-29 17:02:15.134492,58,0x1cd8,0x0000,97.0,0x1cd8,0x0000,0.002571
2023-10-29 17:02:15.136731,5,0x0000,0x1cd8,97.0,,,0.002239
2023-10-29 17:02:15.139383,45,0x1cd8,0x0000,98.0,0x1cd8,0x0000,0.002652
2023-10-29 17:02:15.141206,5,0x0000,0x1cd8,98.0,,,0.001823
2023-10-29 17:02:15.159074,90,0x0000,0x1cd8,184.0,,,0.017868
2023-10-29 17:02:15.162337,5,0x1cd8,0x0000,184.0,,,0.003263
2023-10-29 17:02:15.169665,55,0x1cd8,0x0000,99.0,,,0.007328
2023-10-29 17:02:15.171808,5,0x0000,0x1cd8,99.0,,,0.002143
2023-10-29 17:02:15.215711,65,0x1cd8,0x0000,100.0,,,0.043903
2023-10-29 17:02:15.218174,5,0x0000,0x1cd8,100.0,,,0.002463
2023-10-29 17:02:15.224204,50,0x1cd8,0xffff,101.0,,,0.00603
2023-10-29 17:02:15.234372,39,0x0000,0x1cd8,185.0,,,0.010168
2023-10-29 17:02:15.236003,5,0x1cd8,0x0000,185.0,,,0.001631
2023-10-29 17:02:15.241470,67,0x0000,0x1cd8,186.0,0x0000,0x1cd8,0.005467
2023-10-29 17:02:15.243997,5,0x1cd8,0x0000,186.0,,,0.002527
2023-10-29 17:02:15.248284,55,0x1cd8,0x0000,102.0,0x1cd8,0x0000,0.004287
2023-10-29 17:02:15.250427,5,0x0000,0x1cd8,102.0,,,0.002143
2023-10-29 17:02:15.299427,48,0x1cd8,0x0000,103.0,,,0.049
2023-10-29 17:02:15.301346,5,0x0000,0x1cd8,103.0,,,0.001919
2023-10-29 17:02:16.003111,65,0x1cd8,0xffff,104.0,0x1cd8,0xfffd,0.701765
2023-10-29 17:02:16.031229,65,0x0000,0xffff,187.0,,,0.028118
2023-10-29 17:02:16.048737,49,0x0000,0x1cd8,188.0,,,0.017508
2023-10-29 17:02:16.050689,5,0x1cd8,0x0000,188.0,,,0.001952
2023-10-29 17:02:16.457653,65,0x1cd8,0xffff,105.0,0x1cd8,0xfffd,0.406964
