Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-29 17:57:54.000000,54,0x0000,0xec7f,136.0,0x0000,0x711c,0.0
2023-10-29 17:57:54.003923,54,0x0000,0xec7f,136.0,0x0000,0x711c,0.003923
2023-10-29 17:57:54.009005,54,0x0000,0xec7f,136.0,0x0000,0x711c,0.005082
2023-10-29 17:57:54.013969,54,0x0000,0xec7f,136.0,0x0000,0x711c,0.004964
2023-10-29 17:57:54.057283,54,0x0000,0xec7f,137.0,,,0.043314
2023-10-29 17:57:54.105287,54,0x0000,0xec7f,138.0,,,0.048004
2023-10-29 17:57:54.130334,54,0x0000,0xec7f,138.0,,,0.025047
2023-10-29 17:57:54.208885,54,0x0000,0xec7f,139.0,,,0.078551
2023-10-29 17:57:54.212075,54,0x0000,0xec7f,139.0,,,0.00319
2023-10-29 17:57:54.215292,54,0x0000,0xec7f,139.0,,,0.003217
2023-10-29 17:57:54.218573,54,0x0000,0xec7f,139.0,,,0.003281
2023-10-29 17:57:54.281455,54,0x0000,0xec7f,140.0,,,0.062882
2023-10-29 17:57:54.285426,54,0x0000,0xec7f,140.0,,,0.003971
2023-10-29 17:57:54.293646,54,0x0000,0xec7f,140.0,,,0.00822
2023-10-29 17:57:54.296902,54,0x0000,0xec7f,140.0,,,0.003256
2023-10-29 17:57:54.346588,54,0x0000,0xec7f,141.0,,,0.049686
2023-10-29 17:57:54.350811,54,0x0000,0xec7f,141.0,,,0.004223
2023-10-29 17:57:54.356236,54,0x0000,0xec7f,141.0,,,0.005425
2023-10-29 17:57:54.359982,54,0x0000,0xec7f,141.0,,,0.003746
2023-10-29 17:57:54.414061,54,0x0000,0xec7f,142.0,0x0000,0x711c,0.054079
2023-10-29 17:57:54.417564,54,0x0000,0xec7f,142.0,0x0000,0x711c,0.003503
2023-10-29 17:57:54.422899,54,0x0000,0xec7f,142.0,0x0000,0x711c,0.005335
2023-10-29 17:57:54.427287,54,0x0000,0xec7f,142.0,0x0000,0x711c,0.004388
2023-10-29 17:57:54.481672,54,0x0000,0xec7f,143.0,0x0000,0x711c,0.054385
2023-10-29 17:57:54.485649,54,0x0000,0xec7f,143.0,0x0000,0x711c,0.003977
2023-10-29 17:57:54.488961,54,0x0000,0xec7f,143.0,0x0000,0x711c,0.003312
2023-10-29 17:57:59.598289,47,0xa706,0xffff,234.0,,,5.109328
2023-10-29 17:57:59.640330,51,0xa706,0xffff,235.0,,,0.042041
2023-10-29 17:57:59.845168,50,0x0000,0xffff,144.0,,,0.204838
2023-10-29 17:57:59.896130,51,0xa706,0xffff,236.0,,,0.050962
2023-10-29 17:58:00.150377,51,0xa706,0xffff,237.0,0xa706,0xfffc,0.254247
2023-10-29 17:58:00.404488,51,0xa706,0xffff,238.0,,,0.254111
2023-10-29 17:58:00.658721,51,0xa706,0xffff,239.0,0xa706,0xfffc,0.254233
2023-10-29 17:58:03.120762,59,0xa706,0xffff,240.0,0xa706,0xfffc,2.462041
2023-10-29 17:58:03.376358,59,0xa706,0xffff,241.0,0xa706,0xfffc,0.255596
2023-10-29 17:58:03.630562,59,0xa706,0xffff,242.0,0xa706,0xfffc,0.254204
2023-10-29 17:58:03.884805,59,0xa706,0xffff,243.0,0xa706,0xfffc,0.254243
2023-10-29 17:58:04.138890,59,0xa706,0xffff,244.0,,,0.254085
2023-10-29 17:58:04.724660,59,0xa706,0xffff,245.0,,,0.58577
2023-10-29 17:58:04.980403,59,0xa706,0xffff,246.0,0xa706,0xfffc,0.255743
2023-10-29 17:58:05.234419,59,0xa706,0xffff,247.0,,,0.254016
2023-10-29 17:58:05.488484,59,0xa706,0xffff,248.0,,,0.254065
2023-10-29 17:58:05.742731,59,0xa706,0xffff,249.0,,,0.254247
2023-10-29 17:58:14.224062,50,0x0000,0xffff,145.0,,,8.481331
2023-10-29 17:58:14.591404,50,0xa706,0xffff,250.0,,,0.367342
2023-10-29 17:58:16.742842,50,0xa706,0x0000,251.0,,,2.151438
2023-10-29 17:58:16.744825,5,0x0000,0xa706,251.0,,,0.001983
2023-10-29 17:58:16.787572,56,0x0000,0xa706,146.0,0x0000,0xa706,0.042747
2023-10-29 17:58:16.789719,5,0xa706,0x0000,146.0,,,0.002147
2023-10-29 17:58:16.794840,45,0xa706,0x0000,252.0,0xa706,0x0000,0.005121
2023-10-29 17:58:16.796663,5,0x0000,0xa706,252.0,,,0.001823
2023-10-29 17:58:17.133197,54,0xa706,0x0000,253.0,,,0.336534
2023-10-29 17:58:17.135307,5,0x0000,0xa706,253.0,,,0.00211
2023-10-29 17:58:17.333920,54,0xa706,0x0000,254.0,,,0.198613
2023-10-29 17:58:17.336030,5,0x0000,0xa706,254.0,,,0.00211
2023-10-29 17:58:17.534746,54,0xa706,0x0000,255.0,,,0.198716
2023-10-29 17:58:17.536857,5,0x0000,0xa706,255.0,,,0.002111
2023-10-29 17:58:17.735132,54,0xa706,0x0000,0.0,,,0.198275
2023-10-29 17:58:17.737243,5,0x0000,0xa706,0.0,,,0.002111
2023-10-29 17:58:17.936783,54,0xa706,0x0000,1.0,0xa706,0x0000,0.19954
2023-10-29 17:58:17.938894,5,0x0000,0xa706,1.0,,,0.002111
2023-10-29 17:58:18.337403,54,0xa706,0x0000,2.0,,,0.398509
2023-10-29 17:58:18.339514,5,0x0000,0xa706,2.0,,,0.002111
2023-10-29 17:58:18.892831,54,0xa706,0x0000,3.0,0xa706,0x0000,0.553317
2023-10-29 17:58:18.894942,5,0x0000,0xa706,3.0,,,0.002111
2023-10-29 17:58:19.093552,54,0xa706,0x0000,4.0,0xa706,0x0000,0.19861
2023-10-29 17:58:19.095663,5,0x0000,0xa706,4.0,,,0.002111
