Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-29 15:24:11.000000,56,0xa706,0xffff,204.0,,,0.0
2023-10-29 15:24:13.253408,57,0x27d7,0x0000,126.0,,,2.253408
2023-10-29 15:24:13.255615,5,0x0000,0x27d7,126.0,,,0.002207
2023-10-29 15:24:14.511192,53,0x0000,0xffff,234.0,0x0000,0xfffc,1.255577
2023-10-29 15:24:15.063275,47,0xe1a6,0xffff,149.0,,,0.552083
2023-10-29 15:24:15.113253,51,0xe1a6,0xffff,150.0,0xe1a6,0xfffc,0.049978
2023-10-29 15:24:15.144977,51,0x0112,0xffff,80.0,0xe1a6,0xfffc,0.031724
2023-10-29 15:24:15.155421,77,0x0000,0x0112,235.0,0x0000,0x0112,0.010444
2023-10-29 15:24:15.158272,5,0x0112,0x0000,235.0,,,0.002851
2023-10-29 15:24:15.179904,77,0x0112,0xe1a6,81.0,0x0112,0xe1a6,0.021632
2023-10-29 15:24:15.182720,5,0xe1a6,0x0112,81.0,,,0.002816
2023-10-29 15:24:15.183098,51,0xa706,0xffff,205.0,0xe1a6,0xfffc,0.000378
2023-10-29 15:24:15.189301,78,0xe1a6,0x0112,151.0,,,0.006203
2023-10-29 15:24:15.192187,5,0x0112,0xe1a6,151.0,,,0.002886
2023-10-29 15:24:15.226450,78,0x0112,0x0000,82.0,,,0.034263
2023-10-29 15:24:15.229328,5,0x0000,0x0112,82.0,,,0.002878
2023-10-29 15:24:15.275953,50,0x0000,0x0112,236.0,,,0.046625
2023-10-29 15:24:15.277941,5,0x0112,0x0000,236.0,,,0.001988
2023-10-29 15:24:15.303812,50,0x0112,0xe1a6,83.0,,,0.025871
2023-10-29 15:24:15.305765,5,0xe1a6,0x0112,83.0,,,0.001953
2023-10-29 15:24:15.311063,45,0xe1a6,0x0112,152.0,0xe1a6,0x0000,0.005298
2023-10-29 15:24:15.312891,5,0x0112,0xe1a6,152.0,,,0.001828
2023-10-29 15:24:15.347067,45,0x0112,0x0000,84.0,,,0.034176
2023-10-29 15:24:15.348890,5,0x0000,0x0112,84.0,,,0.001823
2023-10-29 15:24:15.369067,51,0xe1a6,0xffff,153.0,,,0.020177
2023-10-29 15:24:15.437306,51,0xa706,0xffff,206.0,,,0.068239
2023-10-29 15:24:15.514953,95,0xe1a6,0x0112,154.0,,,0.077647
2023-10-29 15:24:15.520998,95,0xe1a6,0x0112,154.0,,,0.006045
2023-10-29 15:24:15.524427,5,0x0112,0xe1a6,154.0,,,0.003429
2023-10-29 15:24:15.554902,95,0x0112,0x0000,85.0,0xe1a6,0x0000,0.030475
2023-10-29 15:24:15.558325,5,0x0000,0x0112,85.0,,,0.003423
2023-10-29 15:24:15.580997,77,0x0000,0x0112,237.0,,,0.022672
2023-10-29 15:24:15.583849,5,0x0112,0x0000,237.0,,,0.002852
