Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Sonoff Temperature,Temperature,Coordinator,Coordinator,Sonoff Temperature,Temperature,Coordinator,Coordinator,2023-10-29 15:32:07.000000,53,0x4615,0x0000,223.0,0x4615,0x0000,0.0
Coordinator,Coordinator,Sonoff Temperature,Temperature,Unknown,Unknown,,,2023-10-29 15:32:07.002078,5,0x0000,0x4615,223.0,,,0.002078
Sonoff Temperature,Temperature,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:32:07.506895,12,0x4615,0x0000,224.0,,,0.504817
Coordinator,Coordinator,Sonoff Temperature,Temperature,Unknown,Unknown,,,2023-10-29 15:32:07.507662,5,0x0000,0x4615,224.0,,,0.000767
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-10-29 15:32:08.271005,53,0x0112,0xffff,186.0,0x0112,0xfffc,0.763343
Power Plug 2,Socket,Broadcast,Broadcast,Power Plug 2,Socket,Broadcast,Broadcast,2023-10-29 15:32:11.291442,53,0xa706,0xffff,103.0,0xa706,0xfffc,3.020437
Ledvance Bulb,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:32:12.095849,65,0xec7f,0xffff,4.0,,,0.804407
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-29 15:32:12.099267,47,0xec7f,0xffff,5.0,0xec7f,0xfffc,0.003418
Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-29 15:32:12.103758,64,0xec7f,0xffff,6.0,0xec7f,0xfffd,0.004491
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:32:12.110245,108,0xa706,0xffff,104.0,,,0.006487
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-10-29 15:32:12.120424,53,0x0112,0xffff,187.0,0x0112,0xfffc,0.010179
Power Plug 2,Socket,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-29 15:32:12.143175,64,0xa706,0xffff,105.0,0xec7f,0xfffd,0.022751
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:32:12.149221,57,0x0000,0xec7f,169.0,,,0.006046
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:32:12.151414,5,0xec7f,0x0000,169.0,,,0.002193
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:32:12.154838,55,0xec7f,0x0000,7.0,,,0.003424
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:32:12.156980,5,0x0000,0xec7f,7.0,,,0.002142
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,2023-10-29 15:32:12.164125,54,0x0000,0xec7f,170.0,0x0000,0x711c,0.007145
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:32:12.166222,5,0xec7f,0x0000,170.0,,,0.002097
Ledvance Bulb,Bulb,Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,2023-10-29 15:32:12.169073,54,0xec7f,0x711c,8.0,0x0000,0x711c,0.002851
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 15:32:12.177126,49,0x0000,0xec7f,171.0,0x0000,0xec7f,0.008053
Ledvance Bulb,Bulb,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:32:12.179063,5,0xec7f,0x0000,171.0,,,0.001937
Ledvance Bulb,Bulb,Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,2023-10-29 15:32:12.179834,54,0xec7f,0x711c,8.0,0x0000,0x711c,0.000771
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:32:12.181805,64,0x0112,0xffff,189.0,,,0.001971
Ledvance Bulb,Bulb,Philips Lamp 3,Bulb,Coordinator,Coordinator,Philips Lamp 3,Bulb,2023-10-29 15:32:12.184793,54,0xec7f,0x711c,8.0,0x0000,0x711c,0.002988
