Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 17:35:18.000000,47,0x0000,0xffff,45,0x0000,0xfffc,0.0
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 17:35:20.046878,59,0x0000,0xffff,46,0x0000,0xfffc,2.046878
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.062524,52,0x0000,0xa706,47,,,0.015646
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.068002,52,0x0000,0xa706,47,,,0.005478
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.073183,52,0x0000,0xa706,47,,,0.005181
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.077313,52,0x0000,0xa706,47,,,0.00413
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.090378,54,0x0000,0xa706,48,0x0000,0xa706,0.013065
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.093905,54,0x0000,0xa706,48,0x0000,0xa706,0.003527
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.099560,54,0x0000,0xa706,48,0x0000,0xa706,0.005655
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.103773,54,0x0000,0xa706,48,0x0000,0xa706,0.004213
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.127378,52,0x0000,0xa706,49,0x0000,0xa706,0.023605
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.150843,52,0x0000,0xa706,49,0x0000,0xa706,0.023465
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.156279,52,0x0000,0xa706,49,0x0000,0xa706,0.005436
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.159662,52,0x0000,0xa706,49,0x0000,0xa706,0.003383
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.167055,54,0x0000,0xa706,50,,,0.007393
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.170705,54,0x0000,0xa706,50,,,0.00365
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.174701,54,0x0000,0xa706,50,,,0.003996
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.194572,54,0x0000,0xa706,50,,,0.019871
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.214090,52,0x0000,0xa706,51,,,0.019518
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.218122,52,0x0000,0xa706,51,,,0.004032
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.222436,52,0x0000,0xa706,51,,,0.004314
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.225740,52,0x0000,0xa706,51,,,0.003304
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.248889,54,0x0000,0xa706,52,,,0.023149
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.253130,54,0x0000,0xa706,52,,,0.004241
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.257448,54,0x0000,0xa706,52,,,0.004318
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.262091,54,0x0000,0xa706,52,,,0.004643
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.280135,52,0x0000,0xa706,53,,,0.018044
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.283783,52,0x0000,0xa706,53,,,0.003648
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.298290,52,0x0000,0xa706,53,,,0.014507
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 17:35:20.303960,52,0x0000,0xa706,53,,,0.00567
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.314715,54,0x0000,0xa706,54,0x0000,0xa706,0.010755
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.320236,54,0x0000,0xa706,54,0x0000,0xa706,0.005521
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.325786,54,0x0000,0xa706,54,0x0000,0xa706,0.00555
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 17:35:20.331663,54,0x0000,0xa706,54,0x0000,0xa706,0.005877
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 17:35:20.383206,59,0x0000,0xffff,55,,,0.051543
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 17:35:20.757359,59,0x0000,0xffff,56,0x0000,0xfffc,0.374153
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 17:35:21.115631,59,0x0000,0xffff,57,,,0.358272
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 17:35:21.630517,57,0x0112,0xffff,6,,,0.514886
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 17:35:21.677297,59,0x0000,0xffff,58,0x0000,0xfffc,0.04678
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,2023-10-29 17:35:21.700907,69,0x0112,0x0000,7,0x0112,0x0000,0.02361
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,2023-10-29 17:35:21.715390,69,0x0112,0x0000,7,0x0112,0x0000,0.014483
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 17:35:21.717981,5,0x0000,0x0112,7,,,0.002591
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 17:35:21.877430,49,0x0000,0x0112,60,,,0.159449
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 17:35:21.879386,5,0x0112,0x0000,60,,,0.001956
Ledvance Smart+ Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 17:35:21.897180,50,0x0112,0x0000,8,,,0.017794
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 17:35:21.899163,5,0x0000,0x0112,8,,,0.001983
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 17:35:21.956084,59,0x0000,0xffff,61,,,0.056921
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,2023-10-29 17:35:22.120675,57,0x0112,0xffff,9,0x0112,0xfffd,0.164591
Coordinator,Coordinator,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 17:35:22.326285,59,0x0000,0xffff,62,,,0.20561
