Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 15:49:37.000000,53,0x0000,0xffff,227.0,0x0000,0xfffc,0.0
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:38.061167,65,0x4e11,0xffff,94.0,,,1.061167
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:38.065648,53,0x0112,0xffff,95.0,,,0.004481
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-29 15:49:38.068715,47,0x4e11,0xffff,95.0,0x4e11,0xfffc,0.003067
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.108614,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.039899
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.114251,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.005637
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.119095,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.004844
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.122429,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.003334
Coordinator,Coordinator,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-29 15:49:38.129003,65,0x0000,0xffff,229.0,0x4e11,0xfffd,0.006574
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:38.143442,65,0xa706,0xffff,190.0,,,0.014439
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.149674,53,0x0000,0xec7f,230.0,,,0.006232
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.155400,53,0x0000,0xec7f,230.0,,,0.005726
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.158645,53,0x0000,0xec7f,230.0,,,0.003245
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.170058,53,0x0000,0xec7f,230.0,,,0.011413
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:38.207722,65,0x0112,0xffff,96.0,,,0.037664
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.213132,53,0x0000,0xec7f,231.0,,,0.00541
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.216834,53,0x0000,0xec7f,231.0,,,0.003702
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.226708,53,0x0000,0xec7f,231.0,,,0.009874
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.232040,53,0x0000,0xec7f,231.0,,,0.005332
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.258040,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.026
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.261897,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.003857
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.276292,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.014395
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.280384,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.004092
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.305966,53,0x0000,0xec7f,233.0,,,0.025582
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.310065,53,0x0000,0xec7f,233.0,,,0.004099
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.314768,53,0x0000,0xec7f,233.0,,,0.004703
Coordinator,Coordinator,Ledvance Bulb,Bulb,Unknown,Unknown,,,2023-10-29 15:49:38.320112,53,0x0000,0xec7f,233.0,,,0.005344
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:38.389190,65,0xa706,0xffff,191.0,,,0.069078
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 15:49:38.491090,56,0x0000,0xffff,234.0,0x0000,0xfffc,0.1019
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-29 15:49:38.523269,65,0x4e11,0xffff,96.0,0x4e11,0xfffd,0.032179
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:38.635086,105,0xa706,0xffff,192.0,,,0.111817
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:38.972570,65,0x4e11,0xffff,97.0,,,0.337484
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,2023-10-29 15:49:40.912889,55,0x4e11,0x0000,98.0,0x4e11,0x0000,1.940319
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-29 15:49:40.915031,5,0x0000,0x4e11,98.0,,,0.002142
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:40.954834,52,0x4e11,0x0000,99.0,,,0.039803
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-29 15:49:40.956881,5,0x0000,0x4e11,99.0,,,0.002047
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-29 15:49:40.969904,45,0x0000,0x4e11,235.0,,,0.013023
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:40.971728,5,0x4e11,0x0000,235.0,,,0.001824
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:40.997656,50,0x0000,0x4e11,236.0,0x0000,0x4e11,0.025928
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:40.999640,5,0x4e11,0x0000,236.0,,,0.001984
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:41.002004,50,0x0000,0x4e11,236.0,0x0000,0x4e11,0.002364
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.003987,5,0x4e11,0x0000,236.0,,,0.001983
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.005490,55,0x4e11,0x0000,100.0,,,0.001503
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.007632,5,0x0000,0x4e11,100.0,,,0.002142
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-29 15:49:41.052284,45,0x4e17,0x6000,101.0,,,0.044652
Ledvance Z3 Plug,Socket,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Coordinator,Coordinator,2023-10-29 15:49:41.056371,45,0x4e11,0x0000,101.0,0x4e11,0x0000,0.004087
Coordinator,Coordinator,Ledvance Z3 Plug,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.058193,5,0x0000,0x4e11,101.0,,,0.001822
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:41.232163,56,0xa706,0xffff,193.0,,,0.17397
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.319804,63,0xa706,0x0000,194.0,,,0.087641
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.322203,5,0x0000,0xa706,194.0,,,0.002399
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.368382,50,0x0000,0xa706,237.0,,,0.046179
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.370325,5,0xa706,0x0000,237.0,,,0.001943
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.371500,50,0x0000,0xa706,237.0,,,0.001175
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.373451,5,0xa706,0x0000,237.0,,,0.001951
Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-29 15:49:41.375931,45,0xa706,0x0000,195.0,0xa706,0x0000,0.00248
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.377753,5,0x0000,0xa706,195.0,,,0.001822
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.378981,50,0x0000,0xa706,237.0,,,0.001228
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.398309,50,0x0000,0xa706,237.0,,,0.019328
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.402501,45,0xa706,0x0000,197.0,,,0.004192
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.407100,45,0xa706,0x0000,197.0,,,0.004599
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.408923,5,0x0000,0xa706,197.0,,,0.001823
Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-29 15:49:41.409874,57,0xa706,0x0000,198.0,0xa706,0x0000,0.000951
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.412081,5,0x0000,0xa706,198.0,,,0.002207
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 15:49:41.453530,50,0x0000,0xa706,238.0,0x0000,0xa706,0.041449
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-29 15:49:41.455485,5,0xa706,0x0000,238.0,,,0.001955
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 15:49:41.457180,50,0x0000,0xa706,238.0,0x0000,0xa706,0.001695
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 15:49:41.461848,50,0x0000,0xa706,238.0,0x0000,0xa706,0.004668
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 15:49:41.466842,50,0x0000,0xa706,238.0,0x0000,0xa706,0.004994
Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-29 15:49:41.473959,45,0xa706,0x0000,199.0,0xa706,0x0000,0.007117
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-29 15:49:41.475782,5,0x0000,0xa706,199.0,,,0.001823
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-29 15:49:41.568092,53,0x4e11,0xffff,102.0,0x4e11,0xfffc,0.09231
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-29 15:49:45.411907,53,0x7711,0xffff,103.0,,,3.843815
