Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.000000,52,0x0000,0xe1a6,145,,,0.0
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.005767,52,0x0000,0xe1a6,145,,,0.005767
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.010388,52,0x0000,0xe1a6,145,,,0.004621
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.019108,52,0x0000,0xe1a6,145,,,0.00872
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 16:07:20.027380,59,0x0000,0xffff,146,0x0000,0xfffc,0.008272
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.036257,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.008877
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.041827,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.00557
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.047158,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.005331
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.051520,54,0x0000,0xe1a6,147,0x0000,0xe1a6,0.004362
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.059808,54,0x0000,0x0112,148,,,0.008288
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.064322,54,0x0000,0x0112,148,,,0.004514
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.068625,54,0x0000,0x0112,148,,,0.004303
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.073126,54,0x0000,0x0112,148,,,0.004501
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.081106,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.00798
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.084351,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.003245
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.087854,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.003503
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:07:20.092058,52,0x0000,0xe1a6,149,0x0000,0xe1a6,0.004204
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.101878,54,0x0000,0xe1a6,150,,,0.00982
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.107672,54,0x0000,0xe1a6,150,,,0.005794
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.111869,54,0x0000,0xe1a6,150,,,0.004197
Coordinator,Coordinator,Smart Socket,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.117011,54,0x0000,0xe1a6,150,,,0.005142
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.126899,54,0x0000,0x0112,151,,,0.009888
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.132455,54,0x0000,0x0112,151,,,0.005556
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.136331,54,0x0000,0x0112,151,,,0.003876
Coordinator,Coordinator,Ledvance Smart+ Plug,Socket,Unknown,Unknown,,,2023-10-29 16:07:20.139695,54,0x0000,0x0112,151,,,0.003364
