Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-29 15:37:47.000000,57,0x27d7,0x0000,134.0,0x27d7,0x0000,0.0
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-29 15:39:15.145942,57,0x27d7,0x0000,136.0,0x27d7,0x0000,2.19876
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-29 15:40:44.208788,57,0x27d7,0x0000,138.0,0x27d7,0x0000,2.506526
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-29 15:41:25.760702,57,0x27d7,0x0000,139.0,0x27d7,0x0000,2.133839
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-29 15:41:25.773470,57,0x27d7,0x0000,139.0,0x27d7,0x0000,0.012768
Aqara Motion,Motion,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-29 15:41:55.562563,57,0x27d7,0x0000,140.0,0x27d7,0x0000,1.921006
Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,2023-10-29 15:37:47.000000,57,0x27d7,0x0000,134.0,0x27d7,0x0000,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 15:37:50.266465,52,0x0000,0xe1a6,194.0,0x0000,0xe1a6,3.264258
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 15:37:50.270574,52,0x0000,0xe1a6,194.0,0x0000,0xe1a6,0.004109
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 15:37:50.276481,52,0x0000,0xe1a6,194.0,0x0000,0xe1a6,0.005907
