Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.000000,50,0x0000,0xec7f,227,0x0000,0xec7f,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.004950,50,0x0000,0xec7f,227,0x0000,0xec7f,0.00495
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.010401,50,0x0000,0xec7f,227,0x0000,0xec7f,0.005451
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.015366,50,0x0000,0xec7f,227,0x0000,0xec7f,0.004965
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.124200,50,0x0000,0xec7f,229,0x0000,0xec7f,0.04635
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.127435,50,0x0000,0xec7f,229,0x0000,0xec7f,0.003235
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.132618,50,0x0000,0xec7f,229,0x0000,0xec7f,0.005183
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.188015,50,0x0000,0xec7f,230,0x0000,0xec7f,0.055397
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.205050,50,0x0000,0xec7f,230,0x0000,0xec7f,0.017035
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-29 17:46:25.208600,50,0x0000,0xec7f,230,0x0000,0xec7f,0.00355
