Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 15:49:37.000000,53,0x0000,0xffff,227.0,0x0000,0xfffc,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.108614,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.039899
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.114251,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.005637
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.119095,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.004844
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.122429,53,0x0000,0xec7f,228.0,0x0000,0x4e11,0.003334
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.258040,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.026
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.261897,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.003857
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.276292,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.014395
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Z3 Plug,Socket,2023-10-29 15:49:38.280384,53,0x0000,0xec7f,232.0,0x0000,0x4e11,0.004092
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 15:49:38.491090,56,0x0000,0xffff,234.0,0x0000,0xfffc,0.1019
