Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.000000,52,0x0000,0xe1a6,187,0x0000,0xe1a6,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.006115,52,0x0000,0xe1a6,187,0x0000,0xe1a6,0.006115
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.012416,52,0x0000,0xe1a6,187,0x0000,0xe1a6,0.006301
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.017454,52,0x0000,0xe1a6,187,0x0000,0xe1a6,0.005038
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.036087,54,0x0000,0xe1a6,189,0x0000,0xe1a6,0.010298
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.045660,54,0x0000,0xe1a6,189,0x0000,0xe1a6,0.009573
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.050344,54,0x0000,0xe1a6,189,0x0000,0xe1a6,0.004684
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.054888,54,0x0000,0xe1a6,189,0x0000,0xe1a6,0.004544
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.084158,52,0x0000,0xe1a6,191,0x0000,0xe1a6,0.008342
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.100449,52,0x0000,0xe1a6,191,0x0000,0xe1a6,0.016291
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.120997,54,0x0000,0xe1a6,192,0x0000,0xe1a6,0.020548
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.163425,54,0x0000,0xa706,193,0x0000,0xa706,0.042428
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.168211,54,0x0000,0xa706,193,0x0000,0xa706,0.004786
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.172111,54,0x0000,0xa706,193,0x0000,0xa706,0.0039
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.177892,54,0x0000,0xa706,193,0x0000,0xa706,0.005781
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.186550,52,0x0000,0xe1a6,194,0x0000,0xe1a6,0.008658
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.192065,52,0x0000,0xe1a6,194,0x0000,0xe1a6,0.005515
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.195622,52,0x0000,0xe1a6,194,0x0000,0xe1a6,0.003557
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-29 16:12:50.199926,52,0x0000,0xe1a6,194,0x0000,0xe1a6,0.004304
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.288179,52,0x0000,0xa706,197,0x0000,0xa706,0.040245
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.291510,52,0x0000,0xa706,197,0x0000,0xa706,0.003331
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.296133,52,0x0000,0xa706,197,0x0000,0xa706,0.004623
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.301409,52,0x0000,0xa706,197,0x0000,0xa706,0.005276
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-29 16:12:50.313512,59,0x0000,0xffff,198,0x0000,0xfffc,0.012103
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.335520,52,0x0000,0xa706,199,0x0000,0xa706,0.022008
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.340537,52,0x0000,0xa706,199,0x0000,0xa706,0.005017
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.344286,52,0x0000,0xa706,199,0x0000,0xa706,0.003749
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.349411,52,0x0000,0xa706,199,0x0000,0xa706,0.005125
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.391339,52,0x0000,0xa706,200,0x0000,0xa706,0.041928
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.396964,52,0x0000,0xa706,200,0x0000,0xa706,0.005625
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-29 16:12:50.400408,52,0x0000,0xa706,200,0x0000,0xa706,0.003444
