Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 17:00:39.000000,59,0x5bb9,0xffff,72,0x5bb9,0xfffc,0.0
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 17:00:39.007575,47,0x5bb9,0xffff,73,0x5bb9,0xfffc,0.007575
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 17:00:39.561757,59,0x5bb9,0xffff,75,0x5bb9,0xfffc,0.271147
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 17:00:39.843585,59,0x5bb9,0xffff,76,0x5bb9,0xfffc,0.281828
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 17:00:43.186234,65,0x5bb9,0xffff,93,0x5bb9,0xfffd,2.762865
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-31 17:00:43.231875,49,0x0000,0x5bb9,4,0x0000,0x5bb9,0.045641
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 17:00:43.981158,59,0x5bb9,0xffff,96,0x5bb9,0xfffc,0.314501
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Broadcast,Broadcast,Philips Lamp 2,Bulb,Broadcast,Broadcast,2023-10-31 17:00:44.125642,65,0x5bb9,0xffff,98,0x5bb9,0xfffd,0.075052
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-31 17:00:44.200245,62,0x0000,0x5bb9,7,0x0000,0x5bb9,0.013683
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-31 17:00:44.206840,45,0x0000,0x5bb9,8,0x0000,0x5bb9,0.004228
Philips Lamp 2,Bulb,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-31 17:00:44.209703,58,0x5bb9,0x0000,100,0x5bb9,0x0000,0.00104
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-31 17:00:44.238148,90,0x0000,0x5bb9,10,0x0000,0x5bb9,0.00932
Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-31 17:00:44.264835,39,0x0000,0x5bb9,11,0x0000,0x5bb9,0.015841
