Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.000000,52,0xe01d,0xe1a6,208.0,0xe01d,0x0000,0.0
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.004104,52,0xe01d,0xe1a6,208.0,0xe01d,0x0000,0.004104
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.007888,52,0xe01d,0xe1a6,208.0,0xe01d,0x0000,0.003784
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.012312,52,0xe01d,0xe1a6,208.0,0xe01d,0x0000,0.004424
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.119781,52,0xe01d,0xe1a6,209.0,0xe01d,0x0000,0.107469
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.123885,52,0xe01d,0xe1a6,209.0,0xe01d,0x0000,0.004104
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.127669,52,0xe01d,0xe1a6,209.0,0xe01d,0x0000,0.003784
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.132093,52,0xe01d,0xe1a6,209.0,0xe01d,0x0000,0.004424
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.460484,52,0xe01d,0xe1a6,211.0,0xe01d,0x0000,0.208566
Aqara Door 2,Door,Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,2023-10-29 17:52:16.464588,52,0xe01d,0xe1a6,211.0,0xe01d,0x0000,0.004104
