Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Motion,Motion,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,57.0,0.0,57.0,57.0,57.0,,,0.0,2.0,0.012768,,0.012768,0.012768,0.012768,,,0.0,57.0,0.0,57,57,57.0,,,0.0,2,0.012768,,0.012768,0.012768,0.012768,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,62.666666666666664,2.783882181415011,65,59,64.0,-1.7142857142857189,-0.7647709634688449,2.444444444444445,9,0.07752637500000001,0.09007608736417944,0.28721,0.017233,0.0446385,5.350946327226877,2.2454498290209255,0.05989456250000001,62.666666666666664,2.783882181415011,65.0,59.0,64.0,-1.7142857142857189,-0.7647709634688449,2.444444444444445,9.0,0.07752637500000001,0.09007608736417944,0.28721,0.017233,0.0446385,5.350946327226877,2.2454498290209255,0.05989456250000001
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,64.5,0.5773502691896257,65,64,64.5,-6.0,0.0,0.5,4,0.03880466666666667,0.0032515276922291977,0.04218,0.035693,0.038541,,0.3625059231710029,0.002250222222222223,64.5,0.5773502691896257,65.0,64.0,64.5,-6.0,0.0,0.5,4.0,0.03880466666666667,0.0032515276922291977,0.04218,0.035693,0.038541,,0.3625059231710029,0.002250222222222223
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,55.0,0.0,55,55,55.0,0.0,0.0,0.0,4,0.14441,0.12430859506486268,0.245837,0.005736,0.181657,,-1.227294990073347,0.09244933333333334,55.0,0.0,55.0,55.0,55.0,0.0,0.0,0.0,4.0,0.14441,0.12430859506486268,0.245837,0.005736,0.181657,,-1.227294990073347,0.09244933333333334
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.023379,,0.023379,0.023379,0.023379,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.023379,,0.023379,0.023379,0.023379,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.11834766666666664,0.08925323994866143,0.175443,0.015495,0.164105,,-1.7006596923299477,0.06856844444444445,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.11834766666666664,0.08925323994866143,0.175443,0.015495,0.164105,,-1.7006596923299477,0.06856844444444445
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.4002845,0.17205817174577903,0.521948,0.278621,0.4002845,,,0.12166349999999998,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.4002845,0.17205817174577903,0.521948,0.278621,0.4002845,,,0.12166349999999998
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.06862,,0.06862,0.06862,0.06862,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.06862,,0.06862,0.06862,0.06862,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.06697,0.024371142320375544,0.084203,0.049737,0.06697,,,0.017233,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.06697,0.024371142320375544,0.084203,0.049737,0.06697,,,0.017233
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceBulb2_group.csv,,,,,,,,,,,,,,,,,,57.5,2.1213203435596424,59,56,57.5,,,1.5,2,0.506049,,0.506049,0.506049,0.506049,,,0.0,57.5,2.1213203435596424,59.0,56.0,57.5,,,1.5,2.0,0.506049,,0.506049,0.506049,0.506049,,,0.0
