Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,58.0,1.0954451150103321,59.0,57.0,58.0,-3.3333333333333335,0.0,1.0,6.0,0.21440059999999997,0.20241811169285223,0.50106,0.04333,0.104407,-1.618296456482164,0.8480366658333366,0.17035272,58.0,1.0954451150103321,59,57,58.0,-3.3333333333333335,0.0,1.0,6,0.21440059999999997,0.20241811169285223,0.50106,0.04333,0.104407,-1.618296456482164,0.8480366658333366,0.17035272,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,58.0,1.4142135623730951,59.0,57.0,58.0,,,1.0,2.0,0.069583,,0.069583,0.069583,0.069583,,,0.0,58.0,1.4142135623730951,59,57,58.0,,,1.0,2,0.069583,,0.069583,0.069583,0.069583,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.16388750000000002,0.2032472376503553,0.307605,0.02017,0.16388750000000002,,,0.1437175,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.16388750000000002,0.2032472376503553,0.307605,0.02017,0.16388750000000002,,,0.1437175,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.23997625,0.15057070223071287,0.358179,0.02017,0.290778,3.0485744187767843,-1.6833988040479555,0.109903125,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.23997625,0.15057070223071287,0.358179,0.02017,0.290778,3.0485744187767843,-1.6833988040479555,0.109903125,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.23997625,0.15057070223071287,0.358179,0.02017,0.290778,3.0485744187767843,-1.6833988040479555,0.109903125,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.23997625,0.15057070223071287,0.358179,0.02017,0.290778,3.0485744187767843,-1.6833988040479555,0.109903125,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.358179,,0.358179,0.358179,0.358179,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.358179,,0.358179,0.358179,0.358179,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.12642,0.16070810272354036,0.311125,0.018571,0.049564,,1.659861089098622,0.12313666666666667,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.12642,0.16070810272354036,0.311125,0.018571,0.049564,,1.659861089098622,0.12313666666666667,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.2457395,0.2723355194883693,0.603698,0.018571,0.1803445,-1.028299923011783,0.8869884497386119,0.21167199999999997,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.2457395,0.2723355194883693,0.603698,0.018571,0.1803445,-1.028299923011783,0.8869884497386119,0.21167199999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.2457395,0.2723355194883693,0.603698,0.018571,0.1803445,-1.028299923011783,0.8869884497386119,0.21167199999999997,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.2457395,0.2723355194883693,0.603698,0.018571,0.1803445,-1.028299923011783,0.8869884497386119,0.21167199999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.258987,,0.258987,0.258987,0.258987,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.258987,,0.258987,0.258987,0.258987,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.258987,,0.258987,0.258987,0.258987,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.258987,,0.258987,0.258987,0.258987,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.258987,,0.258987,0.258987,0.258987,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.258987,,0.258987,0.258987,0.258987,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.54757,,0.54757,0.54757,0.54757,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.54757,,0.54757,0.54757,0.54757,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.54757,,0.54757,0.54757,0.54757,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.54757,,0.54757,0.54757,0.54757,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.11664466666666667,0.13547217300365907,0.271523,0.020173,0.058238,,1.5794834947384764,0.10325222222222223,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.11664466666666667,0.13547217300365907,0.271523,0.020173,0.058238,,1.5794834947384764,0.10325222222222223,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,6.0,0.20217739999999998,0.15422586084797843,0.372715,0.020173,0.271523,-2.586069760344909,-0.349905959157678,0.13037752000000002,59.0,0.0,59,59,59.0,0.0,0.0,0.0,6,0.20217739999999998,0.15422586084797843,0.372715,0.020173,0.271523,-2.586069760344909,-0.349905959157678,0.13037752000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,6.0,0.20217739999999998,0.15422586084797843,0.372715,0.020173,0.271523,-2.586069760344909,-0.349905959157678,0.13037752000000002,59.0,0.0,59,59,59.0,0.0,0.0,0.0,6,0.20217739999999998,0.15422586084797843,0.372715,0.020173,0.271523,-2.586069760344909,-0.349905959157678,0.13037752000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.372715,,0.372715,0.372715,0.372715,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.372715,,0.372715,0.372715,0.372715,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.494817,0.27792973455893494,0.691343,0.298291,0.494817,,,0.19652600000000003,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.494817,0.27792973455893494,0.691343,0.298291,0.494817,,,0.19652600000000003,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.494817,0.27792973455893494,0.691343,0.298291,0.494817,,,0.19652600000000003,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.494817,0.27792973455893494,0.691343,0.298291,0.494817,,,0.19652600000000003,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.298291,,0.298291,0.298291,0.298291,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.298291,,0.298291,0.298291,0.298291,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.306599,,0.306599,0.306599,0.306599,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.306599,,0.306599,0.306599,0.306599,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,55.0,6.928203230275509,59.0,47.0,59.0,,-1.7320508075688774,5.333333333333333,3.0,0.313668,0.009997075672415397,0.320737,0.306599,0.313668,,,0.007068999999999992,55.0,6.928203230275509,59,47,59.0,,-1.7320508075688774,5.333333333333333,3,0.313668,0.009997075672415397,0.320737,0.306599,0.313668,,,0.007068999999999992,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,55.0,6.928203230275509,59.0,47.0,59.0,,-1.7320508075688774,5.333333333333333,3.0,0.313668,0.009997075672415397,0.320737,0.306599,0.313668,,,0.007068999999999992,55.0,6.928203230275509,59,47,59.0,,-1.7320508075688774,5.333333333333333,3,0.313668,0.009997075672415397,0.320737,0.306599,0.313668,,,0.007068999999999992,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.291872,,0.291872,0.291872,0.291872,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.291872,,0.291872,0.291872,0.291872,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.291872,,0.291872,0.291872,0.291872,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.291872,,0.291872,0.291872,0.291872,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.291872,,0.291872,0.291872,0.291872,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.291872,,0.291872,0.291872,0.291872,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.310987,,0.310987,0.310987,0.310987,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.310987,,0.310987,0.310987,0.310987,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.310987,,0.310987,0.310987,0.310987,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.310987,,0.310987,0.310987,0.310987,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.310987,,0.310987,0.310987,0.310987,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.310987,,0.310987,0.310987,0.310987,,,0.0,,,,,,,,,,,,,,,,,
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,51.0,1.4142135623730951,52.0,50.0,51.0,,,1.0,2.0,0.73137,,0.73137,0.73137,0.73137,,,0.0,54.666666666666664,4.844240566555987,59,49,55.5,-2.927508393595043,-0.15423657860168435,4.333333333333333,6,0.2057346,0.23027349510592832,0.601255,0.02551,0.130115,3.497798908631669,1.8184631506086235,0.15820816,56.5,5.0,59.0,49.0,59.0,4.0,-1.9999999999999998,3.75,4.0,0.342891,0.28843728736590213,0.67505,0.155625,0.197998,,1.6900932572056764,0.22143933333333332
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,53.666666666666664,2.169304578186562,59,52,54.0,2.746562500000011,1.72866458574242,1.4814814814814818,18,0.03539564705882353,0.08774912870432189,0.368669,0.003418,0.004959,15.30978269068933,3.845722923001314,0.044511695501730106,53.666666666666664,2.169304578186562,59.0,52.0,54.0,2.746562500000011,1.72866458574242,1.4814814814814818,18.0,0.03539564705882353,0.08774912870432189,0.368669,0.003418,0.004959,15.30978269068933,3.845722923001314,0.044511695501730106
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceSmart+Plug2_group.csv,,,,,,,,,,,,,,,,,,53.94736842105263,2.4375234291871446,59,52,54.0,0.9781339011207479,1.4057655165707346,1.6398891966759006,19,0.05332805555555556,0.11417204855442677,0.368669,0.003418,0.0050935,5.559572332729796,2.5918382070542543,0.0690480864197531,53.94736842105263,2.4375234291871446,59.0,52.0,54.0,0.9781339011207479,1.4057655165707346,1.6398891966759006,19.0,0.05332805555555556,0.11417204855442677,0.368669,0.003418,0.0050935,5.559572332729796,2.5918382070542543,0.0690480864197531
