Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,62.0,7.3484692283495345,65.0,47.0,65.0,6.0,-2.449489742783178,5.0,6.0,0.12117,0.18389612309263073,0.447692,0.002404,0.050183,4.722087782526321,2.1512101488953013,0.1306088,62.0,7.3484692283495345,65,47,65.0,6.0,-2.449489742783178,5.0,6,0.12117,0.18389612309263073,0.447692,0.002404,0.050183,4.722087782526321,2.1512101488953013,0.1306088,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,57.5,2.1213203435596424,59.0,56.0,57.5,,,1.5,2.0,0.528556,,0.528556,0.528556,0.528556,,,0.0,57.5,2.1213203435596424,59,56,57.5,,,1.5,2,0.528556,,0.528556,0.528556,0.528556,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,58.0,1.7320508075688772,59.0,56.0,59.0,,-1.7320508075688774,1.3333333333333333,3.0,0.3502425,0.07911605642661926,0.406186,0.294299,0.3502425,,,0.05594350000000001,58.0,1.7320508075688772,59,56,59.0,,-1.7320508075688774,1.3333333333333333,3,0.3502425,0.07911605642661926,0.406186,0.294299,0.3502425,,,0.05594350000000001,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.224187,,0.224187,0.224187,0.224187,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.224187,,0.224187,0.224187,0.224187,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.09949033333333335,0.065233010786973,0.147104,0.025136,0.126231,,-1.5346890157281832,0.04956955555555556,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.09949033333333335,0.065233010786973,0.147104,0.025136,0.126231,,-1.5346890157281832,0.04956955555555556,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.072544,0.05122705786984062,0.108767,0.036321,0.072544,,,0.036223000000000005,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.072544,0.05122705786984062,0.108767,0.036321,0.072544,,,0.036223000000000005,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.106536,0.1481735713715506,0.276988,0.008465,0.034155,,1.6736612143988558,0.11363466666666666,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.106536,0.1481735713715506,0.276988,0.008465,0.034155,,1.6736612143988558,0.11363466666666666,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.130161,,0.130161,0.130161,0.130161,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.130161,,0.130161,0.130161,0.130161,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.061315,,0.061315,0.061315,0.061315,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.061315,,0.061315,0.061315,0.061315,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,57.0,3.4641016151377544,59.0,53.0,59.0,,-1.7320508075688774,2.6666666666666665,3.0,0.289115,0.14022634577710424,0.38827,0.18996,0.289115,,,0.09915500000000001,57.0,3.4641016151377544,59,53,59.0,,-1.7320508075688774,2.6666666666666665,3,0.289115,0.14022634577710424,0.38827,0.18996,0.289115,,,0.09915500000000001,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.254178,,0.254178,0.254178,0.254178,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.254178,,0.254178,0.254178,0.254178,,,0.0,,,,,,,,,,,,,,,,,
