Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Vibration,Vibration,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,55.0,0.0,55.0,55.0,55.0,,,0.0,2.0,0.00452,,0.00452,0.00452,0.00452,,,0.0,55.0,0.0,55,55,55.0,,,0.0,2,0.00452,,0.00452,0.00452,0.00452,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,61.0,6.928203230275509,65,53,65.0,,-1.7320508075688774,5.333333333333333,3,0.2514795,0.3374179209533779,0.49007,0.012889,0.2514795,,,0.23859049999999998,61.0,6.928203230275509,65.0,53.0,65.0,,-1.7320508075688774,5.333333333333333,3.0,0.2514795,0.3374179209533779,0.49007,0.012889,0.2514795,,,0.23859049999999998
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,56.666666666666664,7.023769168568493,64,50,56.0,,0.42327316026800954,4.888888888888888,3,0.19507200000000002,0.22293945439961949,0.352714,0.03743,0.19507200000000002,,,0.157642,56.666666666666664,7.023769168568493,64.0,50.0,56.0,,0.42327316026800954,4.888888888888888,3.0,0.19507200000000002,0.22293945439961949,0.352714,0.03743,0.19507200000000002,,,0.157642
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.32236750000000003,0.02227598492771981,0.338119,0.306616,0.32236750000000003,,,0.0157515,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.32236750000000003,0.02227598492771981,0.338119,0.306616,0.32236750000000003,,,0.0157515
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.177622,,0.177622,0.177622,0.177622,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.177622,,0.177622,0.177622,0.177622,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.25071533333333335,0.11968167290915237,0.343889,0.115739,0.292518,,-1.3800167584318161,0.08998422222222223,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.25071533333333335,0.11968167290915237,0.343889,0.115739,0.292518,,-1.3800167584318161,0.08998422222222223
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.2103275,0.24140413377674375,0.381026,0.039629,0.2103275,,,0.17069849999999998,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.2103275,0.24140413377674375,0.381026,0.039629,0.2103275,,,0.17069849999999998
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.199217,0.0972264837428568,0.271582,0.088701,0.237368,,-1.493889330348893,0.07367733333333333,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.199217,0.0972264837428568,0.271582,0.088701,0.237368,,-1.493889330348893,0.07367733333333333
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.23216499999999998,0.0822930871944904,0.290355,0.173975,0.23216499999999998,,,0.05818999999999999,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.23216499999999998,0.0822930871944904,0.290355,0.173975,0.23216499999999998,,,0.05818999999999999
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.42756,,0.42756,0.42756,0.42756,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.42756,,0.42756,0.42756,0.42756,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.09953033333333333,0.13392301610378007,0.254089,0.017882,0.02662,,1.723759288384471,0.10303911111111112,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.09953033333333333,0.13392301610378007,0.254089,0.017882,0.02662,,1.723759288384471,0.10303911111111112
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,56.0,4.242640687119285,59,53,56.0,,,3.0,2,0.168017,,0.168017,0.168017,0.168017,,,0.0,56.0,4.242640687119285,59.0,53.0,56.0,,,3.0,2.0,0.168017,,0.168017,0.168017,0.168017,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.680957,,0.680957,0.680957,0.680957,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.680957,,0.680957,0.680957,0.680957,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.272174,,0.272174,0.272174,0.272174,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.272174,,0.272174,0.272174,0.272174,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.13425175,0.12271447518358759,0.284897,0.02946,0.111325,-2.861893276122734,0.5502127659184057,0.10000125,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.13425175,0.12271447518358759,0.284897,0.02946,0.111325,-2.861893276122734,0.5502127659184057,0.10000125
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.11281725000000001,0.05338185538410969,0.165224,0.049475,0.118285,-3.0528209409851677,-0.35718005795643054,0.04364425,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.11281725000000001,0.05338185538410969,0.165224,0.049475,0.118285,-3.0528209409851677,-0.35718005795643054,0.04364425
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,51.6,4.219004621945797,55,45,53.0,0.5813659891427871,-1.1664714205354512,3.28,5,0.07231875000000001,0.06933450299514185,0.165248,0.008437,0.057795,0.024923482716490142,0.9596481588261229,0.051867750000000004,53.25,2.362907813126304,55.0,50.0,54.0,0.43573178881710817,-1.1938237737069408,1.75,4.0,0.09642500000000002,0.08014296818186858,0.165248,0.008437,0.11559,,-1.0145702284814457,0.05865866666666666
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,52.0,9.899494936611665,59,45,52.0,,,7.0,2,0.120651,,0.120651,0.120651,0.120651,,,0.0,,,,,,,,,,,,,,,,,
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,52.5,3.5355339059327378,55,50,52.5,,,2.5,2,0.086775,,0.086775,0.086775,0.086775,,,0.0,,,,,,,,,,,,,,,,,
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,50.32142857142857,4.595114728173756,59.0,45.0,52.0,-0.718494695946486,0.2508951555172513,3.823979591836735,28.0,0.02508018518518518,0.03426023652646028,0.124682,0.003035,0.008008,2.8019615008510845,1.9067595157331882,0.02524950617283951,50.84375,5.267731194307837,66,45,52.0,0.7233028507625581,0.7222724597747655,4.0703125,32,0.021844032258064517,0.03265749612823358,0.124682,0.002959,0.007228,3.904259508267242,2.1686129337246416,0.02319424141519251,54.5,8.736894948054104,66.0,45.0,53.5,1.1875059590778214,0.6477574332685181,6.0,4.0,0.06657933333333334,0.05310193467599211,0.110609,0.007607,0.081522,,-1.1660127495842727,0.039314888888888885
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,53.0,0.0,53,53,53.0,,,0.0,2,0.015534,,0.015534,0.015534,0.015534,,,0.0,53.0,0.0,53.0,53.0,53.0,,,0.0,2.0,0.015534,,0.015534,0.015534,0.015534,,,0.0
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerLedvanceZ3Plug3_group.csv,,,,,,,,,,,,,,,,,,52.5,10.606601717798213,60,45,52.5,,,7.5,2,0.066543,,0.066543,0.066543,0.066543,,,0.0,52.5,10.606601717798213,60.0,45.0,52.5,,,7.5,2.0,0.066543,,0.066543,0.066543,0.066543,,,0.0
