Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Vibration,Vibration,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,55.0,0.0,55.0,55.0,55.0,0.0,0.0,0.0,4.0,0.004096333333333333,0.00048455374658889306,0.00452,0.003568,0.004201,,-0.9266747874488336,0.00035222222222222225,55.0,0.0,55,55,55.0,0.0,0.0,0.0,4,0.004096333333333333,0.00048455374658889306,0.00452,0.003568,0.004201,,-0.9266747874488336,0.00035222222222222225,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,49.0,2.8284271247461903,51,47,49.0,,,2.0,2,0.554101,,0.554101,0.554101,0.554101,,,0.0,49.0,2.8284271247461903,51.0,47.0,49.0,,,2.0,2.0,0.554101,,0.554101,0.554101,0.554101,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.16936933333333334,0.07638531108356719,0.25404,0.105636,0.148432,,1.1407853585885896,0.056447111111111115,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.16936933333333334,0.07638531108356719,0.25404,0.105636,0.148432,,1.1407853585885896,0.056447111111111115
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.23855366666666666,0.16535159222194787,0.336275,0.04764,0.331746,,-1.7305890778165742,0.12727577777777777,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.23855366666666666,0.16535159222194787,0.336275,0.04764,0.331746,,-1.7305890778165742,0.12727577777777777
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.312277,,0.312277,0.312277,0.312277,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.312277,,0.312277,0.312277,0.312277,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,50.0,0.0,50,50,50.0,,,0.0,2,0.008056,,0.008056,0.008056,0.008056,,,0.0,50.0,0.0,50.0,50.0,50.0,,,0.0,2.0,0.008056,,0.008056,0.008056,0.008056,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.20712066666666665,0.09135217405915051,0.265436,0.10184,0.254086,,-1.7020199617187375,0.07018711111111112,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.20712066666666665,0.09135217405915051,0.265436,0.10184,0.254086,,-1.7020199617187375,0.07018711111111112
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.311524,,0.311524,0.311524,0.311524,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.311524,,0.311524,0.311524,0.311524,,,0.0
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.3353465,0.04591173619566136,0.367811,0.302882,0.3353465,,,0.03246450000000001,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.3353465,0.04591173619566136,0.367811,0.302882,0.3353465,,,0.03246450000000001
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb1_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,,,0.0,2,0.323118,,0.323118,0.323118,0.323118,,,0.0,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.323118,,0.323118,0.323118,0.323118,,,0.0
