Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,57.0,4.0,59.0,51.0,59.0,4.0,-1.9999999999999998,3.0,4.0,0.9228473333333334,1.0482163760084715,2.132637,0.285329,0.350576,,1.7245041088868724,0.8065264444444443,57.0,4.0,59,51,59.0,4.0,-1.9999999999999998,3.0,4,0.9228473333333334,1.0482163760084715,2.132637,0.285329,0.350576,,1.7245041088868724,0.8065264444444443,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,50.0,0.0,50.0,50.0,50.0,,,0.0,2.0,1.509411,,1.509411,1.509411,1.509411,,,0.0,50.0,0.0,50,50,50.0,,,0.0,2,1.509411,,1.509411,1.509411,1.509411,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,50.0,0.0,50.0,50.0,50.0,,,0.0,2.0,1.509411,,1.509411,1.509411,1.509411,,,0.0,50.0,0.0,50,50,50.0,,,0.0,2,1.509411,,1.509411,1.509411,1.509411,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,50.0,0.0,50.0,50.0,50.0,,,0.0,2.0,1.509411,,1.509411,1.509411,1.509411,,,0.0,50.0,0.0,50,50,50.0,,,0.0,2,1.509411,,1.509411,1.509411,1.509411,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.147644,,0.147644,0.147644,0.147644,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.147644,,0.147644,0.147644,0.147644,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.4620585,0.4446492501067555,0.776473,0.147644,0.4620585,,,0.3144145,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerMoesBulb2_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,1.102689,,1.102689,1.102689,1.102689,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,1.102689,,1.102689,1.102689,1.102689,,,0.0,,,,,,,,,,,,,,,,,
