Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,55.0,6.928203230275509,59.0,47.0,59.0,,-1.7320508075688774,5.333333333333333,3.0,0.327019,0.08271310862251523,0.385506,0.268532,0.327019,,,0.05848700000000001,55.0,6.928203230275509,59,47,59.0,,-1.7320508075688774,5.333333333333333,3,0.327019,0.08271310862251523,0.385506,0.268532,0.327019,,,0.05848700000000001,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,60.0,8.660254037844387,65.0,50.0,65.0,,-1.7320508075688774,6.666666666666667,3.0,0.300087,0.3909649961722916,0.576541,0.023633,0.300087,,,0.276454,60.0,8.660254037844387,65,50,65.0,,-1.7320508075688774,6.666666666666667,3,0.300087,0.3909649961722916,0.576541,0.023633,0.300087,,,0.276454,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,59.0,8.215838362577491,65.0,50.0,65.0,-3.333333333333333,-0.6085806194501846,7.2,5.0,0.29290325,0.27191916297112395,0.576541,0.023633,0.2857195,-4.894191229861821,0.060093104954591234,0.23093624999999998,59.0,8.215838362577491,65,50,65.0,-3.333333333333333,-0.6085806194501846,7.2,5,0.29290325,0.27191916297112395,0.576541,0.023633,0.2857195,-4.894191229861821,0.060093104954591234,0.23093624999999998,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,59.0,8.215838362577491,65.0,50.0,65.0,-3.333333333333333,-0.6085806194501846,7.2,5.0,0.29290325,0.27191916297112395,0.576541,0.023633,0.2857195,-4.894191229861821,0.060093104954591234,0.23093624999999998,59.0,8.215838362577491,65,50,65.0,-3.333333333333333,-0.6085806194501846,7.2,5,0.29290325,0.27191916297112395,0.576541,0.023633,0.2857195,-4.894191229861821,0.060093104954591234,0.23093624999999998,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,57.5,10.606601717798213,65.0,50.0,57.5,,,7.5,2.0,0.100301,,0.100301,0.100301,0.100301,,,0.0,57.5,10.606601717798213,65,50,57.5,,,7.5,2,0.100301,,0.100301,0.100301,0.100301,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,56.75,4.5,59.0,50.0,59.0,4.0,-1.9999999999999998,3.375,4.0,0.8838933333333334,0.8851298913641621,1.889531,0.223041,0.539108,,1.4869153140579436,0.6704251111111111,56.75,4.5,59,50,59.0,4.0,-1.9999999999999998,3.375,4,0.8838933333333334,0.8851298913641621,1.889531,0.223041,0.539108,,1.4869153140579436,0.6704251111111111,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.3810745,0.22349311900928856,0.539108,0.223041,0.3810745,,,0.15803350000000002,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.3810745,0.22349311900928856,0.539108,0.223041,0.3810745,,,0.15803350000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.3810745,0.22349311900928856,0.539108,0.223041,0.3810745,,,0.15803350000000002,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.3810745,0.22349311900928856,0.539108,0.223041,0.3810745,,,0.15803350000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,60.333333333333336,2.309401076758503,63.0,59.0,59.0,,1.7320508075688683,1.7777777777777786,3.0,0.33883300000000005,0.01020072242539713,0.346046,0.33162,0.33883300000000005,,,0.007212999999999997,60.333333333333336,2.309401076758503,63,59,59.0,,1.7320508075688683,1.7777777777777786,3,0.33883300000000005,0.01020072242539713,0.346046,0.33162,0.33883300000000005,,,0.007212999999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPhilipsLamp3-1_group.csv,61.0,2.309401076758503,63.0,59.0,61.0,-6.0,0.0,2.0,4.0,0.3838846666666667,0.07836443949479466,0.473988,0.33162,0.346046,,1.6662504749781357,0.060068888888888894,61.0,2.309401076758503,63,59,61.0,-6.0,0.0,2.0,4,0.3838846666666667,0.07836443949479466,0.473988,0.33162,0.346046,,1.6662504749781357,0.060068888888888894,,,,,,,,,,,,,,,,,
