Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,51.0,0.0,51.0,51.0,51.0,,,0.0,2.0,0.255731,,0.255731,0.255731,0.255731,,,0.0,51.0,0.0,51,51,51.0,,,0.0,2,0.255731,,0.255731,0.255731,0.255731,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.268547,,0.268547,0.268547,0.268547,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.268547,,0.268547,0.268547,0.268547,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.316407,,0.316407,0.316407,0.316407,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.316407,,0.316407,0.316407,0.316407,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,55.0,6.928203230275509,59.0,47.0,59.0,,-1.7320508075688774,5.333333333333333,3.0,0.315775,0.13141155264283272,0.408697,0.222853,0.315775,,,0.09292199999999999,55.0,6.928203230275509,59,47,59.0,,-1.7320508075688774,5.333333333333333,3,0.315775,0.13141155264283272,0.408697,0.222853,0.315775,,,0.09292199999999999,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.339197,,0.339197,0.339197,0.339197,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.339197,,0.339197,0.339197,0.339197,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,59.0,0.0,59.0,59.0,59.0,,,0.0,2.0,0.286346,,0.286346,0.286346,0.286346,,,0.0,59.0,0.0,59,59,59.0,,,0.0,2,0.286346,,0.286346,0.286346,0.286346,,,0.0,,,,,,,,,,,,,,,,,
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,,,,,,,,,,,,,,,,,,50.0,0.0,50,50,50.0,0.0,0.0,0.0,20,0.024817999999999996,0.06318457636339916,0.27858,0.003057,0.004607,16.63601458684662,3.997955638480706,0.03225642105263157,50.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,20.0,0.024817999999999996,0.06318457636339916,0.27858,0.003057,0.004607,16.63601458684662,3.997955638480706,0.03225642105263157
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,54.0,0.0,54.0,54.0,54.0,,0.0,0.0,3.0,0.40159900000000004,0.2842215706979328,0.602574,0.200624,0.40159900000000004,,,0.20097500000000001,54.0,0.0,54,54,54.0,,0.0,0.0,3,0.40159900000000004,0.2842215706979328,0.602574,0.200624,0.40159900000000004,,,0.20097500000000001,,,,,,,,,,,,,,,,,
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,55.5,15.588457268119896,78.0,45.0,49.5,2.3401920438957475,1.596622966647854,11.25,4.0,0.21942499999999998,0.17162459651518483,0.400518,0.059172,0.198585,,0.5383682906804594,0.12072866666666665,55.714285714285715,11.426785574754984,78,45,54.0,2.1089859180556276,1.3273737203189897,8.244897959183673,7,0.12043716666666665,0.15308286051209868,0.400518,0.005614,0.058953000000000005,2.0970227205936123,1.5790618260759481,0.1170702222222222,56.0,5.196152422706632,59.0,50.0,59.0,,-1.7320508075688774,4.0,3.0,0.1342735,0.08896463967498547,0.197181,0.071366,0.1342735,,,0.0629075
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,,,,,,,,,,,,,,,,,,72.5,31.81980515339464,95,50,72.5,,,22.5,2,0.053414,,0.053414,0.053414,0.053414,,,0.0,,,,,,,,,,,,,,,,,
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,52.0,2.8284271247461903,54.0,50.0,52.0,,,2.0,2.0,0.401595,,0.401595,0.401595,0.401595,,,0.0,53.333333333333336,3.0550504633038935,56,50,54.0,,-0.9352195295828315,2.2222222222222214,3,0.20079750000000002,0.22512087881957996,0.359982,0.041613,0.20079750000000002,,,0.1591845,,,,,,,,,,,,,,,,,
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,57.0,5.196152422706632,63.0,54.0,54.0,,1.7320508075688774,4.0,3.0,0.2264535,0.24760121760706266,0.401534,0.051373,0.2264535,,,0.1750805,55.125,3.181980515339464,63,54,54.0,8.0,2.8284271247461903,1.96875,8,0.07090757142857143,0.14675323998110698,0.401534,0.004387,0.007754,6.7019673453235065,2.5765725160134,0.094464693877551,54.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,5.0,0.0058535,0.0015484737647115622,0.007754,0.004387,0.0056365,-2.5152887132679567,0.5063371047767193,0.0012504999999999997
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,,,,,,,,,,,,,,,,,,53.40909090909091,3.4456195919303627,66,45,54.0,10.088647520152298,1.7689933169839058,1.7892561983471078,22,0.011724809523809525,0.021837280548683363,0.103058,0.003374,0.005239,17.222918375872837,4.058811295078189,0.01070435827664399,52.80952380952381,2.0400746951777933,54.0,45.0,54.0,11.103013137155633,-2.9959134751822987,1.3605442176870748,21.0,0.011838,0.022398255759157486,0.103058,0.003374,0.005238,16.395264922736576,3.9635545755653796,0.011196300000000001
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,45.0,0.0,45.0,45.0,45.0,,,0.0,2.0,0.075311,,0.075311,0.075311,0.075311,,,0.0,47.5,2.886751345948129,50,45,47.5,-6.0,0.0,2.5,4,0.027504333333333335,0.03533454972591745,0.068305,0.007006,0.007202,,1.7319908526557888,0.027200444444444444,50.0,0.0,50.0,50.0,50.0,,,0.0,2.0,0.075507,,0.075507,0.075507,0.075507,,,0.0
Coordinator,Coordinator,./Data\Power\Topology_B\4-Group_dataset\powerPowerPlug3_group.csv,,,,,,,,,,,,,,,,,,50.0,0.0,50,50,50.0,0.0,0.0,0.0,24,0.018606956521739132,0.028411854376903797,0.098641,0.00289,0.004463,3.1773045531959703,2.0541240008321653,0.020107761814744805,50.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,24.0,0.018606956521739132,0.028411854376903797,0.098641,0.00289,0.004463,3.1773045531959703,2.0541240008321653,0.020107761814744805
