Device Name,Device Type,File Name,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT
Aqara Vibration,Vibration,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,20.0,0.048772052631578945,0.10397755894982216,0.413293,0.005008,0.005641,8.660872020047108,2.8682511705351366,0.06826713573407202,100.0,0.0,100,100,100.0,0.0,0.0,0.0,20,0.048772052631578945,0.10397755894982216,0.413293,0.005008,0.005641,8.660872020047108,2.8682511705351366,0.06826713573407202,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,51.0,0.0,51,51,51.0,0.0,0.0,0.0,4,0.3313086666666667,0.16988720368624982,0.508336,0.169599,0.315991,,0.4024384183861223,0.11801822222222223,51.0,0.0,51.0,51.0,51.0,0.0,0.0,0.0,4.0,0.3313086666666667,0.16988720368624982,0.508336,0.169599,0.315991,,0.4024384183861223,0.11801822222222223
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,6,0.15091839999999998,0.1086956089122279,0.236332,0.031882,0.222158,-3.319181469302136,-0.5984447926862554,0.09514912,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,6.0,0.15091839999999998,0.1086956089122279,0.236332,0.031882,0.222158,-3.319181469302136,-0.5984447926862554,0.09514912
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.1306135,0.11403678106499966,0.236332,0.031882,0.12712,-5.922889848934729,0.013359160502953016,0.0986315,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.1306135,0.11403678106499966,0.236332,0.031882,0.12712,-5.922889848934729,0.013359160502953016,0.0986315
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,63.0,0.0,63,63,63.0,0.0,0.0,0.0,4,0.019193333333333333,0.011294427932982411,0.032215,0.012057,0.013308,,1.7081757992970625,0.008681111111111112,63.0,0.0,63.0,63.0,63.0,0.0,0.0,0.0,4.0,0.019193333333333333,0.011294427932982411,0.032215,0.012057,0.013308,,1.7081757992970625,0.008681111111111112
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,63.0,0.0,63,63,63.0,0.0,0.0,0.0,7,0.08197766666666666,0.088114819016251,0.20054,0.012057,0.038752999999999996,-1.83495384883049,0.8926022420983003,0.07501322222222222,63.0,0.0,63.0,63.0,63.0,0.0,0.0,0.0,7.0,0.08197766666666666,0.088114819016251,0.20054,0.012057,0.038752999999999996,-1.83495384883049,0.8926022420983003,0.07501322222222222
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,63.0,0.0,63,63,63.0,,0.0,0.0,3,0.1229155,0.10977762067243031,0.20054,0.045291,0.1229155,,,0.0776245,63.0,0.0,63.0,63.0,63.0,,0.0,0.0,3.0,0.1229155,0.10977762067243031,0.20054,0.045291,0.1229155,,,0.0776245
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,7,0.12484166666666667,0.11926148783688163,0.357194,0.034454,0.1026345,4.283623291969519,1.9598180389813504,0.07745077777777777,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,7.0,0.12484166666666667,0.11926148783688163,0.357194,0.034454,0.1026345,4.283623291969519,1.9598180389813504,0.07745077777777777
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,59.0,0.0,59,59,59.0,0.0,0.0,0.0,7,0.176991,0.13935238275393788,0.357194,0.034454,0.109762,-1.766993208042014,0.7745427772899572,0.11736333333333336,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,7.0,0.176991,0.13935238275393788,0.357194,0.034454,0.109762,-1.766993208042014,0.7745427772899572,0.11736333333333336
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket2_group.csv,,,,,,,,,,,,,,,,,,57.5,2.1213203435596424,59,56,57.5,,,1.5,2,1.887569,,1.887569,1.887569,1.887569,,,0.0,57.5,2.1213203435596424,59.0,56.0,57.5,,,1.5,2.0,1.887569,,1.887569,1.887569,1.887569,,,0.0
