Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,51.285714285714285,0.7559289460184543,53.0,51.0,51.0,7.000000000000039,2.645751311064597,0.4897959183673462,7.0,0.270047,0.22372483700385165,0.602061,0.031724,0.2541125,-0.911017596920626,0.41529006912238137,0.16737266666666664,51.285714285714285,0.7559289460184543,53,51,51.0,7.000000000000039,2.645751311064597,0.4897959183673462,7,0.270047,0.22372483700385165,0.602061,0.031724,0.2541125,-0.911017596920626,0.41529006912238137,0.16737266666666664,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,51.0,0.0,51.0,51.0,51.0,,0.0,0.0,3.0,0.2541125,8.980256121068321e-05,0.254176,0.254049,0.2541125,,,6.349999999999412e-05,51.0,0.0,51,51,51.0,,0.0,0.0,3,0.2541125,8.980256121068321e-05,0.254176,0.254049,0.2541125,,,6.349999999999412e-05,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,59.0,0.0,59.0,59.0,59.0,,0.0,0.0,3.0,0.3489545,0.00798535687993968,0.354601,0.343308,0.3489545,,,0.005646499999999999,59.0,0.0,59,59,59.0,,0.0,0.0,3,0.3489545,0.00798535687993968,0.354601,0.343308,0.3489545,,,0.005646499999999999,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.330278,0.032837751430327876,0.354601,0.292925,0.343308,,-1.504455422108005,0.024901999999999997,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.330278,0.032837751430327876,0.354601,0.292925,0.343308,,-1.504455422108005,0.024901999999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,4.0,0.330278,0.032837751430327876,0.354601,0.292925,0.343308,,-1.504455422108005,0.024901999999999997,59.0,0.0,59,59,59.0,0.0,0.0,0.0,4,0.330278,0.032837751430327876,0.354601,0.292925,0.343308,,-1.504455422108005,0.024901999999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,59.5,4.949747468305833,63.0,56.0,59.5,,,3.5,2.0,1.064586,,1.064586,1.064586,1.064586,,,0.0,59.5,4.949747468305833,63,56,59.5,,,3.5,2,1.064586,,1.064586,1.064586,1.064586,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,61.6,3.1304951684997055,63.0,56.0,63.0,5.000000000000014,-2.236067977499792,2.2399999999999993,5.0,0.389477,0.4971868772235781,1.064586,0.003928,0.244697,-0.01414371803868697,1.1008660935043653,0.37427550000000004,61.6,3.1304951684997055,63,56,63.0,5.000000000000014,-2.236067977499792,2.2399999999999993,5,0.389477,0.4971868772235781,1.064586,0.003928,0.244697,-0.01414371803868697,1.1008660935043653,0.37427550000000004,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,63.0,0.0,63.0,63.0,63.0,0.0,0.0,0.0,4.0,0.16444066666666668,0.25873553757521084,0.462919,0.003928,0.026475,,1.7172653529361417,0.19898555555555555,63.0,0.0,63,63,63.0,0.0,0.0,0.0,4,0.16444066666666668,0.25873553757521084,0.462919,0.003928,0.026475,,1.7172653529361417,0.19898555555555555,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,61.25,3.5,63.0,56.0,63.0,4.0,-1.9999999999999998,2.625,4.0,0.8397370000000001,1.4281818736011882,2.488808,0.003928,0.026475,,1.7315651698947014,1.0993806666666668,61.25,3.5,63,56,63.0,4.0,-1.9999999999999998,2.625,4,0.8397370000000001,1.4281818736011882,2.488808,0.003928,0.026475,,1.7315651698947014,1.0993806666666668,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Power\Topology_B\4-Group_dataset\powerSmartSocket3_group.csv,59.0,0.0,59.0,59.0,59.0,0.0,0.0,0.0,5.0,0.17206125,0.10243500319186147,0.254295,0.04206,0.195945,-2.0824384152023043,-0.7042462424499878,0.08194475000000001,59.0,0.0,59,59,59.0,0.0,0.0,0.0,5,0.17206125,0.10243500319186147,0.254295,0.04206,0.195945,-2.0824384152023043,-0.7042462424499878,0.08194475000000001,,,,,,,,,,,,,,,,,
