Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 16, 2023 13:45:15.000000000",0.0,74,0x0000,0xffff,173.0,0x0000,0xfffc
"Oct 16, 2023 13:45:15.034025000",0.034025,74,0x82eb,0xffff,83.0,0x82eb,0xfffc
"Oct 16, 2023 13:45:16.896194000",1.862169,65,0xebe5,0xffff,133.0,0xebe5,0xfffc
"Oct 16, 2023 13:45:18.947894000",2.0517,74,0xe5c4,0xffff,111.0,0xe5c4,0xfffc
"Oct 16, 2023 13:45:22.395207000",3.447313,108,0x09ac,0xffff,202.0,,
"Oct 16, 2023 13:45:24.573831000",2.178624,71,0x6e5f,0xffff,71.0,0x6e5f,0xfffc
"Oct 16, 2023 13:45:25.772119000",1.198288,71,0xe694,0xffff,143.0,0xe694,0xfffc
"Oct 16, 2023 13:45:26.414168000",0.642049,74,0x054f,0xffff,117.0,0x054f,0xfffc
"Oct 16, 2023 13:45:28.140439000",1.726271,74,0x482d,0xffff,161.0,0x482d,0xfffc
"Oct 16, 2023 13:45:28.740664000",0.600225,65,0xc8f0,0xffff,169.0,0xc8f0,0xfffc
"Oct 16, 2023 13:45:29.160580000",0.419916,60,0x6e5f,0x0000,72.0,0x6e5f,0x0000
"Oct 16, 2023 13:45:29.162883000",0.002303,5,,,72.0,,
"Oct 16, 2023 13:45:29.204382000",0.041499,50,0x0000,0x482d,174.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:29.206365000",0.001983,5,,,174.0,,
"Oct 16, 2023 13:45:29.209209000",0.002844,50,0x482d,0x6e5f,162.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:29.211160000",0.001951,5,,,162.0,,
"Oct 16, 2023 13:45:29.216407000",0.005247,45,0x6e5f,0x0000,73.0,0x6e5f,0x0000
"Oct 16, 2023 13:45:29.218230000",0.001823,5,,,73.0,,
"Oct 16, 2023 13:45:30.043005000",0.824775,74,0x82eb,0xffff,84.0,0x82eb,0xfffc
"Oct 16, 2023 13:45:30.196585000",0.15358,74,0x0000,0xffff,175.0,0x0000,0xfffc
"Oct 16, 2023 13:45:31.038800000",0.842215,52,0x0000,0xe694,176.0,0x0000,0xe694
"Oct 16, 2023 13:45:31.040818000",0.002018,5,,,176.0,,
"Oct 16, 2023 13:45:31.049099000",0.008281,63,0xe694,0x0000,144.0,0xe694,0x0000
"Oct 16, 2023 13:45:31.051498000",0.002399,5,,,144.0,,
"Oct 16, 2023 13:45:31.083377000",0.031879,52,0x0000,0x482d,177.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.085424000",0.002047,5,,,177.0,,
"Oct 16, 2023 13:45:31.089904000",0.00448,52,0x482d,0x6e5f,163.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.091909000",0.002005,5,,,163.0,,
"Oct 16, 2023 13:45:31.099750000",0.007841,63,0x6e5f,0x0000,74.0,,
"Oct 16, 2023 13:45:31.103331000",0.003581,45,0x0000,0xe694,178.0,0x0000,0xe694
"Oct 16, 2023 13:45:31.105124000",0.001793,5,,,178.0,,
"Oct 16, 2023 13:45:31.110136000",0.005012,63,0x6e5f,0x0000,74.0,0x6e5f,0x0000
"Oct 16, 2023 13:45:31.112535000",0.002399,5,,,74.0,,
"Oct 16, 2023 13:45:31.115428000",0.002893,63,0x6e5f,0x0000,74.0,0x6e5f,0x0000
"Oct 16, 2023 13:45:31.117827000",0.002399,5,,,74.0,,
"Oct 16, 2023 13:45:31.127105000",0.009278,54,0x0000,0xe694,179.0,0x0000,0xe694
"Oct 16, 2023 13:45:31.129184000",0.002079,5,,,179.0,,
"Oct 16, 2023 13:45:31.137320000",0.008136,66,0xe694,0x0000,145.0,0xe694,0x0000
"Oct 16, 2023 13:45:31.139815000",0.002495,5,,,145.0,,
"Oct 16, 2023 13:45:31.144237000",0.004422,54,0x0000,0x482d,180.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.146348000",0.002111,5,,,180.0,,
"Oct 16, 2023 13:45:31.150502000",0.004154,54,0x482d,0x6e5f,164.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.152583000",0.002081,5,,,164.0,,
"Oct 16, 2023 13:45:31.160321000",0.007738,66,0x6e5f,0x0000,75.0,0x6e5f,0x0000
"Oct 16, 2023 13:45:31.162816000",0.002495,5,,,75.0,,
"Oct 16, 2023 13:45:31.170316000",0.0075,54,0x0000,0x482d,181.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.172427000",0.002111,5,,,181.0,,
"Oct 16, 2023 13:45:31.181043000",0.008616,54,0x6e5f,0xc8f0,76.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.183123000",0.00208,5,,,76.0,,
"Oct 16, 2023 13:45:31.184215000",0.001092,45,0x0000,0x482d,182.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.186038000",0.001823,5,,,182.0,,
"Oct 16, 2023 13:45:31.188377000",0.002339,45,0x482d,0x6e5f,166.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.190159000",0.001782,5,,,166.0,,
"Oct 16, 2023 13:45:31.190867000",0.000708,52,0x0000,0x482d,183.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.192914000",0.002047,5,,,183.0,,
"Oct 16, 2023 13:45:31.196327000",0.003413,66,0xc8f0,0x0000,170.0,0xc8f0,0x0000
"Oct 16, 2023 13:45:31.198822000",0.002495,5,,,170.0,,
"Oct 16, 2023 13:45:31.200374000",0.001552,52,0x482d,0x6e5f,167.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.202391000",0.002017,5,,,167.0,,
"Oct 16, 2023 13:45:31.206100000",0.003709,52,0x6e5f,0xc8f0,77.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.208118000",0.002018,5,,,77.0,,
"Oct 16, 2023 13:45:31.214840000",0.006722,45,0x0000,0xe694,184.0,0x0000,0xe694
"Oct 16, 2023 13:45:31.216622000",0.001782,5,,,184.0,,
"Oct 16, 2023 13:45:31.221089000",0.004467,45,0x0000,0x482d,185.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.226203000",0.005114,63,0xc8f0,0x0000,171.0,0xc8f0,0x0000
"Oct 16, 2023 13:45:31.228602000",0.002399,5,,,171.0,,
"Oct 16, 2023 13:45:31.234965000",0.006363,45,0x482d,0x6e5f,168.0,0x0000,0x6e5f
"Oct 16, 2023 13:45:31.236758000",0.001793,5,,,168.0,,
"Oct 16, 2023 13:45:31.239187000",0.002429,63,0xc8f0,0x0000,172.0,0xc8f0,0x0000
"Oct 16, 2023 13:45:31.241586000",0.002399,5,,,172.0,,
"Oct 16, 2023 13:45:31.248187000",0.006601,45,0x0000,0x482d,186.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.250010000",0.001823,5,,,186.0,,
"Oct 16, 2023 13:45:31.253939000",0.003929,45,0x482d,0x6e5f,169.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.255730000",0.001791,5,,,169.0,,
"Oct 16, 2023 13:45:31.259309000",0.003579,45,0x6e5f,0xc8f0,78.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.261100000",0.001791,5,,,78.0,,
"Oct 16, 2023 13:45:31.265112000",0.004012,54,0x0000,0xe5c4,187.0,0x0000,0x482d
"Oct 16, 2023 13:45:31.267222000",0.00211,5,,,187.0,,
"Oct 16, 2023 13:45:31.269975000",0.002753,54,0xe5c4,0x482d,112.0,0x0000,0x482d
"Oct 16, 2023 13:45:31.272086000",0.002111,5,,,112.0,,
"Oct 16, 2023 13:45:31.276575000",0.004489,55,0x482d,0x0000,170.0,0x482d,0x0000
"Oct 16, 2023 13:45:31.278718000",0.002143,5,,,170.0,,
"Oct 16, 2023 13:45:31.283469000",0.004751,45,0x0000,0x482d,188.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.285292000",0.001823,5,,,188.0,,
"Oct 16, 2023 13:45:31.288486000",0.003194,45,0x482d,0x6e5f,171.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.290278000",0.001792,5,,,171.0,,
"Oct 16, 2023 13:45:31.291328000",0.00105,45,0x0000,0x482d,189.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.293152000",0.001824,5,,,189.0,,
"Oct 16, 2023 13:45:31.294105000",0.000953,45,0x6e5f,0xc8f0,79.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.295896000",0.001791,5,,,79.0,,
"Oct 16, 2023 13:45:31.296734000",0.000838,45,0x482d,0x6e5f,172.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.298528000",0.001794,5,,,172.0,,
"Oct 16, 2023 13:45:31.302109000",0.003581,45,0x6e5f,0xc8f0,80.0,0x0000,0xc8f0
"Oct 16, 2023 13:45:31.303903000",0.001794,5,,,80.0,,
"Oct 16, 2023 13:45:31.323318000",0.019415,53,0x482d,0x0000,173.0,0x482d,0x0000
"Oct 16, 2023 13:45:31.325396000",0.002078,5,,,173.0,,
"Oct 16, 2023 13:45:31.364568000",0.039172,50,0x0000,0x482d,190.0,0x0000,0x482d
"Oct 16, 2023 13:45:31.366552000",0.001984,5,,,190.0,,
"Oct 16, 2023 13:45:31.370892000",0.00434,55,0x482d,0x0000,174.0,0x482d,0x0000
"Oct 16, 2023 13:45:31.373035000",0.002143,5,,,174.0,,
"Oct 16, 2023 13:45:31.418348000",0.045313,53,0x482d,0x0000,175.0,0x482d,0x0000
"Oct 16, 2023 13:45:31.420427000",0.002079,5,,,175.0,,
