Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-17 12:51:48.000000,48,0x054f,0xffff,180.0,,,0.0
2023-10-17 12:51:48.024738,48,0xe694,0xffff,135.0,0x0000,0xfffc,0.024738
2023-10-17 12:51:48.030412,48,0xebe5,0xffff,45.0,,,0.005674
2023-10-17 12:51:48.057820,48,0x4444,0x11ff,82.0,,,0.027408
2023-10-17 12:51:48.088480,48,0x82eb,0xffff,131.0,0x0000,0xfffc,0.03066
2023-10-17 12:51:48.495892,48,0x054f,0xffff,181.0,,,0.407412
2023-10-17 12:51:49.140958,74,0x482d,0xffff,250.0,0x482d,0xfffc,0.645066
2023-10-17 12:51:49.169976,74,0x82eb,0xffff,132.0,0x82eb,0xfffc,0.029018
2023-10-17 12:51:51.721018,55,0x054f,0x0000,182.0,,,2.551042
2023-10-17 12:51:51.724082,55,0x054f,0x0000,182.0,,,0.003064
2023-10-17 12:51:51.727791,55,0x054f,0x0000,182.0,,,0.003709
2023-10-17 12:51:51.733090,55,0x054f,0x0000,182.0,,,0.005299
2023-10-17 12:51:51.766242,55,0x054f,0x0000,183.0,0x054f,0x0000,0.033152
2023-10-17 12:51:51.769342,55,0x054f,0x0000,183.0,0x054f,0x0000,0.0031
2023-10-17 12:51:51.772411,55,0x054f,0x0000,183.0,0x054f,0x0000,0.003069
2023-10-17 12:51:51.777406,55,0x054f,0x0000,183.0,0x054f,0x0000,0.004995
2023-10-17 12:51:51.782049,59,0x054f,0x0000,184.0,0x054f,0x0000,0.004643
2023-10-17 12:51:51.785906,59,0x054f,0x0000,184.0,0x054f,0x0000,0.003857
2023-10-17 12:51:51.790736,59,0x054f,0x0000,184.0,0x054f,0x0000,0.00483
2023-10-17 12:51:51.794555,59,0x054f,0x0000,184.0,0x054f,0x0000,0.003819
2023-10-17 12:51:51.823079,55,0x054f,0x0000,185.0,0x054f,0x0000,0.028524
2023-10-17 12:51:51.826153,55,0x054f,0x0000,185.0,0x054f,0x0000,0.003074
2023-10-17 12:51:51.830822,55,0x054f,0x0000,185.0,0x054f,0x0000,0.004669
2023-10-17 12:51:51.834209,55,0x054f,0x0000,185.0,0x054f,0x0000,0.003387
