Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.766242,55,0x054f,0x0000,183.0,0x054f,0x0000,0.033152
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.769342,55,0x054f,0x0000,183.0,0x054f,0x0000,0.0031
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.772411,55,0x054f,0x0000,183.0,0x054f,0x0000,0.003069
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.777406,55,0x054f,0x0000,183.0,0x054f,0x0000,0.004995
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.782049,59,0x054f,0x0000,184.0,0x054f,0x0000,0.004643
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.785906,59,0x054f,0x0000,184.0,0x054f,0x0000,0.003857
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.790736,59,0x054f,0x0000,184.0,0x054f,0x0000,0.00483
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.794555,59,0x054f,0x0000,184.0,0x054f,0x0000,0.003819
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.823079,55,0x054f,0x0000,185.0,0x054f,0x0000,0.028524
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.826153,55,0x054f,0x0000,185.0,0x054f,0x0000,0.003074
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.830822,55,0x054f,0x0000,185.0,0x054f,0x0000,0.004669
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.834209,55,0x054f,0x0000,185.0,0x054f,0x0000,0.003387
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.840813,59,0x054f,0x0000,186.0,0x054f,0x0000,0.006604
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.844019,59,0x054f,0x0000,186.0,0x054f,0x0000,0.003206
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.847527,59,0x054f,0x0000,186.0,0x054f,0x0000,0.003508
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.850730,59,0x054f,0x0000,186.0,0x054f,0x0000,0.003203
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.882627,55,0x054f,0x0000,187.0,0x054f,0x0000,0.031897
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.885718,55,0x054f,0x0000,187.0,0x054f,0x0000,0.003091
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.890704,55,0x054f,0x0000,187.0,0x054f,0x0000,0.004986
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.895359,55,0x054f,0x0000,187.0,0x054f,0x0000,0.004655
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.934668,55,0x054f,0x0000,189.0,0x054f,0x0000,0.022237
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.939657,55,0x054f,0x0000,189.0,0x054f,0x0000,0.004989
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.943060,55,0x054f,0x0000,189.0,0x054f,0x0000,0.003403
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:51.947402,55,0x054f,0x0000,189.0,0x054f,0x0000,0.004342
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-17 12:51:53.303975,74,0x054f,0xffff,192.0,0x054f,0xfffc,0.229949
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-17 12:51:53.414488,55,0x054f,0x0000,195.0,0x054f,0x0000,0.005252
