Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,61.0,15.01110699893027,74.0,48.0,61.0,-6.0,0.0,13.0,4.0,0.381746,0.581130364816708,1.052478,0.029018,0.063742,,1.7250963393857952,0.44715466666666664,61.0,15.01110699893027,74,48,61.0,-6.0,0.0,13.0,4,0.381746,0.581130364816708,1.052478,0.029018,0.063742,,1.7250963393857952,0.44715466666666664,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,74.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,4.0,1.5837043333333334,2.226239928139448,4.133999,0.029018,0.588096,,1.6099718307706035,1.7001964444444446,74.0,0.0,74,74,74.0,0.0,0.0,0.0,4,1.5837043333333334,2.226239928139448,4.133999,0.029018,0.588096,,1.6099718307706035,1.7001964444444446,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,70.4,6.5038450166036395,74.0,59.0,74.0,4.151199637845199,-2.0315314900210604,4.559999999999997,5.0,0.40904299999999993,0.2557437710196151,0.588096,0.029725,0.5091755,3.5992988808170665,-1.863775983524791,0.18965900000000002,70.4,6.5038450166036395,74,59,74.0,4.151199637845199,-2.0315314900210604,4.559999999999997,5,0.40904299999999993,0.2557437710196151,0.588096,0.029725,0.5091755,3.5992988808170665,-1.863775983524791,0.18965900000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,70.4,6.5038450166036395,74.0,59.0,74.0,4.151199637845199,-2.0315314900210604,4.559999999999997,5.0,0.40904299999999993,0.2557437710196151,0.588096,0.029725,0.5091755,3.5992988808170665,-1.863775983524791,0.18965900000000002,70.4,6.5038450166036395,74,59,74.0,4.151199637845199,-2.0315314900210604,4.559999999999997,5,0.40904299999999993,0.2557437710196151,0.588096,0.029725,0.5091755,3.5992988808170665,-1.863775983524791,0.18965900000000002,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,69.5,6.220932405998316,74.0,59.0,72.5,0.20010816657652786,-1.2112145301024304,5.0,6.0,0.5677629999999999,0.4183465660328766,1.202643,0.029725,0.519651,2.0513605711617764,0.5674755518575402,0.2620851999999999,69.5,6.220932405998316,74,59,72.5,0.20010816657652786,-1.2112145301024304,5.0,6,0.5677629999999999,0.4183465660328766,1.202643,0.029725,0.519651,2.0513605711617764,0.5674755518575402,0.2620851999999999,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,69.5,6.220932405998316,74.0,59.0,72.5,0.20010816657652786,-1.2112145301024304,5.0,6.0,0.5677629999999999,0.4183465660328766,1.202643,0.029725,0.519651,2.0513605711617764,0.5674755518575402,0.2620851999999999,69.5,6.220932405998316,74,59,72.5,0.20010816657652786,-1.2112145301024304,5.0,6,0.5677629999999999,0.4183465660328766,1.202643,0.029725,0.519651,2.0513605711617764,0.5674755518575402,0.2620851999999999,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,67.25,6.652067347825035,74.0,59.0,68.0,-1.699511634587763,-0.48156304844927,5.25,4.0,0.5770226666666666,0.5903685194574091,1.202643,0.029725,0.4987,,0.5864957336915799,0.41708022222222213,67.25,6.652067347825035,74,59,68.0,-1.699511634587763,-0.48156304844927,5.25,4,0.5770226666666666,0.5903685194574091,1.202643,0.029725,0.4987,,0.5864957336915799,0.41708022222222213,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,65.0,0.0,65.0,65.0,65.0,,,0.0,2.0,3.010817,,3.010817,3.010817,3.010817,,,0.0,65.0,0.0,65,65,65.0,,,0.0,2,3.010817,,3.010817,3.010817,3.010817,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,65.0,0.0,65.0,65.0,65.0,,,0.0,2.0,3.010817,,3.010817,3.010817,3.010817,,,0.0,65.0,0.0,65,65,65.0,,,0.0,2,3.010817,,3.010817,3.010817,3.010817,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Scenario\Topology_A\4-Group_dataset\scenario2_group.csv,69.5,6.363961030678928,74.0,65.0,69.5,,,4.5,2.0,2.599999,,2.599999,2.599999,2.599999,,,0.0,69.5,6.363961030678928,74,65,69.5,,,4.5,2,2.599999,,2.599999,2.599999,2.599999,,,0.0,,,,,,,,,,,,,,,,,
