Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.721018000",2.551042,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.724082000",0.003064,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.727791000",0.003709,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.733090000",0.005299,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.766242000",0.033152,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.769342000",0.0031,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.772411000",0.003069,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.777406000",0.004995,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.782049000",0.004643,59,0x054f,0x0000,184.0,0x054f,0x0000
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.785906000",0.003857,59,0x054f,0x0000,184.0,0x054f,0x0000
