Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Aqara Door 1,Door,52.0,0.0,0.710592,0.0,40.0,40.0,40.0
Aqara Door 2,Door,83.0,0.0,0.260484,0.0,198.0,198.0,198.0
Aqara Door 2,Door,52.0,0.0,0.266431,0.0,200.0,200.0,200.0
Aqara Door 2,Door,52.0,0.0,0.013995,0.0,201.0,201.0,201.0
Aqara Motion,Motion,57.0,0.0,2.703656,0.0,157.0,157.0,157.0
Aqara Motion,Motion,57.0,0.0,1.140127,0.0,158.0,158.0,158.0
Aqara Motion,Motion,57.0,0.0,4.55867,0.0,159.0,159.0,159.0
Aqara Motion,Motion,57.0,0.0,0.725525,0.0,160.0,160.0,160.0
Aqara Vibration,Vibration,53.0,0.0,1.517723,0.0,73.0,73.0,73.0
Aqara Vibration,Vibration,55.0,0.0,3.013158,0.0,74.0,74.0,74.0
Aqara Vibration,Vibration,55.0,0.0,1.151765,0.0,75.0,75.0,75.0
Broadcast,Broadcast,74.0,0.0,0.0170125,0.02405930822987228,173.0,83.0,128.0
Broadcast,Broadcast,65.0,0.0,1.862169,0.0,133.0,133.0,133.0
Broadcast,Broadcast,74.0,0.0,2.0517,0.0,111.0,111.0,111.0
Broadcast,Broadcast,71.0,0.0,2.178624,0.0,71.0,71.0,71.0
Broadcast,Broadcast,71.0,0.0,1.198288,0.0,143.0,143.0,143.0
Broadcast,Broadcast,74.0,0.0,0.642049,0.0,117.0,117.0,117.0
Broadcast,Broadcast,69.5,6.363961030678928,1.163248,0.7962347625279871,169.0,161.0,165.0
Broadcast,Broadcast,74.0,0.0,0.48917750000000004,0.4746065359985048,175.0,84.0,129.5
Broadcast,Broadcast,65.0,0.0,0.410184,0.0,134.0,134.0,134.0
Broadcast,Broadcast,74.0,0.0,4.426061,0.0,113.0,113.0,113.0
Broadcast,Broadcast,71.0,0.0,0.165891,0.0,81.0,81.0,81.0
Broadcast,Broadcast,71.0,0.0,1.272515,0.0,146.0,146.0,146.0
Broadcast,Broadcast,74.0,0.0,0.143978,0.0,122.0,122.0,122.0
Broadcast,Broadcast,74.0,0.0,1.041721,0.0,176.0,176.0,176.0
Broadcast,Broadcast,65.0,0.0,0.740296,0.0,173.0,173.0,173.0
Broadcast,Broadcast,74.0,0.0,1.408707,0.0,85.0,85.0,85.0
Broadcast,Broadcast,69.5,6.363961030678928,0.8906655,0.20535441585829126,193.0,135.0,164.0
Broadcast,Broadcast,74.0,0.0,2.786991,0.0,114.0,114.0,114.0
Broadcast,Broadcast,71.0,4.242640687119285,1.7190745,1.9539700887630036,204.0,82.0,143.0
Broadcast,Broadcast,71.0,0.0,1.241611,0.0,147.0,147.0,147.0
Broadcast,Broadcast,74.0,0.0,0.8872305,1.1345747507240325,177.0,123.0,150.0
Broadcast,Broadcast,65.0,0.0,1.12279,0.0,174.0,174.0,174.0
Broadcast,Broadcast,74.0,0.0,0.676804,0.0,86.0,86.0,86.0
Broadcast,Broadcast,69.5,6.363961030678928,0.2881615,0.31036825814586777,205.0,136.0,170.5
Broadcast,Broadcast,74.0,0.0,3.1286975,4.372464785038354,205.0,115.0,160.0
Broadcast,Broadcast,71.0,0.0,1.159889,0.0,89.0,89.0,89.0
Broadcast,Broadcast,74.0,0.0,1.124563,0.0,150.0,150.0,150.0
Broadcast,Broadcast,74.0,0.0,0.765074,0.0,124.0,124.0,124.0
Broadcast,Broadcast,74.0,0.0,0.957606,0.0,186.0,186.0,186.0
Broadcast,Broadcast,65.0,0.0,1.208646,0.0,181.0,181.0,181.0
Broadcast,Broadcast,74.0,0.0,1.376462,0.0,87.0,87.0,87.0
Broadcast,Broadcast,65.0,0.0,1.900053,0.0,137.0,137.0,137.0
Broadcast,Broadcast,74.0,0.0,1.494768,0.0,207.0,207.0,207.0
Broadcast,Broadcast,74.0,0.0,2.3220895,3.2427627071434784,206.0,116.0,161.0
Broadcast,Broadcast,71.0,0.0,1.560519,0.0,90.0,90.0,90.0
Broadcast,Broadcast,74.0,0.0,0.5897055,0.7852668292450026,151.0,125.0,138.0
Broadcast,Broadcast,74.0,0.0,1.259376,0.0,187.0,187.0,187.0
Broadcast,Broadcast,65.0,0.0,1.568326,0.0,182.0,182.0,182.0
Broadcast,Broadcast,74.0,0.0,1.400736,0.0,88.0,88.0,88.0
Broadcast,Broadcast,65.0,0.0,0.610769,0.0,138.0,138.0,138.0
Broadcast,Broadcast,74.0,0.0,1.852953,0.0,220.0,220.0,220.0
Broadcast,Broadcast,74.0,0.0,4.962816,0.0,207.0,207.0,207.0
Broadcast,Broadcast,72.5,2.1213203435596424,0.4197225,0.27756698878018615,117.0,97.0,107.0
Broadcast,Broadcast,74.0,0.0,1.244963,0.0,154.0,154.0,154.0
Broadcast,Broadcast,74.0,0.0,0.102504,0.0,126.0,126.0,126.0
Broadcast,Broadcast,65.0,0.0,2.379831,0.0,185.0,185.0,185.0
Broadcast,Broadcast,74.0,0.0,1.316653,0.0,89.0,89.0,89.0
Broadcast,Broadcast,74.0,0.0,3.427584,0.0,221.0,221.0,221.0
Broadcast,Broadcast,74.0,0.0,0.759346,0.0,118.0,118.0,118.0
Broadcast,Broadcast,71.0,0.0,0.895286,0.0,98.0,98.0,98.0
Broadcast,Broadcast,74.0,0.0,0.5949875,0.8126856017922921,208.0,155.0,181.5
Broadcast,Broadcast,51.0,0.0,0.06363758823529411,0.14528399077197857,223.0,91.0,153.7058823529412
Broadcast,Broadcast,53.09090909090909,6.934760925288563,0.05118818181818181,0.0594842330736779,225.0,101.0,166.1818181818182
Broadcast,Broadcast,65.0,0.0,1.209653,0.0,189.0,189.0,189.0
Broadcast,Broadcast,71.0,0.0,0.546057,0.0,200.0,200.0,200.0
Broadcast,Broadcast,74.0,0.0,0.746576,0.0,92.0,92.0,92.0
Broadcast,Broadcast,65.0,0.0,0.627941,0.0,143.0,143.0,143.0
Broadcast,Broadcast,74.0,0.0,4.399673,0.0,237.0,237.0,237.0
Broadcast,Broadcast,72.5,2.1213203435596424,1.677956,1.6347375400081812,122.0,107.0,114.5
Broadcast,Broadcast,71.0,0.0,1.152871,0.0,161.0,161.0,161.0
Broadcast,Broadcast,74.0,0.0,0.8600009999999999,1.0132274488978275,212.0,131.0,171.5
Broadcast,Broadcast,65.0,0.0,1.232641,0.0,193.0,193.0,193.0
Broadcast,Broadcast,71.0,0.0,0.840859,0.0,208.0,208.0,208.0
Broadcast,Broadcast,74.0,0.0,0.460885,0.0,93.0,93.0,93.0
Broadcast,Broadcast,65.0,0.0,1.161974,0.0,144.0,144.0,144.0
Broadcast,Broadcast,74.0,0.0,2.265257,0.0,238.0,238.0,238.0
Broadcast,Broadcast,71.0,0.0,1.831462,0.0,108.0,108.0,108.0
Broadcast,Broadcast,74.0,0.0,1.256989,0.0,163.0,163.0,163.0
Broadcast,Broadcast,74.0,0.0,0.518254,0.0,123.0,123.0,123.0
Broadcast,Broadcast,74.0,0.0,0.876524,0.0,213.0,213.0,213.0
Broadcast,Broadcast,65.0,0.0,1.487826,0.0,194.0,194.0,194.0
Broadcast,Broadcast,74.0,0.0,0.972725,0.0,209.0,209.0,209.0
Broadcast,Broadcast,74.0,0.0,0.2103595,0.2508524945869584,132.0,94.0,113.0
Broadcast,Broadcast,65.0,0.0,0.517171,0.0,145.0,145.0,145.0
Broadcast,Broadcast,74.0,0.0,6.639854,0.0,255.0,255.0,255.0
Broadcast,Broadcast,71.0,0.0,0.988544,0.0,119.0,119.0,119.0
Broadcast,Broadcast,74.0,0.0,0.6225875,0.4652161579443474,166.0,124.0,145.0
Broadcast,Broadcast,65.0,0.0,2.895672,0.0,203.0,203.0,203.0
Broadcast,Broadcast,74.0,0.0,0.804713,0.0,214.0,214.0,214.0
Broadcast,Broadcast,74.0,0.0,0.552204,0.0,95.0,95.0,95.0
Broadcast,Broadcast,65.0,0.0,1.901137,0.0,146.0,146.0,146.0
Broadcast,Broadcast,74.0,0.0,0.054859,0.0,133.0,133.0,133.0
Broadcast,Broadcast,72.5,2.1213203435596424,2.1305125,2.5121729097537258,125.0,120.0,122.5
Broadcast,Broadcast,74.0,0.0,0.794467,0.0,167.0,167.0,167.0
Broadcast,Broadcast,74.0,0.0,0.629849,0.0,0.0,0.0,0.0
Broadcast,Broadcast,69.5,6.363961030678928,1.0456125,1.4128552102464358,215.0,204.0,209.5
Broadcast,Broadcast,74.0,0.0,1.318467,0.0,96.0,96.0,96.0
