Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 17, 2023 13:04:35.608889000",0.467404,53,0xe011,0xe694,200.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 17, 2023 13:04:35.614839000",0.003911,53,0xe694,0x0000,165.0,0xe011,0x0000
Aqara Button,Button,Smart Socket,Socket,Aqara Button,Button,Coordinator,Coordinator,"Oct 17, 2023 13:04:40.996390000",0.745865,53,0xe011,0xe694,201.0,0xe011,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Button,Button,Coordinator,Coordinator,"Oct 17, 2023 13:04:41.007269000",0.004895,53,0xe694,0x0000,174.0,0xe011,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:22.638016000",0.080873,52,0x5db6,0xe694,108.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:22.644109000",0.004077,52,0xe694,0x0000,182.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:24.434556000",1.7884,52,0x5db6,0xe694,109.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:24.440480000",0.003908,52,0xe694,0x0000,184.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:25.055574000",0.613047,52,0x5db6,0xe694,110.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:25.061286000",0.003694,52,0xe694,0x0000,185.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 13:12:39.761861000",0.091202,52,0x5db6,0xe694,111.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 13:12:39.767679000",0.003802,52,0xe694,0x0000,87.0,0x5db6,0x0000
Aqara Door 1,Door,Smart Socket,Socket,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 13:12:45.614425000",1.099378,52,0x5db6,0xe694,112.0,0x5db6,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 1,Door,Coordinator,Coordinator,"Oct 17, 2023 13:12:45.620308000",0.003876,52,0xe694,0x0000,88.0,0x5db6,0x0000
Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:30.855103000",3.465263,52,0x772c,0xe694,13.0,0x772c,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 2,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:30.860799000",0.003679,52,0xe694,0x0000,186.0,0x772c,0x0000
Aqara Door 2,Door,Smart Socket,Socket,Aqara Door 2,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:35.794243000",0.018223,52,0x772c,0xe694,14.0,0x772c,0x0000
Smart Socket,Socket,Coordinator,Coordinator,Aqara Door 2,Door,Coordinator,Coordinator,"Oct 17, 2023 12:53:35.800168000",0.003917,52,0xe694,0x0000,190.0,0x772c,0x0000
Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 17, 2023 12:54:46.201736000",0.699621,102,0x9989,0x0000,99.0,0x9989,0x0000
Aqara Motion,Motion,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 17, 2023 13:04:07.087594000",0.202897,57,0x9989,0x0000,103.0,0x9989,0x0000
Aqara Vibration,Vibration,Coordinator,Coordinator,Aqara Vibration,Vibration,Coordinator,Coordinator,"Oct 17, 2023 13:04:28.511553000",0.948957,53,0x61af,0x0000,18.0,0x61af,0x0000
Aqara Vibration,Vibration,Coordinator,Coordinator,Aqara Vibration,Vibration,Coordinator,Coordinator,"Oct 17, 2023 13:08:28.805367000",1.180155,55,0x61af,0x0000,19.0,0x61af,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.721018000",2.551042,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.724082000",0.003064,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.727791000",0.003709,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.733090000",0.005299,55,0x054f,0x0000,182.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.766242000",0.033152,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.769342000",0.0031,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.772411000",0.003069,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.777406000",0.004995,55,0x054f,0x0000,183.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.782049000",0.004643,59,0x054f,0x0000,184.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.785906000",0.003857,59,0x054f,0x0000,184.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.790736000",0.00483,59,0x054f,0x0000,184.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.794555000",0.003819,59,0x054f,0x0000,184.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.823079000",0.028524,55,0x054f,0x0000,185.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.826153000",0.003074,55,0x054f,0x0000,185.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.830822000",0.004669,55,0x054f,0x0000,185.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.834209000",0.003387,55,0x054f,0x0000,185.0,0x054f,0x0000
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,"Oct 17, 2023 12:51:51.840813000",0.006604,59,0x054f,0x0000,186.0,0x054f,0x0000
