Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Aqara Door 1,Door,52.0,0.0,0.49806100000000003,0.7649264216455723,184.0,108.0,138.6
Aqara Door 1,Door,52.0,0.0,0.48262520000000003,0.7761461373128774,185.0,109.0,154.0
Aqara Door 1,Door,52.0,0.0,0.5000502,0.7635929698656215,185.0,109.0,139.8
Aqara Door 1,Door,52.0,0.0,0.1431306,0.2654034471494295,185.0,87.0,135.4
Aqara Door 1,Door,52.0,0.0,0.36222459999999995,0.4839347095712396,185.0,87.0,121.0
Aqara Door 1,Door,52.0,0.0,0.24039039999999998,0.48167810668619765,185.0,87.0,116.6
Ledvance Bulb,Bulb,55.0,0.0,0.5192532,1.135874788048269,183.0,182.0,182.2
Ledvance Bulb,Bulb,55.0,0.0,0.0096648,0.013160998127041884,183.0,182.0,182.4
Ledvance Bulb,Bulb,55.0,0.0,0.0096658,0.013160371373939262,183.0,182.0,182.6
Ledvance Bulb,Bulb,55.0,0.0,0.009923,0.013026738329297936,183.0,182.0,182.8
Ledvance Bulb,Bulb,55.8,1.7888543819998317,0.0097918,0.013088111043997144,184.0,183.0,183.2
Ledvance Bulb,Bulb,56.6,2.1908902300206647,0.0039328,0.0008772264245905959,184.0,183.0,183.4
Ledvance Bulb,Bulb,57.4,2.1908902300206647,0.0042788,0.000804819358614093,184.0,183.0,183.6
Ledvance Bulb,Bulb,58.2,1.7888543819998317,0.0044288,0.0005536778846947024,184.0,183.0,183.8
Ledvance Bulb,Bulb,58.2,1.7888543819998317,0.009134600000000001,0.010848520051140616,185.0,184.0,184.2
Ledvance Bulb,Bulb,57.4,2.1908902300206647,0.0088208,0.011032062350258904,185.0,184.0,184.4
Ledvance Bulb,Bulb,56.6,2.1908902300206647,0.0089832,0.010946367694354142,185.0,184.0,184.6
Ledvance Bulb,Bulb,55.8,1.7888543819998317,0.0086946,0.011101168825848926,185.0,184.0,184.8
Ledvance Bulb,Bulb,55.8,1.7888543819998317,0.0092516,0.010862684810855925,186.0,185.0,185.2
Ledvance Bulb,Bulb,56.6,2.1908902300206647,0.004188,0.0014929281630406733,186.0,185.0,185.4
Ledvance Bulb,Bulb,57.4,2.1908902300206647,0.0042748000000000005,0.0014229433228347501,186.0,185.0,185.6
Ledvance Bulb,Bulb,58.2,1.7888543819998317,0.0039816,0.0014716148613003333,186.0,185.0,185.8
Ledvance Bulb,Bulb,58.2,1.7888543819998317,0.0096836,0.012500145891148631,187.0,186.0,186.2
Ledvance Bulb,Bulb,57.4,2.1908902300206647,0.008981,0.012811369891623615,187.0,186.0,186.4
Ledvance Bulb,Bulb,56.6,2.1908902300206647,0.009337,0.012634283853863663,187.0,186.0,186.6
Ledvance Bulb,Bulb,55.8,1.7888543819998317,0.0095664,0.012511807175624152,187.0,186.0,186.8
Ledvance Bulb,Bulb,55.8,1.7888543819998317,0.0097216,0.012417598592320498,188.0,187.0,187.2
Ledvance Bulb,Bulb,56.6,2.1908902300206647,0.0039775999999999995,0.0008518748734409297,188.0,187.0,187.4
Ledvance Bulb,Bulb,57.4,2.1908902300206647,0.004252000000000001,0.0007028228795365159,188.0,187.0,187.6
Ledvance Bulb,Bulb,58.2,1.7888543819998317,0.004345399999999999,0.0008420016627061969,188.0,187.0,187.8
Ledvance Bulb,Bulb,58.2,1.7888543819998317,0.007861799999999999,0.008078118914697901,189.0,188.0,188.2
Ledvance Bulb,Bulb,57.4,2.1908902300206647,0.0080638,0.007968639231387001,189.0,188.0,188.4
Ledvance Bulb,Bulb,56.6,2.1908902300206647,0.008109000000000002,0.007934558462825767,189.0,188.0,188.6
Ledvance Bulb,Bulb,55.8,1.7888543819998317,0.0080848,0.007948630649363448,189.0,188.0,188.8
Ledvance Bulb,Bulb,55.8,1.7888543819998317,0.007924400000000002,0.008022762728636564,190.0,189.0,189.2
Ledvance Bulb,Bulb,56.6,2.1908902300206647,0.0045688000000000005,0.0007723841013381878,190.0,189.0,189.4
Ledvance Bulb,Bulb,57.4,2.1908902300206647,0.0046622,0.0008592506619142052,190.0,189.0,189.6
Ledvance Bulb,Bulb,58.2,1.7888543819998317,0.004690000000000001,0.0008091115497877903,190.0,189.0,189.8
Ledvance Bulb,Bulb,58.6,0.8944271909999159,0.0095134,0.010619992528245959,191.0,190.0,190.2
Ledvance Bulb,Bulb,58.2,1.0954451150103321,0.0092396,0.010792932238275195,191.0,117.0,175.6
Ledvance Bulb,Bulb,57.8,1.0954451150103321,0.0091678,0.01082551523947013,191.0,117.0,161.0
Ledvance Bulb,Bulb,57.4,0.8944271909999159,0.0091094,0.010851302032475182,191.0,117.0,146.4
Ledvance Bulb,Bulb,57.0,0.0,0.009377400000000001,0.010694845384576629,191.0,117.0,131.8
Ledvance Bulb,Bulb,57.0,0.0,0.009481,0.010925910351087455,118.0,117.0,117.2
Ledvance Bulb,Bulb,57.0,0.0,0.009939599999999998,0.010645183572865242,118.0,117.0,117.4
Ledvance Bulb,Bulb,57.0,0.0,0.010029199999999999,0.010596037169621481,118.0,117.0,117.6
Ledvance Bulb,Bulb,57.0,0.0,0.009629799999999999,0.010859627419944019,118.0,117.0,117.8
