Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Ledvance Smart+ Plug,Socket,74.0,0.0,0.034025,0.0,83.0,83.0,83.0
Moes Bulb,Bulb,65.0,0.0,1.862169,0.0,133.0,133.0,133.0
Philips Motion,Bulb,74.0,0.0,2.0517,0.0,111.0,111.0,111.0
Unknown,Unknown,108.0,0.0,3.447313,0.0,202.0,202.0,202.0
Power Plug 1,Socket,71.0,0.0,2.178624,0.0,71.0,71.0,71.0
Smart Socket,Socket,71.0,0.0,1.198288,0.0,143.0,143.0,143.0
Ledvance Bulb,Bulb,74.0,0.0,0.642049,0.0,117.0,117.0,117.0
Philips Lamp 1,Bulb,74.0,0.0,1.726271,0.0,161.0,161.0,161.0
Power Plug 2,Socket,65.0,0.0,0.600225,0.0,169.0,169.0,169.0
Power Plug 1,Socket,52.5,10.606601717798213,0.2125815,0.29321526184784447,73.0,72.0,72.5
Unknown,Unknown,5.0,0.0,0.002015,0.0002040653490102292,174.0,72.0,120.25
Ledvance Smart+ Plug,Socket,74.0,0.0,0.824775,0.0,84.0,84.0,84.0
Moes Bulb,Bulb,65.0,0.0,0.410184,0.0,134.0,134.0,134.0
Philips Lamp 1,Bulb,54.0,1.1547005383792515,0.01838925,0.01929195732898384,175.0,170.0,173.0
Power Plug 1,Socket,64.0,1.7320508075688772,0.005214333333333334,0.0024288290045479393,75.0,74.0,74.33333333333333
Power Plug 2,Socket,64.0,1.7320508075688772,0.0036520000000000003,0.0013583618810906022,172.0,170.0,171.0
Smart Socket,Socket,64.5,2.1213203435596424,0.0082085,0.00010253048327205011,145.0,144.0,144.5
Unknown,Unknown,6.414634146341464,9.058078189539145,0.0021897317073170733,0.0009336012270876212,190.0,74.0,151.0487804878049
Philips Motion,Bulb,74.0,0.0,4.426061,0.0,113.0,113.0,113.0
Ledvance Bulb,Bulb,53.5,5.972157622389639,0.7623917500000001,1.461278524164456,121.0,118.0,119.5
Power Plug 1,Socket,71.0,0.0,0.165891,0.0,81.0,81.0,81.0
Unknown,Unknown,5.0,0.0,0.0020211666666666663,0.00019112238661827833,192.0,118.0,143.5
Smart Socket,Socket,71.0,0.0,1.272515,0.0,146.0,146.0,146.0
Ledvance Bulb,Bulb,74.0,0.0,0.143978,0.0,122.0,122.0,122.0
Sonoff Motion 2,Motion,54.0,0.0,0.549767,0.0,236.0,236.0,236.0
Unknown,Unknown,8.5,4.949747468305833,0.18146849999999998,0.2536498090133324,237.0,236.0,236.5
Philips Lamp 1,Bulb,74.0,0.0,1.041721,0.0,176.0,176.0,176.0
Power Plug 2,Socket,65.0,0.0,0.740296,0.0,173.0,173.0,173.0
Ledvance Smart+ Plug,Socket,74.0,0.0,1.408707,0.0,85.0,85.0,85.0
Moes Bulb,Bulb,65.0,0.0,0.745458,0.0,135.0,135.0,135.0
Aqara Vibration,Vibration,53.0,0.0,1.517723,0.0,73.0,73.0,73.0
Unknown,Unknown,5.0,0.0,0.002079,0.0,73.0,73.0,73.0
Philips Motion,Bulb,74.0,0.0,2.786991,0.0,114.0,114.0,114.0
Ledvance Z3 Plug,Socket,74.0,0.0,3.10074,0.0,204.0,204.0,204.0
Power Plug 1,Socket,68.0,0.0,0.337409,0.0,82.0,82.0,82.0
Smart Socket,Socket,71.0,0.0,1.241611,0.0,147.0,147.0,147.0
Ledvance Bulb,Bulb,74.0,0.0,1.689496,0.0,123.0,123.0,123.0
Philips Lamp 1,Bulb,74.0,0.0,0.084965,0.0,177.0,177.0,177.0
Power Plug 2,Socket,65.0,0.0,1.12279,0.0,174.0,174.0,174.0
Sonoff Door 1,Door,54.0,0.0,0.153995,0.0,151.0,151.0,151.0
Unknown,Unknown,5.0,0.0,0.002111,0.0,151.0,151.0,151.0
Unknown,Unknown,8.5,4.949747468305833,0.25306249999999997,0.35679971782570113,152.0,152.0,152.0
Ledvance Smart+ Plug,Socket,74.0,0.0,0.676804,0.0,86.0,86.0,86.0
Moes Bulb,Bulb,65.0,0.0,0.068698,0.0,136.0,136.0,136.0
Power Plug 1,Socket,66.0,0.0,0.002729,0.0,84.0,84.0,84.0
