Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Coordinator,Coordinator,"Oct 16, 2023 13:45:15.000000",0.0,74,0x0000,0xffff,0x8841,173.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:45:15.034025",0.034025,74,0x82eb,0xffff,0x8841,83.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:45:16.896194",1.862169,65,0xebe5,0xffff,0x8841,133.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:45:18.947894",2.0517,74,0xe5c4,0xffff,0x8841,111.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:45:22.395207",3.447313,108,0x09ac,0xffff,0x886c,202.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:45:24.573831",2.178624,71,0x6e5f,0xffff,0x8841,71.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:45:25.772119",1.198288,71,0xe694,0xffff,0x8841,143.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:45:26.414168",0.642049,74,0x054f,0xffff,0x8841,117.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:45:28.140439",1.726271,74,0x482d,0xffff,0x8841,161.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:45:28.740664",0.600225,65,0xc8f0,0xffff,0x8841,169.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:45:29.160580",,60,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 16, 2023 13:45:29.162883",0.002303,5,,,0x0002,72.0,,,,,,scenario1.pcapng
