Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-28 14:13:59.000000,57,0xec7f,0x0000,93.0,,,0.0
2023-10-28 14:13:59.002206,5,0x0000,0xec7f,93.0,,,0.002206
2023-10-28 14:13:59.305309,71,0x0000,0xffff,197.0,0x0000,0xfffc,0.303103
2023-10-28 14:13:59.398501,60,0x3d95,0x0000,160.0,0x3d95,0x0000,0.093192
2023-10-28 14:13:59.400803,5,0x0000,0x3d95,160.0,,,0.002302
2023-10-28 14:13:59.441451,50,0x0000,0xec7f,198.0,,,0.040648
2023-10-28 14:13:59.443421,5,0xec7f,0x0000,198.0,,,0.00197
2023-10-28 14:13:59.444984,50,0xec7f,0x3d95,94.0,0x0000,0x3d95,0.001563
2023-10-28 14:13:59.451926,45,0x3d95,0x0000,161.0,0x3d95,0x0000,0.006942
2023-10-28 14:13:59.453749,5,0x0000,0x3d95,161.0,,,0.001823
2023-10-28 14:14:00.589305,71,0x4e11,0xffff,104.0,,,1.135556
2023-10-28 14:14:02.809435,12,0x059b,0x1cd8,171.0,,,2.22013
2023-10-28 14:14:02.810202,5,0x1cd8,0x059b,171.0,,,0.000767
2023-10-28 14:14:03.863718,108,0x0112,0xffff,225.0,,,1.053516
2023-10-28 14:14:04.747920,51,0x0000,0xec7f,199.0,0x0000,0x711c,0.884202
2023-10-28 14:14:04.749921,5,0xec7f,0x0000,199.0,,,0.002001
2023-10-28 14:14:04.753426,51,0xec7f,0x711c,95.0,0x0000,0x711c,0.003505
2023-10-28 14:14:04.757635,51,0xec7f,0x711c,95.0,0x0000,0x711c,0.004209
2023-10-28 14:14:04.762160,51,0xec7f,0x711c,95.0,0x0000,0x711c,0.004525
2023-10-28 14:14:04.766057,51,0xec7f,0x711c,95.0,0x0000,0x711c,0.003897
2023-10-28 14:14:04.805109,51,0xec7f,0x711c,96.0,0x0000,0x711c,0.039052
2023-10-28 14:14:04.808059,51,0xec7f,0x711c,96.0,0x0000,0x711c,0.00295
2023-10-28 14:14:04.813247,51,0xec7f,0x711c,96.0,0x0000,0x711c,0.005188
2023-10-28 14:14:04.817133,51,0xec7f,0x711c,96.0,0x0000,0x711c,0.003886
2023-10-28 14:14:04.840968,51,0xec7f,0x711c,97.0,0x0000,0x711c,0.023835
2023-10-28 14:14:04.846148,51,0xec7f,0x711c,97.0,0x0000,0x711c,0.00518
2023-10-28 14:14:04.850674,51,0xec7f,0x711c,97.0,0x0000,0x711c,0.004526
2023-10-28 14:14:04.855537,51,0xec7f,0x711c,97.0,0x0000,0x711c,0.004863
2023-10-28 14:14:04.883541,51,0xec7f,0x711c,98.0,,,0.028004
2023-10-28 14:14:04.888386,51,0xec7f,0x711c,98.0,,,0.004845
2023-10-28 14:14:04.892947,51,0xec7f,0x711c,98.0,,,0.004561
2023-10-28 14:14:04.905197,51,0xec7f,0x711c,98.0,,,0.01225
2023-10-28 14:14:04.951309,51,0xec7f,0x711c,99.0,,,0.046112
2023-10-28 14:14:04.955836,51,0xec7f,0x711c,99.0,,,0.004527
2023-10-28 14:14:04.960698,51,0xec7f,0x711c,99.0,,,0.004862
2023-10-28 14:14:04.964294,51,0xec7f,0x711c,99.0,,,0.003596
2023-10-28 14:14:05.010472,57,0xec7f,0x0000,100.0,0xec7f,0x0000,0.046178
2023-10-28 14:14:05.012679,5,0x0000,0xec7f,100.0,,,0.002207
2023-10-28 14:14:05.428071,71,0xec7f,0xffff,101.0,0xec7f,0xfffc,0.415392
2023-10-28 14:14:06.991659,71,0x1cd8,0xffff,146.0,0x1cd8,0xfffc,1.563588
2023-10-28 14:14:07.279712,54,,,27.0,,,0.288053
2023-10-28 14:14:07.281831,5,,,,,,0.002119
2023-10-28 14:14:07.307983,54,0x01fe,0x0000,226.0,,,0.026152
2023-10-28 14:14:07.310094,5,0x0000,0x01fe,226.0,,,0.002111
2023-10-28 14:14:07.690402,53,0x059b,0x1cd8,172.0,0x059b,0x0000,0.380308
2023-10-28 14:14:07.692481,5,0x1cd8,0x059b,172.0,,,0.002079
2023-10-28 14:14:07.695907,57,0x1cd8,0x0000,147.0,0x059b,0x0000,0.003426
2023-10-28 14:14:07.698113,5,0x0000,0x1cd8,147.0,,,0.002206
2023-10-28 14:14:07.698960,12,0x059b,0x1cd8,173.0,,,0.000847
2023-10-28 14:14:07.699727,5,0x1cd8,0x059b,173.0,,,0.000767
2023-10-28 14:14:07.743633,53,0x1cd8,0x0000,148.0,,,0.043906
2023-10-28 14:14:07.745711,5,0x0000,0x1cd8,148.0,,,0.002078
2023-10-28 14:14:07.748953,53,0x1cd8,0x0000,148.0,,,0.003242
2023-10-28 14:14:07.751032,5,0x0000,0x1cd8,148.0,,,0.002079
2023-10-28 14:14:07.786205,54,0x0000,0x1cd8,200.0,,,0.035173
2023-10-28 14:14:07.788316,5,0x1cd8,0x0000,200.0,,,0.002111
2023-10-28 14:14:08.374175,71,0xe1a6,0xffff,94.0,,,0.585859
2023-10-28 14:14:09.216865,12,0x059b,0x1cd8,174.0,,,0.84269
2023-10-28 14:14:09.217632,5,0x1cd8,0x059b,174.0,,,0.000767
2023-10-28 14:14:09.220051,50,0x1cd8,0x059b,149.0,,,0.002419
2023-10-28 14:14:09.222036,5,0x059b,0x1cd8,149.0,,,0.001985
2023-10-28 14:14:09.226160,12,0x059b,0x1cd8,175.0,,,0.004124
2023-10-28 14:14:09.226928,5,0x1cd8,0x059b,175.0,,,0.000768
2023-10-28 14:14:09.234747,45,0x059b,0x1cd8,176.0,,,0.007819
2023-10-28 14:14:09.236570,5,0x1cd8,0x059b,176.0,,,0.001823
2023-10-28 14:14:09.239644,57,0x1cd8,0x0000,150.0,0x059b,0x0000,0.003074
2023-10-28 14:14:09.241851,5,0x0000,0x1cd8,150.0,,,0.002207
