Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:14:05.010472,57,0xec7f,0x0000,100.0,0xec7f,0x0000,0.046178
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:14:05.428071,71,0xec7f,0xffff,101.0,0xec7f,0xfffc,0.415392
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:14:22.160893,57,0xec7f,0x0000,132.0,0xec7f,0x0000,0.042389
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:14:39.775770,71,0xec7f,0xffff,140.0,0xec7f,0xfffc,0.362866
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:15:09.093113,71,0xec7f,0xffff,148.0,0xec7f,0xfffc,0.24125
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:15:23.725744,71,0xec7f,0xffff,156.0,0xec7f,0xfffc,0.246231
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-28 14:15:46.319182,50,0x0000,0xec7f,62.0,0x0000,0xec7f,0.025861
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:15:46.325137,55,0xec7f,0x0000,164.0,0xec7f,0x0000,0.003986
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:15:46.372339,45,0xec7f,0x0000,165.0,0xec7f,0x0000,0.045059
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:16:14.483058,71,0xec7f,0xffff,167.0,0xec7f,0xfffc,0.605648
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:16:47.757002,71,0xec7f,0xffff,177.0,0xec7f,0xfffc,0.567873
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:16:59.210248,55,0xec7f,0x0000,179.0,0xec7f,0x0000,2.06992
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:16:59.349376,45,0xec7f,0x0000,182.0,0xec7f,0x0000,0.045443
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:17:01.218176,55,0xec7f,0x0000,183.0,0xec7f,0x0000,0.886939
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-28 14:17:01.300553,50,0x0000,0xec7f,102.0,0x0000,0xec7f,0.023541
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:17:01.351762,45,0xec7f,0x0000,186.0,0xec7f,0x0000,0.044678
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:17:03.137489,55,0xec7f,0x0000,187.0,0xec7f,0x0000,0.306424
Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-28 14:17:03.206905,45,0x0000,0xec7f,103.0,0x0000,0xec7f,0.015851
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:17:03.239573,55,0xec7f,0x0000,189.0,0xec7f,0x0000,0.003735
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:17:03.251374,71,0xec7f,0xffff,190.0,0xec7f,0xfffc,0.009658
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:17:03.295599,45,0xec7f,0x0000,191.0,0xec7f,0x0000,0.044225
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:17:23.675154,57,0xec7f,0x0000,205.0,0xec7f,0x0000,0.036224
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:17:35.193823,71,0xec7f,0xffff,213.0,0xec7f,0xfffc,3.079059
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:18:07.977213,71,0xec7f,0xffff,219.0,0xec7f,0xfffc,0.941786
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:18:25.388091,71,0xec7f,0xffff,227.0,0xec7f,0xfffc,0.097368
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:18:40.887784,71,0xec7f,0xffff,228.0,0xec7f,0xfffc,0.675318
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:18:57.102652,71,0xec7f,0xffff,232.0,0xec7f,0xfffc,1.877352
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:19:28.761259,71,0xec7f,0xffff,234.0,0xec7f,0xfffc,0.183083
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:19:44.994283,71,0xec7f,0xffff,235.0,0xec7f,0xfffc,0.231885
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:20:00.154035,71,0xec7f,0xffff,236.0,0xec7f,0xfffc,1.068536
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:20:32.648018,71,0xec7f,0xffff,246.0,0xec7f,0xfffc,2.524517
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:20:34.666292,57,0xec7f,0x0000,252.0,0xec7f,0x0000,0.049178
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Broadcast,Broadcast,Ledvance Bulb,Bulb,Broadcast,Broadcast,2023-10-28 14:21:04.149555,71,0xec7f,0xffff,254.0,0xec7f,0xfffc,1.510401
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:22:02.290206,59,0xec7f,0x0000,6.0,0xec7f,0x0000,0.040725
Ledvance Bulb,Bulb,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-28 14:22:02.342184,55,0xec7f,0x0000,7.0,0xec7f,0x0000,0.00598
