Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Ledvance Bulb,Bulb,59.8,6.260990336999411,0.1054474,0.174106818590772,119.0,93.0,104.0
Ledvance Bulb,Bulb,59.8,6.260990336999411,0.11104859999999998,0.1702746943758819,125.0,100.0,110.4
Ledvance Bulb,Bulb,59.8,6.260990336999411,0.1028904,0.17506947479015295,125.0,101.0,115.4
Ledvance Bulb,Bulb,57.0,0.0,0.028289800000000004,0.013912277049426526,132.0,107.0,121.6
Ledvance Bulb,Bulb,59.8,6.260990336999411,0.0478762,0.04940591011913453,133.0,119.0,126.8
Ledvance Bulb,Bulb,59.8,6.260990336999411,0.0494534,0.048841280453116705,139.0,125.0,130.8
Ledvance Bulb,Bulb,62.6,7.6681158050723255,0.11642540000000001,0.14567352681355664,140.0,125.0,133.8
Ledvance Bulb,Bulb,65.4,7.6681158050723255,0.2190218,0.21300359768018004,146.0,132.0,138.0
Ledvance Bulb,Bulb,68.2,6.260990336999411,0.25879399999999997,0.18898937660223125,148.0,133.0,141.2
Ledvance Bulb,Bulb,68.2,6.260990336999411,0.281451,0.17650874588387963,156.0,139.0,145.8
Ledvance Bulb,Bulb,71.0,0.0,0.6193440000000001,0.6299349756748708,157.0,140.0,149.4
Ledvance Bulb,Bulb,67.8,7.155417527999327,0.72607,0.6207560643187467,162.0,146.0,153.8
Ledvance Bulb,Bulb,68.8,8.012490249604053,0.6308982000000001,0.6928525413420954,163.0,148.0,157.2
Ledvance Bulb,Bulb,63.6,13.069047402163632,0.5862878,0.7303772916364528,163.0,61.0,139.8
Ledvance Bulb,Bulb,59.4,13.464768843169942,0.5422138000000001,0.7619926075928821,163.0,61.0,121.0
Ledvance Bulb,Bulb,56.2,11.819475453673908,0.19741020000000004,0.39104797963830473,164.0,61.0,122.4
Ledvance Bulb,Bulb,54.2,12.87245120402482,0.027122800000000002,0.017139347295040148,165.0,61.0,123.0
Ledvance Bulb,Bulb,53.2,10.779610382569492,0.3309226,0.6880784260041147,166.0,61.0,123.6
Ledvance Bulb,Bulb,58.4,12.033287165193059,0.4484126,0.6712796642959624,167.0,62.0,144.8
Ledvance Bulb,Bulb,62.6,12.033287165193059,0.9083092,1.0110962816387468,172.0,164.0,166.8
Ledvance Bulb,Bulb,65.8,11.627553482998907,1.0210865999999998,0.9115598457360328,177.0,165.0,169.4
Ledvance Bulb,Bulb,67.8,7.155417527999327,1.4260587999999998,0.8141214007386737,179.0,166.0,172.2
Ledvance Bulb,Bulb,64.0,9.643650760992955,1.1220344,1.0109388802767951,180.0,167.0,175.0
Ledvance Bulb,Bulb,60.2,9.934787365615835,1.0020574,1.117522281693882,180.0,172.0,177.6
Ledvance Bulb,Bulb,55.0,9.669539802906858,0.5380518000000001,0.8890056536528327,180.0,97.0,162.6
Ledvance Bulb,Bulb,50.8,3.7013511046643495,0.4294876,0.9171522191175793,180.0,97.0,146.8
Ledvance Bulb,Bulb,50.8,3.7013511046643495,0.016305800000000002,0.0164973562336515,181.0,97.0,147.2
Ledvance Bulb,Bulb,49.4,4.39317652729776,0.017117,0.018064264820357345,182.0,97.0,147.6
Ledvance Bulb,Bulb,50.0,5.0,0.1933522,0.38809549096414403,183.0,97.0,148.2
Ledvance Bulb,Bulb,51.4,4.159326868617084,0.2001716,0.384245879656243,184.0,98.0,165.6
Ledvance Bulb,Bulb,50.4,5.079370039680118,0.19784620000000003,0.38560341187961505,184.0,101.0,166.2
Ledvance Bulb,Bulb,49.4,4.39317652729776,0.2017522,0.3832407529284954,184.0,101.0,150.4
Ledvance Bulb,Bulb,51.4,4.159326868617084,0.19314740000000002,0.3880801607023992,185.0,101.0,151.0
Ledvance Bulb,Bulb,49.4,4.39317652729776,0.0246952,0.017610398950620058,186.0,101.0,151.6
Ledvance Bulb,Bulb,50.0,5.0,0.0780974,0.12858463447589685,187.0,101.0,152.2
Ledvance Bulb,Bulb,52.8,5.403702434442518,0.0852426,0.12503613300682326,188.0,102.0,169.6
Ledvance Bulb,Bulb,51.8,6.418722614352484,0.08370459999999999,0.1260281890265031,188.0,103.0,169.8
Ledvance Bulb,Bulb,50.6,6.2289646009589745,0.08825799999999999,0.12272512806878628,188.0,103.0,153.6
Ledvance Bulb,Bulb,52.6,5.5497747702046425,0.08006939999999999,0.1276278609054465,189.0,103.0,154.2
Ledvance Bulb,Bulb,55.8,10.059821071967432,0.0207162,0.01776817432095937,190.0,103.0,154.8
Ledvance Bulb,Bulb,53.0,10.862780491200215,0.019731000000000002,0.015828019506558613,191.0,103.0,155.4
Ledvance Bulb,Bulb,58.2,12.214745187681975,0.14327079999999998,0.27452249645830484,198.0,104.0,174.4
Ledvance Bulb,Bulb,59.8,11.189280584559492,0.1454784,0.2733775018894203,205.0,189.0,194.6
Ledvance Bulb,Bulb,60.2,11.009087155618307,0.1509114,0.2701066756927714,212.0,190.0,199.2
Ledvance Bulb,Bulb,60.2,11.009087155618307,0.7647916,1.3192499582745114,213.0,191.0,203.8
Ledvance Bulb,Bulb,65.4,7.6681158050723255,0.8764716,1.2655435076232266,218.0,198.0,209.2
Ledvance Bulb,Bulb,65.4,7.6681158050723255,0.9381188000000001,1.2582383179977072,219.0,205.0,213.4
Ledvance Bulb,Bulb,68.2,6.260990336999411,0.9503476000000001,1.2475330275384695,227.0,212.0,217.8
Ledvance Bulb,Bulb,71.0,0.0,1.0792312,1.1589388572291897,228.0,213.0,221.0
