Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Ledvance Bulb,Bulb,"Oct 28, 2023 14:13:59.000000",0.0,57,0xec7f,0x0000,0x8861,93.0,0xec7f,0x0000,0x1a09,,,scenario1.pcapng
Unknown,Unknown,"Oct 28, 2023 14:13:59.002206",0.002206,5,,,0x0002,93.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 14:13:59.305309",0.303103,71,0x0000,0xffff,0x8841,197.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 28, 2023 14:13:59.398501",,60,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 28, 2023 14:13:59.400803",0.002302,5,,,0x0002,160.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 14:13:59.441451",,50,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 28, 2023 14:13:59.443421",0.00197,5,,,0x0002,198.0,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 14:13:59.444984",,50,,,,,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 28, 2023 14:13:59.451926",,45,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 28, 2023 14:13:59.453749",0.001823,5,,,0x0002,161.0,,,,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 28, 2023 14:14:00.589305",1.135556,71,0x4e11,0xffff,0x8841,104.0,0x4e11,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Motion,"Oct 28, 2023 14:14:02.809435",2.22013,12,0x059b,0x1cd8,0x8863,171.0,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 28, 2023 14:14:02.810202",0.000767,5,,,0x0002,171.0,,,,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 28, 2023 14:14:03.863718",1.053516,108,0x0112,0xffff,0x886c,225.0,,,,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 14:14:04.747920",,51,,,,,,,,,,scenario1.pcapng
Unknown,Unknown,"Oct 28, 2023 14:14:04.749921",0.002001,5,,,0x0002,199.0,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 14:14:04.753426",,51,,,,,,,,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 14:14:04.757635",,51,,,,,,,,,,scenario1.pcapng
