Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Philips Lamp 1,Bulb,28.428571428571427,28.912841108275416,0.0928644,0.20512203872524276,210.0,64.0,146.6
Philips Lamp 3,Motion,8.5,4.949747468305833,0.230265,0.3246044389714965,146.0,146.0,146.0
Unknown,Unknown,5.0,,0.000735,,146.0,146.0,146.0
Ledvance Bulb,Bulb,22.2,30.83342342329181,1.0076908000000002,1.9856318645647033,147.0,72.0,132.0
Philips Lamp 3,Motion,21.0,28.16913204200655,0.3987972,0.6480597974019836,233.0,147.0,164.2
Unknown,Unknown,23.25,32.00390601161052,0.3761735,0.7460315828884191,233.0,147.0,168.5
Philips Lamp 3,Motion,29.333333333333332,36.2537354397217,0.5013226666666667,0.8607385203976486,233.0,147.0,175.66666666666666
Unknown,Unknown,38.0,46.66904755831214,0.747973,1.056751285493422,233.0,147.0,190.0
Philips Motion,Bulb,33.92857142857143,27.297405584567034,0.16654855555555553,0.3476878679872621,250.0,6.0,181.88888888888889
Moes Bulb,Bulb,72.5,6.363961030678928,0.312143,0.23178960287295028,250.0,8.0,129.0
Coordinator,Coordinator,77.0,,0.148243,,8.0,8.0,8.0
Ledvance Smart+ Plug,Socket,74.0,4.242640687119285,0.5078955,0.7111507248681534,249.0,43.0,146.0
Power Plug 1,Socket,71.0,,0.005036,,43.0,43.0,43.0
Coordinator,Coordinator,34.88709677419355,28.053873721419755,0.002291096774193549,0.0008317514193891791,108.0,9.0,41.774193548387096
Unknown,Unknown,34.60655737704918,28.198864450260274,0.002291096774193549,0.0008317514193891791,108.0,9.0,41.774193548387096
Smart Socket,Socket,35.78688524590164,28.444750396806292,0.024913677419354838,0.12590906511854422,108.0,10.0,42.516129032258064
Unknown,Unknown,35.333333333333336,28.46149147840185,0.024913677419354838,0.12590906511854422,108.0,10.0,42.516129032258064
Coordinator,Coordinator,35.847457627118644,28.42340800705014,0.025664166666666665,0.12799097121283887,108.0,10.0,40.46666666666667
Unknown,Unknown,35.56896551724138,28.59033824592381,0.025664166666666665,0.12799097121283887,108.0,10.0,40.46666666666667
Philips Lamp 1,Bulb,36.10526315789474,28.548632823486074,0.02647855172413793,0.13017734724751082,108.0,11.0,41.51724137931034
Unknown,Unknown,35.82142857142857,28.72572945057327,0.02647855172413793,0.13017734724751082,108.0,11.0,41.51724137931034
Coordinator,Coordinator,36.38181818181818,28.679900633312894,0.027352142857142856,0.13247952762980353,108.0,11.0,40.67857142857143
Unknown,Unknown,36.22222222222222,28.924538558421457,0.027352142857142856,0.13247952762980353,108.0,11.0,40.67857142857143
Unknown,Unknown,36.81132075471698,28.872436019213893,0.028298703703703704,0.1349066518525409,108.0,11.0,41.77777777777778
Coordinator,Coordinator,37.42307692307692,28.805191630272343,0.029259,0.13748418962833506,108.0,11.0,41.69230769230769
Unknown,Unknown,37.09803921568628,28.995347835099892,0.029259,0.13748418962833506,108.0,11.0,41.69230769230769
Smart Socket,Socket,37.74,28.92129361715682,0.0303464,0.14020505440692926,108.0,11.0,42.88
Smart Socket,Socket,37.16326530612245,28.929041736329822,0.0303464,0.14020505440692926,108.0,11.0,42.88
Unknown,Unknown,36.5625,28.924631519012276,0.030346399999999996,0.14020505440692926,108.0,11.0,42.88
Coordinator,Coordinator,37.234042553191486,28.856626671662692,0.031506875,0.14309786153031395,108.0,11.0,40.291666666666664
Unknown,Unknown,36.869565217391305,29.06590877884427,0.031506875,0.14309786153031395,108.0,11.0,40.291666666666664
Philips Lamp 1,Bulb,37.577777777777776,28.990193395893602,0.03278495652173913,0.1461738170844679,108.0,11.0,41.47826086956522
