Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Philips Lamp 1,Bulb,28.428571428571427,28.912841108275416,0.0928644,0.2051220387252427,210.0,64.0,146.6
Philips Lamp 3,Motion,8.5,4.949747468305833,0.230265,0.3246044389714965,146.0,146.0,146.0
Ledvance Bulb,Bulb,22.2,30.83342342329181,1.0076908000000002,1.9856318645647035,147.0,72.0,132.0
Philips Lamp 3,Motion,21.0,28.16913204200655,0.3987972,0.6480597974019836,233.0,147.0,164.2
Philips Lamp 3,Motion,29.33333333333333,36.2537354397217,0.5013226666666667,0.8607385203976486,233.0,147.0,175.66666666666666
Philips Motion,Bulb,33.92857142857143,27.297405584567034,0.1665485555555555,0.3476878679872621,250.0,6.0,181.88888888888889
Moes Bulb,Bulb,72.5,6.363961030678928,0.312143,0.2317896028729502,250.0,8.0,129.0
Ledvance Smart+ Plug,Socket,74.0,4.242640687119285,0.5078955,0.7111507248681534,249.0,43.0,146.0
Coordinator,Coordinator,34.88709677419355,28.053873721419755,0.0022910967741935,0.0008317514193891,108.0,9.0,41.774193548387096
Smart Socket,Socket,35.78688524590164,28.44475039680629,0.0249136774193548,0.1259090651185442,108.0,10.0,42.516129032258064
Coordinator,Coordinator,35.847457627118644,28.42340800705014,0.0256641666666666,0.1279909712128388,108.0,10.0,40.46666666666667
Philips Lamp 1,Bulb,36.10526315789474,28.548632823486077,0.0264785517241379,0.1301773472475108,108.0,11.0,41.51724137931034
Coordinator,Coordinator,36.38181818181818,28.679900633312894,0.0273521428571428,0.1324795276298035,108.0,11.0,40.67857142857143
Coordinator,Coordinator,37.42307692307692,28.805191630272343,0.029259,0.137484189628335,108.0,11.0,41.69230769230769
Smart Socket,Socket,37.74,28.92129361715682,0.0303464,0.1402050544069292,108.0,11.0,42.88
Smart Socket,Socket,37.16326530612245,28.929041736329825,0.0303464,0.1402050544069292,108.0,11.0,42.88
Coordinator,Coordinator,37.234042553191486,28.85662667166269,0.031506875,0.1430978615303139,108.0,11.0,40.29166666666666
Philips Lamp 1,Bulb,37.577777777777776,28.9901933958936,0.0327849565217391,0.1461738170844679,108.0,11.0,41.47826086956522
Coordinator,Coordinator,37.95348837209303,29.131028694154,0.0341805909090909,0.1494567434122532,108.0,11.0,40.36363636363637
Coordinator,Coordinator,37.785714285714285,29.463111052500658,0.0341805909090909,0.1494567434122532,108.0,11.0,40.36363636363637
Power Plug 1,Socket,37.609756097560975,29.80677611616231,0.0341805909090909,0.1494567434122532,108.0,11.0,40.36363636363637
Coordinator,Coordinator,36.9,29.83355536373474,0.0341805909090909,0.1494567434122532,108.0,11.0,40.36363636363637
Power Plug 1,Socket,37.526315789473685,30.140873606042334,0.0357214285714285,0.1529684296995858,108.0,11.0,41.61904761904762
