Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Philips Lamp 1,Bulb,31.333333333333332,39.70306453327417,0.15351,0.26525084538036825,146.0,64.0,118.66666666666667
Philips Lamp 3,Motion,31.333333333333332,39.70306453327417,1.6667356666666668,2.498605200803307,146.0,72.0,121.33333333333333
Unknown,Unknown,31.333333333333332,39.70306453327417,1.6765679999999998,2.4915290174856484,147.0,72.0,121.66666666666667
Ledvance Bulb,Bulb,31.333333333333332,39.70306453327417,1.676565,2.491532044244465,147.0,72.0,122.0
Philips Lamp 3,Motion,9.666666666666666,4.041451884327381,0.16601333333333332,0.27999130369590647,147.0,147.0,147.0
Unknown,Unknown,7.333333333333333,4.041451884327381,0.0031616666666666664,0.004209175730868614,147.0,147.0,147.0
Philips Lamp 3,Motion,31.333333333333332,39.70306453327417,0.3345553333333333,0.571892918786667,147.0,6.0,100.0
Unknown,Unknown,50.0,39.230090491866065,0.4905623333333333,0.4972440100245888,250.0,6.0,134.33333333333334
Philips Motion,Bulb,74.0,5.196152422706632,0.5397310000000001,0.426909947450279,250.0,6.0,88.0
Moes Bulb,Bulb,74.0,5.196152422706632,0.5450136666666667,0.4353727738172581,250.0,8.0,169.0
Coordinator,Coordinator,75.0,3.4641016151377544,0.3880113333333333,0.544044407187808,249.0,8.0,100.0
Ledvance Smart+ Plug,Socket,66.66666666666667,13.051181300301263,0.5078955,0.7111507248681534,249.0,43.0,146.0
Power Plug 1,Socket,42.666666666666664,33.975481355432386,0.0035265,0.0021347553724021867,43.0,9.0,26.0
Coordinator,Coordinator,40.0,30.805843601498726,0.002017,,9.0,9.0,9.0
Unknown,Unknown,24.333333333333332,33.4863156129983,0.002208,0.0002701147904132611,104.0,9.0,56.5
Smart Socket,Socket,40.0,30.805843601498726,0.002399,,104.0,104.0,104.0
Unknown,Unknown,20.666666666666668,27.135462651912412,0.002223,0.00024890158697766466,104.0,10.0,57.0
Coordinator,Coordinator,36.333333333333336,27.135462651912412,0.002047,,10.0,10.0,10.0
Unknown,Unknown,20.666666666666668,27.135462651912412,0.0020325,2.0506096654410146e-05,65.0,10.0,37.5
Philips Lamp 1,Bulb,34.0,25.357444666211933,0.002018,,65.0,65.0,65.0
Unknown,Unknown,18.333333333333332,23.094010767585033,0.0019064999999999998,0.00015768481220460002,65.0,11.0,38.0
Coordinator,Coordinator,18.333333333333332,23.094010767585033,0.002563,0.0010861160159025374,44.0,11.0,27.5
Unknown,Unknown,21.333333333333332,28.290163190291665,0.002563,0.0010861160159025374,44.0,11.0,27.5
Unknown,Unknown,21.333333333333332,28.290163190291665,0.0027025,0.0008888332239514905,44.0,12.0,28.0
Coordinator,Coordinator,41.666666666666664,32.31614663497697,0.002074,,12.0,12.0,12.0
Unknown,Unknown,45.666666666666664,35.21836642056717,0.002074,,12.0,12.0,12.0
Smart Socket,Socket,45.666666666666664,35.21836642056717,0.002495,,105.0,105.0,105.0
Smart Socket,Socket,41.666666666666664,32.316146634976974,0.002495,,105.0,105.0,105.0
Unknown,Unknown,21.333333333333332,28.290163190291665,0.002303,0.0002715290039756341,105.0,13.0,59.0
Coordinator,Coordinator,37.666666666666664,28.29016319029166,0.002111,,13.0,13.0,13.0
Unknown,Unknown,21.333333333333332,28.290163190291665,0.0020959999999999998,2.1213203435596482e-05,66.0,13.0,39.5
Philips Lamp 1,Bulb,34.666666666666664,26.083200212652844,0.002081,,66.0,66.0,66.0
Unknown,Unknown,31.666666666666668,23.094010767585033,0.002081,,66.0,66.0,66.0
Coordinator,Coordinator,52.0,12.12435565298214,,,,,
Coordinator,Coordinator,52.0,12.12435565298214,,,,,
Power Plug 1,Socket,38.666666666666664,30.98924544633724,0.001823,,14.0,14.0,14.0
Coordinator,Coordinator,38.666666666666664,30.98924544633724,0.001823,,14.0,14.0,14.0
Unknown,Unknown,25.333333333333332,35.21836642056717,0.002159,0.00047517575695735985,45.0,14.0,29.5
Power Plug 1,Socket,45.666666666666664,35.21836642056717,0.002495,,45.0,45.0,45.0
Unknown,Unknown,41.666666666666664,32.316146634976974,0.002495,,45.0,45.0,45.0
Power Plug 1,Socket,41.666666666666664,32.316146634976974,0.002081,,15.0,15.0,15.0
Coordinator,Coordinator,34.666666666666664,26.083200212652844,0.002081,,15.0,15.0,15.0
Unknown,Unknown,52.333333333333336,51.39390365922143,0.001993,0.00012445079348883233,46.0,15.0,30.5
Philips Lamp 1,Bulb,74.33333333333333,31.13411847689498,0.003516,0.002278298048983056,46.0,46.0,46.0
Power Plug 1,Socket,74.33333333333333,31.13411847689498,0.003863,0.0017194615436234681,67.0,46.0,53.0
Power Plug 1,Socket,56.666666666666664,13.203534880225572,0.004842,0.0004030508652763316,67.0,46.0,56.5
Philips Lamp 1,Bulb,55.0,10.535653752852738,0.004557,,67.0,67.0,67.0
Smart Socket,Socket,41.666666666666664,32.316146634976974,0.002495,,47.0,47.0,47.0
Power Plug 1,Socket,38.666666666666664,30.98924544633724,0.002495,,47.0,47.0,47.0
Unknown,Unknown,18.333333333333332,23.094010767585033,0.0021435,0.0004970960671741428,47.0,16.0,31.5
Coordinator,Coordinator,52.333333333333336,51.39390365922143,0.002738,0.0013378460300049481,47.0,16.0,31.5
Unknown,Unknown,59.333333333333336,51.32575701666107,0.002738,0.0013378460300049481,47.0,16.0,31.5
Power Plug 1,Socket,59.333333333333336,51.32575701666107,0.0030895000000000002,0.0008407499628308053,47.0,47.0,47.0
Power Plug 1,Socket,41.0,31.953090617340916,0.002495,,47.0,47.0,47.0
Unknown,Unknown,20.666666666666668,27.135462651912412,0.002256,0.0003379970414071695,47.0,17.0,32.0
Coordinator,Coordinator,36.333333333333336,27.135462651912412,0.002017,,17.0,17.0,17.0
Unknown,Unknown,20.666666666666668,27.135462651912412,0.0020175,7.071067811863348e-07,107.0,17.0,62.0
Smart Socket,Socket,34.0,25.357444666211933,0.002018,,107.0,107.0,107.0
Unknown,Unknown,18.333333333333332,23.094010767585033,0.0018999999999999998,0.00016687720036002513,107.0,68.0,87.5
