Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Philips Lamp 1,Bulb,31.33333333333333,39.70306453327417,0.15351,0.2652508453803682,146.0,64.0,118.66666666666669
Philips Lamp 3,Motion,31.33333333333333,39.70306453327417,1.6667356666666668,2.498605200803307,146.0,72.0,121.33333333333331
Ledvance Bulb,Bulb,31.33333333333333,39.70306453327417,1.676565,2.491532044244465,147.0,72.0,122.0
Philips Lamp 3,Motion,9.666666666666666,4.041451884327381,0.1660133333333333,0.2799913036959064,147.0,147.0,147.0
Philips Lamp 3,Motion,31.33333333333333,39.70306453327417,0.3345553333333333,0.571892918786667,147.0,6.0,100.0
Philips Motion,Bulb,74.0,5.196152422706632,0.5397310000000001,0.426909947450279,250.0,6.0,88.0
Moes Bulb,Bulb,74.0,5.196152422706632,0.5450136666666667,0.4353727738172581,250.0,8.0,169.0
Coordinator,Coordinator,75.0,3.4641016151377544,0.3880113333333333,0.544044407187808,249.0,8.0,100.0
Ledvance Smart+ Plug,Socket,66.66666666666667,13.051181300301264,0.5078955,0.7111507248681534,249.0,43.0,146.0
Power Plug 1,Socket,42.66666666666666,33.975481355432386,0.0035265,0.0021347553724021,43.0,9.0,26.0
Coordinator,Coordinator,18.33333333333333,23.094010767585036,0.002563,0.0010861160159025,44.0,11.0,27.5
Philips Lamp 1,Bulb,74.33333333333333,31.13411847689498,0.003516,0.002278298048983,46.0,46.0,46.0
Power Plug 1,Socket,74.33333333333333,31.13411847689498,0.003863,0.0017194615436234,67.0,46.0,53.0
Power Plug 1,Socket,56.66666666666666,13.203534880225572,0.004842,0.0004030508652763,67.0,46.0,56.5
Coordinator,Coordinator,52.333333333333336,51.39390365922143,0.002738,0.0013378460300049,47.0,16.0,31.5
Power Plug 1,Socket,59.333333333333336,51.32575701666107,0.0030895,0.0008407499628308,47.0,47.0,47.0
Coordinator,Coordinator,37.66666666666666,29.68725877094976,0.001486,0.0004765899705197,18.0,11.0,14.5
Power Plug 2,Socket,37.66666666666666,29.68725877094976,0.001774,0.0008838834764831,11.0,11.0,11.0
Smart Socket,Socket,20.666666666666668,21.361959960016154,0.3481505,0.4898234739296392,148.0,108.0,128.0
Philips Lamp 3,Motion,31.33333333333333,39.70306453327417,0.3719356666666666,0.3494323115144525,148.0,109.0,135.0
Smart Socket,Socket,85.0,16.522711641858304,1.2244303333333333,1.0701464139333148,122.0,12.0,81.0
Power Plug 2,Socket,63.333333333333336,46.91836882643442,1.5359576666666666,0.8276957839643339,149.0,12.0,94.33333333333331
Philips Lamp 2,Bulb,40.333333333333336,55.247926054588994,1.264997666666667,1.2216854626262577,149.0,122.0,140.0
Philips Lamp 3,Motion,31.33333333333333,39.70306453327417,1.0678556666666668,0.9564036485461216,149.0,71.0,123.0
Philips Lamp 1,Bulb,76.66666666666667,0.5773502691896257,1.2913616666666667,0.7201209772686346,73.0,60.0,68.0
Ledvance Bulb,Bulb,55.0,37.242448899072144,1.0611213333333334,0.5416091437719025,150.0,60.0,94.33333333333331
Ledvance Z3 Plug,Socket,31.0,39.1279950930277,0.5452306666666666,0.5810395676383264,150.0,60.0,120.0
Philips Lamp 3,Motion,28.33333333333333,34.530180036213736,0.8483593333333334,0.7430467045599041,251.0,150.0,183.66666666666663
Moes Bulb,Bulb,41.66666666666666,32.74650108535771,0.6947105,0.9795741158608164,252.0,251.0,251.5
Smart Socket,Socket,42.333333333333336,36.073998022583154,0.3113189999999999,0.4377457666020312,112.0,7.0,59.5
Philips Motion,Bulb,75.0,3.4641016151377544,0.3510036666666666,0.2875489812959408,250.0,7.0,101.66666666666669
Power Plug 1,Socket,75.0,3.4641016151377544,0.535297,0.5777285360019877,250.0,24.0,107.33333333333331
Ledvance Smart+ Plug,Socket,55.333333333333336,37.52776749732568,0.8501633333333333,0.6985138339255231,250.0,24.0,141.66666666666666
Coordinator,Coordinator,31.33333333333333,39.70306453327417,0.8342299999999999,0.7259483287755404,151.0,24.0,108.66666666666669
Philips Lamp 3,Motion,31.33333333333333,39.70306453327417,0.5598386666666667,0.6880432894297664,151.0,113.0,138.33333333333334
Smart Socket,Socket,51.333333333333336,39.3742724800514,1.677474,1.9116708531368571,152.0,13.0,92.66666666666669
Power Plug 2,Socket,27.33333333333333,37.81974792794544,1.560863,2.039480039550277,152.0,13.0,105.66666666666669
Ledvance Bulb,Bulb,23.666666666666668,26.50157228040128,0.2506845,0.3515360149465485,222.0,74.0,148.0
Sonoff Motion 2,Motion,30.33333333333333,37.978063843926186,0.2123713333333333,0.2576350136498013,222.0,123.0,189.0
Philips Lamp 2,Bulb,76.0,1.7320508075688772,0.7759853333333333,0.5828686380174638,123.0,72.0,90.0
Ledvance Bulb,Bulb,55.333333333333336,37.52776749732568,1.247791,0.321329573617182,153.0,72.0,100.0
Philips Lamp 1,Bulb,31.33333333333333,39.70306453327417,0.9440023333333332,0.8282818952749923,153.0,72.0,126.0
Philips Lamp 3,Motion,31.33333333333333,39.70306453327417,0.9089863333333332,0.8090516552559134,153.0,8.0,104.66666666666669
