Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,37.333333333333336,33.00505011863084,0.21289266666666665,0.36628415559689903,211.0,97.0,170.33333333333334
Unknown,Unknown,22.0,10.392304845413264,0.21449533333333334,0.36489477979457763,211.0,51.0,155.0
Smart Socket,Socket,28.0,0.0,0.003047666666666667,0.0016662341772191965,203.0,47.0,100.33333333333333
Moes Bulb,Bulb,28.0,0.0,0.0036553333333333334,0.001872307756041547,51.0,32.0,43.333333333333336
Philips Lamp 1,Bulb,28.0,0.0,0.005473,0.004438779561996743,215.0,32.0,98.0
Philips Lamp 3,Bulb,28.0,0.0,0.013097999999999999,0.01015519024932571,215.0,32.0,99.33333333333333
Philips Lamp 2,Bulb,28.0,0.0,0.017315499999999998,0.009976569575760999,215.0,51.0,133.0
Ledvance Bulb,Bulb,28.0,0.0,0.016025499999999998,0.01180090507122229,61.0,51.0,56.0
Ledvance Smart+ Plug,Socket,28.0,0.0,0.018614,0.015461596877425049,98.0,61.0,79.5
Coordinator,Coordinator,28.0,0.0,0.014617999999999999,0.012939649802061878,109.0,61.0,89.33333333333333
Power Plug 1,Socket,28.0,0.0,0.013122666666666666,0.014326967031906414,109.0,94.0,100.33333333333333
Ledvance Z3 Plug,Socket,43.333333333333336,26.558112382722786,0.3839926666666667,0.656591813986691,204.0,94.0,135.66666666666666
Power Plug 2,Socket,38.0,32.18695387886216,0.40860433333333335,0.6364488547945808,204.0,94.0,141.33333333333334
Smart Socket,Socket,30.333333333333332,37.978063843926186,0.4077950000000001,0.637223229090089,204.0,126.0,152.0
Unknown,Unknown,31.333333333333332,39.70306453327417,0.4170416666666667,0.6532083496904593,216.0,126.0,156.0
Unknown,Unknown,44.666666666666664,36.555893277737496,0.585332,0.8266997510886283,216.0,126.0,171.0
Philips Lamp 2,Bulb,44.666666666666664,36.555893277737496,0.585965,0.8258045539036462,216.0,62.0,139.0
Coordinator,Coordinator,36.333333333333336,27.135462651912412,0.002033,,62.0,62.0,62.0
Unknown,Unknown,20.666666666666668,27.135462651912412,0.0020255,1.0606601717798393e-05,100.0,62.0,81.0
Ledvance Bulb,Bulb,40.0,30.805843601498726,0.002018,,100.0,100.0,100.0
Unknown,Unknown,24.333333333333332,33.4863156129983,0.002208,0.00026870057685088815,205.0,100.0,152.5
Smart Socket,Socket,40.0,30.805843601498726,0.002398,,205.0,205.0,205.0
Unknown,Unknown,20.666666666666668,27.135462651912412,0.002216,0.0002573868683519034,205.0,63.0,134.0
Coordinator,Coordinator,36.333333333333336,27.135462651912412,0.002034,,63.0,63.0,63.0
Unknown,Unknown,20.666666666666668,27.135462651912412,0.002026,1.1313708498984729e-05,101.0,63.0,82.0
Ledvance Bulb,Bulb,40.0,30.805843601498726,0.002018,,101.0,101.0,101.0
Unknown,Unknown,24.333333333333332,33.4863156129983,0.0022085,0.00026940768363207477,101.0,99.0,100.0
Power Plug 1,Socket,37.666666666666664,29.687258770949757,0.002399,,99.0,99.0,99.0
