Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-13 16:44:26.000000,65,0xebe5,0xffff,69.0,0xebe5,0xfffc,0.0
2023-10-13 16:44:26.008529,77,0x482d,0xffff,236.0,0x482d,0xfffc,0.008529
2023-10-13 16:44:27.207563,74,0x6e5f,0xffff,188.0,,,1.199034
2023-10-13 16:44:27.797701,77,0xe694,0xffff,221.0,0xe694,0xfffc,0.590138
2023-10-13 16:44:27.805984,71,0x09ac,0xffff,228.0,,,0.008283
2023-10-13 16:44:29.147426,77,0x054f,0xffff,67.0,,,1.341442
2023-10-13 16:44:29.183069,12,0x2cae,0x0000,2.0,,,0.035643
2023-10-13 16:44:29.183836,5,0x0000,0x2cae,2.0,,,0.000767
2023-10-13 16:44:30.639557,77,0x82eb,0xffff,52.0,,,1.455721
2023-10-13 16:44:32.139936,77,0xe5c4,0xffff,11.0,0xe5c4,0xfffc,1.500379
2023-10-13 16:44:34.182627,12,0x2cae,0x0000,3.0,,,2.042691
2023-10-13 16:44:34.183394,5,0x0000,0x2cae,3.0,,,0.000767
2023-10-13 16:44:39.074776,77,0x0000,0xffff,110.0,0x0000,0xfffc,4.891382
2023-10-13 16:44:39.246306,12,0x2cae,0x0000,4.0,,,0.17153
2023-10-13 16:44:39.247073,5,0x0000,0x2cae,4.0,,,0.000767
2023-10-13 16:44:39.315223,74,0xa209,0xffff,147.0,,,0.06815
2023-10-13 16:44:41.031241,65,0xebe5,0xffff,70.0,,,1.716018
2023-10-13 16:44:42.909649,77,0xe694,0xffff,222.0,,,1.878408
2023-10-13 16:44:43.444446,77,0x482d,0xffff,237.0,,,0.534797
2023-10-13 16:44:44.278069,12,0x2cae,0x0000,5.0,,,0.833623
2023-10-13 16:44:44.278836,5,0x0000,0x2cae,5.0,,,0.000767
2023-10-13 16:44:44.282888,71,0x09ac,0xffff,229.0,0x09ac,0xfffc,0.004052
2023-10-13 16:44:45.384413,74,0xc8f0,0xffff,234.0,0xc8f0,0xfffc,1.101525
2023-10-13 16:44:45.626149,77,0x82eb,0xffff,53.0,,,0.241736
2023-10-13 16:44:46.726371,77,0x054f,0xffff,68.0,0x054f,0xfffc,1.100222
2023-10-13 16:44:47.269310,52,0x0000,0xe694,111.0,0x0000,0xe694,0.542939
2023-10-13 16:44:47.271327,5,0xe694,0x0000,111.0,,,0.002017
2023-10-13 16:44:47.279298,63,0xe694,0x0000,223.0,,,0.007971
2023-10-13 16:44:47.281696,5,0x0000,0xe694,223.0,,,0.002398
2023-10-13 16:44:47.305778,52,0x0000,0x6e5f,112.0,,,0.024082
2023-10-13 16:44:47.313423,52,0x0000,0x6e5f,112.0,,,0.007645
2023-10-13 16:44:47.315428,5,0x6e5f,0x0000,112.0,,,0.002005
2023-10-13 16:44:47.316329,63,0x6e5f,0x0000,190.0,0x6e5f,0x0000,0.000901
2023-10-13 16:44:47.318728,5,0x0000,0x6e5f,190.0,,,0.002399
2023-10-13 16:44:47.342025,45,0x0000,0xe694,113.0,,,0.023297
2023-10-13 16:44:47.343810,5,0xe694,0x0000,113.0,,,0.001785
2023-10-13 16:44:47.353233,54,0x0000,0xe694,114.0,0x0000,0xe694,0.009423
2023-10-13 16:44:47.355315,5,0xe694,0x0000,114.0,,,0.002082
