Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 13, 2023 16:18:42.000000000",0.0,77,0x054f,0xffff,11.0,0x054f,0xfffc
"Oct 13, 2023 16:18:42.053716000",0.053716,74,0x6e5f,0xffff,74.0,0x6e5f,0xfffc
"Oct 13, 2023 16:18:42.750605000",0.696889,77,0xe694,0xffff,93.0,0xe694,0xfffc
"Oct 13, 2023 16:18:43.360394000",0.609789,12,0x2cae,0x0000,166.0,,
"Oct 13, 2023 16:18:43.361160000",0.000766,5,,,166.0,,
"Oct 13, 2023 16:18:45.216973000",1.855813,74,0xc8f0,0xffff,102.0,0xc8f0,0xfffc
"Oct 13, 2023 16:18:45.630306000",0.413333,77,0x82eb,0xffff,93.0,0x82eb,0xfffc
"Oct 13, 2023 16:18:47.279416000",1.64911,52,0x0000,0xe694,217.0,0x0000,0xe694
"Oct 13, 2023 16:18:47.281434000",0.002018,5,,,217.0,,
"Oct 13, 2023 16:18:47.289124000",0.00769,63,0xe694,0x0000,94.0,0xe694,0x0000
"Oct 13, 2023 16:18:47.291523000",0.002399,5,,,94.0,,
"Oct 13, 2023 16:18:47.315532000",0.024009,52,0x0000,0x6e5f,218.0,0x0000,0x6e5f
"Oct 13, 2023 16:18:47.317536000",0.002004,5,,,218.0,,
"Oct 13, 2023 16:18:47.325485000",0.007949,63,0x6e5f,0x0000,75.0,0x6e5f,0x0000
"Oct 13, 2023 16:18:47.327884000",0.002399,5,,,75.0,,
"Oct 13, 2023 16:18:47.335736000",0.007852,45,0x0000,0xe694,219.0,0x0000,0xe694
"Oct 13, 2023 16:18:47.337529000",0.001793,5,,,219.0,,
"Oct 13, 2023 16:18:47.355209000",0.01768,54,0x0000,0xe694,220.0,0x0000,0xe694
"Oct 13, 2023 16:18:47.357289000",0.00208,5,,,220.0,,
"Oct 13, 2023 16:18:47.365409000",0.00812,66,0xe694,0x0000,95.0,0xe694,0x0000
"Oct 13, 2023 16:18:47.367904000",0.002495,5,,,95.0,,
"Oct 13, 2023 16:18:47.376613000",0.008709,45,0x0000,0x6e5f,221.0,0x0000,0x6e5f
"Oct 13, 2023 16:18:47.378405000",0.001792,5,,,221.0,,
"Oct 13, 2023 16:18:47.388511000",0.010106,54,0x0000,0x6e5f,222.0,0x0000,0x6e5f
"Oct 13, 2023 16:18:47.390583000",0.002072,5,,,222.0,,
"Oct 13, 2023 16:18:47.398424000",0.007841,66,0x6e5f,0x0000,76.0,0x6e5f,0x0000
"Oct 13, 2023 16:18:47.400919000",0.002495,5,,,76.0,,
"Oct 13, 2023 16:18:47.402379000",0.00146,54,0x0000,0xc8f0,223.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.404459000",0.00208,5,,,223.0,,
"Oct 13, 2023 16:18:47.412387000",0.007928,66,0xc8f0,0x0000,103.0,0xc8f0,0x0000
"Oct 13, 2023 16:18:47.414882000",0.002495,5,,,103.0,,
"Oct 13, 2023 16:18:47.418698000",0.003816,54,0x0000,0xc8f0,223.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.420768000",0.00207,5,,,223.0,,
"Oct 13, 2023 16:18:47.435134000",0.014366,52,0x0000,0xc8f0,224.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.440200000",0.005066,52,0x0000,0xc8f0,224.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.445101000",0.004901,52,0x0000,0xc8f0,224.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.447119000",0.002018,5,,,224.0,,
"Oct 13, 2023 16:18:47.452657000",0.005538,63,0xc8f0,0x0000,104.0,,
"Oct 13, 2023 16:18:47.458021000",0.005364,52,0x0000,0xc8f0,224.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.463199000",0.005178,63,0xc8f0,0x0000,104.0,0xc8f0,0x0000
"Oct 13, 2023 16:18:47.465598000",0.002399,5,,,104.0,,
"Oct 13, 2023 16:18:47.466924000",0.001326,45,0x0000,0xe694,225.0,0x0000,0xe694
"Oct 13, 2023 16:18:47.468706000",0.001782,5,,,225.0,,
"Oct 13, 2023 16:18:47.482811000",0.014105,77,0x0000,0xffff,226.0,0x0000,0xfffc
"Oct 13, 2023 16:18:47.489209000",0.006398,45,0x0000,0x6e5f,227.0,0x0000,0x6e5f
"Oct 13, 2023 16:18:47.491001000",0.001792,5,,,227.0,,
"Oct 13, 2023 16:18:47.495186000",0.004185,45,0x0000,0xc8f0,228.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.496977000",0.001791,5,,,228.0,,
"Oct 13, 2023 16:18:47.499070000",0.002093,45,0x0000,0xc8f0,228.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.500851000",0.001781,5,,,228.0,,
"Oct 13, 2023 16:18:47.506353000",0.005502,45,0x0000,0xc8f0,229.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.508145000",0.001792,5,,,229.0,,
"Oct 13, 2023 16:18:47.509466000",0.001321,45,0x0000,0xc8f0,229.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.511248000",0.001782,5,,,229.0,,
"Oct 13, 2023 16:18:47.517166000",0.005918,52,0x0000,0xc8f0,230.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.519184000",0.002018,5,,,230.0,,
"Oct 13, 2023 16:18:47.521502000",0.002318,52,0x0000,0xc8f0,230.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.523518000",0.002016,5,,,230.0,,
"Oct 13, 2023 16:18:47.524901000",0.001383,52,0x0000,0xc8f0,230.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:47.526905000",0.002004,5,,,230.0,,
"Oct 13, 2023 16:18:48.392621000",0.865716,12,0x2cae,0x0000,167.0,,
"Oct 13, 2023 16:18:48.393387000",0.000766,5,,,167.0,,
"Oct 13, 2023 16:18:48.663026000",0.269639,74,0x482d,0xffff,168.0,0x482d,0xfffc
"Oct 13, 2023 16:18:49.719587000",1.056561,68,0xebe5,0xffff,191.0,0xebe5,0xfffc
"Oct 13, 2023 16:18:50.649328000",0.929741,71,0x09ac,0xffff,4.0,0x09ac,0xfffc
"Oct 13, 2023 16:18:52.231027000",1.581699,77,0xe5c4,0xffff,175.0,0xe5c4,0xfffc
"Oct 13, 2023 16:18:53.043104000",0.812077,74,0xa209,0xffff,109.0,0xa209,0xfffc
"Oct 13, 2023 16:18:53.424588000",0.381484,12,0x2cae,0x0000,168.0,,
"Oct 13, 2023 16:18:53.425355000",0.000767,5,,,168.0,,
"Oct 13, 2023 16:18:55.552758000",2.127403,48,0x0000,0xc8f0,231.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:55.554647000",0.001889,5,,,231.0,,
"Oct 13, 2023 16:18:55.555737000",0.00109,48,0x0000,0xc8f0,231.0,0x0000,0xc8f0
"Oct 13, 2023 16:18:55.557617000",0.00188,5,,,231.0,,
"Oct 13, 2023 16:18:55.575993000",0.018376,50,0xc8f0,0x0000,105.0,0xc8f0,0x0000
"Oct 13, 2023 16:18:55.577976000",0.001983,5,,,105.0,,
"Oct 13, 2023 16:18:55.578916000",0.00094,52,0xc8f0,0x0000,106.0,0xc8f0,0x0000
"Oct 13, 2023 16:18:55.580963000",0.002047,5,,,106.0,,
"Oct 13, 2023 16:18:56.843076000",1.262113,48,0x0000,0xe694,232.0,0x0000,0xe694
"Oct 13, 2023 16:18:56.844964000",0.001888,5,,,232.0,,
"Oct 13, 2023 16:18:56.862454000",0.01749,50,0xe694,0x0000,96.0,0xe694,0x0000
"Oct 13, 2023 16:18:56.864437000",0.001983,5,,,96.0,,
"Oct 13, 2023 16:18:56.865373000",0.000936,52,0xe694,0x0000,97.0,0xe694,0x0000
"Oct 13, 2023 16:18:56.867420000",0.002047,5,,,97.0,,
"Oct 13, 2023 16:18:57.090270000",0.22285,74,0x6e5f,0xffff,77.0,0x6e5f,0xfffc
"Oct 13, 2023 16:18:57.767077000",0.676807,77,0xe694,0xffff,98.0,0xe694,0xfffc
"Oct 13, 2023 16:18:58.202239000",0.435162,77,0x054f,0xffff,12.0,0x054f,0xfffc
"Oct 13, 2023 16:18:58.386068000",0.183829,48,0x0000,0x6e5f,233.0,0x0000,0x6e5f
"Oct 13, 2023 16:18:58.387945000",0.001877,5,,,233.0,,
"Oct 13, 2023 16:18:58.405209000",0.017264,50,0x6e5f,0x0000,78.0,0x6e5f,0x0000
"Oct 13, 2023 16:18:58.407191000",0.001982,5,,,78.0,,
"Oct 13, 2023 16:18:58.408131000",0.00094,52,0x6e5f,0x0000,79.0,0x6e5f,0x0000
"Oct 13, 2023 16:18:58.410178000",0.002047,5,,,79.0,,
"Oct 13, 2023 16:18:58.424077000",0.013899,12,0x2cae,0x0000,169.0,,
"Oct 13, 2023 16:18:58.424844000",0.000767,5,,,169.0,,
"Oct 13, 2023 16:18:59.902931000",1.478087,48,0x0000,0x6e5f,234.0,0x0000,0x6e5f
"Oct 13, 2023 16:18:59.904820000",0.001889,5,,,234.0,,
"Oct 13, 2023 16:18:59.920709000",0.015889,50,0x6e5f,0x0000,80.0,0x6e5f,0x0000
"Oct 13, 2023 16:18:59.922692000",0.001983,5,,,80.0,,
