Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Moes Bulb,Bulb,Broadcast,Broadcast,Moes Bulb,Bulb,Broadcast,Broadcast,2023-10-13 16:44:26.000000,65,0xebe5,0xffff,69.0,0xebe5,0xfffc,0.0
Philips Lamp 1,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,2023-10-13 16:44:26.008529,77,0x482d,0xffff,236.0,0x482d,0xfffc,0.008529
Power Plug 1,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:27.207563,74,0x6e5f,0xffff,188.0,,,1.199034
Smart Socket,Socket,Broadcast,Broadcast,Smart Socket,Socket,Broadcast,Broadcast,2023-10-13 16:44:27.797701,77,0xe694,0xffff,221.0,0xe694,0xfffc,0.590138
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:27.805984,71,0x09ac,0xffff,228.0,,,0.008283
Ledvance Bulb,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:29.147426,77,0x054f,0xffff,67.0,,,1.341442
Philips Lamp 3,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 16:44:29.183069,12,0x2cae,0x0000,2.0,,,0.035643
Coordinator,Coordinator,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-13 16:44:29.183836,5,0x0000,0x2cae,2.0,,,0.000767
Ledvance Smart+ Plug,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:30.639557,77,0x82eb,0xffff,52.0,,,1.455721
Philips Motion,Bulb,Broadcast,Broadcast,Philips Motion,Bulb,Broadcast,Broadcast,2023-10-13 16:44:32.139936,77,0xe5c4,0xffff,11.0,0xe5c4,0xfffc,1.500379
Philips Lamp 3,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 16:44:34.182627,12,0x2cae,0x0000,3.0,,,2.042691
Coordinator,Coordinator,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-13 16:44:34.183394,5,0x0000,0x2cae,3.0,,,0.000767
Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-13 16:44:39.074776,77,0x0000,0xffff,110.0,0x0000,0xfffc,4.891382
Philips Lamp 3,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 16:44:39.246306,12,0x2cae,0x0000,4.0,,,0.17153
Coordinator,Coordinator,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-13 16:44:39.247073,5,0x0000,0x2cae,4.0,,,0.000767
Philips Lamp 2,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:39.315223,74,0xa209,0xffff,147.0,,,0.06815
Moes Bulb,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:41.031241,65,0xebe5,0xffff,70.0,,,1.716018
Smart Socket,Socket,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:42.909649,77,0xe694,0xffff,222.0,,,1.878408
Philips Lamp 1,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-13 16:44:43.444446,77,0x482d,0xffff,237.0,,,0.534797
Philips Lamp 3,Motion,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-13 16:44:44.278069,12,0x2cae,0x0000,5.0,,,0.833623
Coordinator,Coordinator,Philips Lamp 3,Motion,Unknown,Unknown,,,2023-10-13 16:44:44.278836,5,0x0000,0x2cae,5.0,,,0.000767
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Ledvance Z3 Plug,Socket,Broadcast,Broadcast,2023-10-13 16:44:44.282888,71,0x09ac,0xffff,229.0,0x09ac,0xfffc,0.004052
Power Plug 2,Socket,Broadcast,Broadcast,Power Plug 2,Socket,Broadcast,Broadcast,2023-10-13 16:44:45.384413,74,0xc8f0,0xffff,234.0,0xc8f0,0xfffc,1.101525
