Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-13 16:26:37.632747,53,0x2cae,0x0000,20.0,0x2cae,0x0000,0.983994
Philips Lamp 3,Motion,Philips Lamp 3,Motion,Coordinator,Coordinator,Philips Lamp 3,Motion,Coordinator,Coordinator,2023-10-13 16:26:39.179982,45,0x2cae,0x0000,24.0,0x2cae,0x0000,0.007078
Coordinator,Coordinator,Coordinator,Coordinator,Broadcast,Broadcast,Coordinator,Coordinator,Broadcast,Broadcast,2023-10-13 16:24:59.635145,77,0x0000,0xffff,211.0,0x0000,0xfffc,1.367229
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,2023-10-13 16:25:14.368712,55,0xe5c4,0x0000,137.0,0xe5c4,0x0000,0.003331
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,2023-10-13 16:25:14.443572,52,0xe5c4,0x0000,141.0,0xe5c4,0x0000,0.022462
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,2023-10-13 16:25:14.448649,52,0xe5c4,0x0000,142.0,0xe5c4,0x0000,0.00303
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:14.850219,55,0x054f,0x0000,127.0,0x054f,0x0000,0.399523
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:14.898166,59,0x054f,0x0000,128.0,0x054f,0x0000,0.045805
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-13 16:25:14.942981,49,0x0000,0x054f,214.0,0x0000,0x054f,0.026465
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:14.997068,45,0x054f,0x0000,130.0,0x054f,0x0000,0.019221
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,2023-10-13 16:25:15.417118,55,0xe5c4,0x0000,143.0,0xe5c4,0x0000,0.12624
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,2023-10-13 16:25:15.454453,52,0xe5c4,0x0000,144.0,0xe5c4,0x0000,0.035193
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-13 16:25:16.803300,48,0x0000,0xa209,215.0,0x0000,0xa209,0.621966
Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.810296,55,0xa209,0x0000,245.0,0xa209,0x0000,0.005077
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.839846,55,0xe5c4,0x0000,145.0,0xe5c4,0x0000,0.005256
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,2023-10-13 16:25:16.850694,48,0x0000,0x054f,217.0,0x0000,0xebe5,0.008705
Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,Moes Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.864689,50,0xebe5,0x0000,170.0,0xebe5,0x0000,0.005516
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-13 16:25:16.880713,48,0x0000,0x054f,218.0,0x0000,0x054f,0.004994
Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,Philips Motion,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.887362,50,0xe5c4,0x0000,146.0,0xe5c4,0x0000,0.004744
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,2023-10-13 16:25:16.906988,48,0x0000,0x482d,219.0,0x0000,0x482d,0.017644
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.916125,55,0x054f,0x0000,132.0,0x054f,0x0000,0.001011
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.925798,55,0x054f,0x0000,133.0,0x054f,0x0000,0.00753
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.939475,55,0x054f,0x0000,134.0,0x054f,0x0000,0.004785
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-13 16:25:16.959527,52,0x0000,0xe694,221.0,0x0000,0xe694,0.009211
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.963979,50,0x482d,0x0000,8.0,0x482d,0x0000,0.002443
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-13 16:25:16.969596,63,0xe694,0x0000,199.0,0xe694,0x0000,0.003634
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.978680,50,0x054f,0x0000,136.0,0x054f,0x0000,0.006685
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-13 16:25:16.997332,52,0x054f,0x0000,137.0,0x054f,0x0000,0.006231
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 16:25:17.031220,52,0x0000,0x6e5f,222.0,0x0000,0x6e5f,0.017322
Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,2023-10-13 16:25:17.041160,63,0x6e5f,0x0000,179.0,0x6e5f,0x0000,0.00994
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 16:25:17.045141,52,0x0000,0x6e5f,222.0,0x0000,0x6e5f,0.001583
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-13 16:25:17.115245,54,0x0000,0xe694,224.0,0x0000,0xe694,0.02697
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-13 16:25:17.138694,45,0x0000,0x054f,225.0,0x0000,0x054f,0.011058
Coordinator,Coordinator,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,2023-10-13 16:25:17.167894,45,0x0000,0x054f,228.0,0x0000,0x054f,0.009726
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-13 16:25:17.180610,55,0x482d,0x0000,9.0,0x482d,0x0000,0.001446
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-13 16:25:17.184352,55,0x482d,0x0000,9.0,0x482d,0x0000,0.003742
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-13 16:25:17.189074,55,0x482d,0x0000,9.0,0x482d,0x0000,0.00258
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-13 16:25:17.208223,45,0x0000,0x6e5f,230.0,0x0000,0x6e5f,0.004472
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-13 16:25:17.222632,66,0xc8f0,0x0000,217.0,0xc8f0,0x0000,0.003895
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,2023-10-13 16:25:17.240910,66,0xc8f0,0x0000,218.0,0xc8f0,0x0000,0.001072
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,2023-10-13 16:25:17.244851,52,0x482d,0x0000,12.0,0x482d,0x0000,0.001447
Coordinator,Coordinator,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-13 16:25:17.270246,52,0x0000,0xa209,231.0,0x0000,0xc8f0,0.023349
