Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,71.0,8.48528137423857,77.0,65.0,71.0,,,6.0,2.0,2.302568,,2.302568,2.302568,2.302568,,,0.0,71.0,8.48528137423857,77,65,71.0,,,6.0,2,2.302568,,2.302568,2.302568,2.302568,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.974409,,0.974409,0.974409,0.974409,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.974409,,0.974409,0.974409,0.974409,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.974409,,0.974409,0.974409,0.974409,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.974409,,0.974409,0.974409,0.974409,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.974409,,0.974409,0.974409,0.974409,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.974409,,0.974409,0.974409,0.974409,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,0.974409,,0.974409,0.974409,0.974409,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,0.974409,,0.974409,0.974409,0.974409,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,64.125,9.87692115127844,77.0,57.0,57.0,-2.113264582675546,0.6766606798301655,8.90625,8.0,0.4014001428571428,0.8555276669049398,2.327314,0.005479,0.020785,6.668161537797461,2.567482245295323,0.5502611020408164,64.125,9.87692115127844,77,57,57.0,-2.113264582675546,0.6766606798301655,8.90625,8,0.4014001428571428,0.8555276669049398,2.327314,0.005479,0.020785,6.668161537797461,2.567482245295323,0.5502611020408164,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,64.125,9.87692115127844,77.0,57.0,57.0,-2.113264582675546,0.6766606798301655,8.90625,8.0,0.4014001428571428,0.8555276669049398,2.327314,0.005479,0.020785,6.668161537797461,2.567482245295323,0.5502611020408164,64.125,9.87692115127844,77,57,57.0,-2.113264582675546,0.6766606798301655,8.90625,8,0.4014001428571428,0.8555276669049398,2.327314,0.005479,0.020785,6.668161537797461,2.567482245295323,0.5502611020408164,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,57.642857142857146,7.821146314340992,77.0,53.0,55.0,3.1985871686675926,2.049835942712319,5.102040816326531,14.0,0.17163753846153848,0.3436224460609869,1.229782,0.003214,0.020785,8.568205454368742,2.8344031401714758,0.21856313609467456,57.642857142857146,7.821146314340992,77,53,55.0,3.1985871686675926,2.049835942712319,5.102040816326531,14,0.17163753846153848,0.3436224460609869,1.229782,0.003214,0.020785,8.568205454368742,2.8344031401714758,0.21856313609467456,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,57.642857142857146,7.821146314340992,77.0,53.0,55.0,3.1985871686675926,2.049835942712319,5.102040816326531,14.0,0.17163753846153848,0.3436224460609869,1.229782,0.003214,0.020785,8.568205454368742,2.8344031401714758,0.21856313609467456,57.642857142857146,7.821146314340992,77,53,55.0,3.1985871686675926,2.049835942712319,5.102040816326531,14,0.17163753846153848,0.3436224460609869,1.229782,0.003214,0.020785,8.568205454368742,2.8344031401714758,0.21856313609467456,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_A\4-Group_dataset\AppInteraction3_group.csv,57.642857142857146,7.821146314340992,77.0,53.0,55.0,3.1985871686675926,2.049835942712319,5.102040816326531,14.0,0.17163753846153848,0.3436224460609869,1.229782,0.003214,0.020785,8.568205454368742,2.8344031401714758,0.21856313609467456,57.642857142857146,7.821146314340992,77,53,55.0,3.1985871686675926,2.049835942712319,5.102040816326531,14,0.17163753846153848,0.3436224460609869,1.229782,0.003214,0.020785,8.568205454368742,2.8344031401714758,0.21856313609467456,,,,,,,,,,,,,,,,,
