Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Unknown,Unknown,5.0,0.0,0.000997,0.0005154139113372863,212.0,0.0,43.6
Unknown,Unknown,5.0,0.0,0.0012724,0.0006970177903038057,212.0,1.0,71.0
Unknown,Unknown,5.0,0.0,0.0015476,0.0007188837179961721,212.0,2.0,98.4
Unknown,Unknown,5.0,0.0,0.0018228,0.0005981038371386694,212.0,3.0,125.8
Unknown,Unknown,5.0,0.0,0.002066,0.00010739180601889512,212.0,137.0,153.2
Unknown,Unknown,5.0,0.0,0.0020916,7.349693871175853e-05,141.0,137.0,139.0
Unknown,Unknown,5.0,0.0,0.0020724,6.912163192517947e-05,142.0,138.0,140.0
Unknown,Unknown,5.0,0.0,0.0020722,6.886726363084265e-05,142.0,127.0,137.8
Unknown,Unknown,5.0,0.0,0.0020978,0.00011174390363684266,142.0,127.0,135.6
Unknown,Unknown,5.0,0.0,0.0020632,0.000168531006049332,213.0,127.0,150.2
Unknown,Unknown,5.0,0.0,0.002041,0.00017823018823981523,214.0,127.0,164.8
Unknown,Unknown,5.0,0.0,0.0020601999999999994,0.00018411192248195114,214.0,127.0,162.2
Unknown,Unknown,5.0,0.0,0.0019963999999999997,0.0002029834968661245,214.0,128.0,162.8
Unknown,Unknown,5.0,0.0,0.0019708,0.00016422149676580098,214.0,129.0,165.8
Unknown,Unknown,5.0,0.0,0.0020182,0.00013837521454364575,214.0,129.0,152.0
Unknown,Unknown,5.0,0.0,0.0020147999999999998,0.00014108224551657802,215.0,129.0,152.2
Unknown,Unknown,5.0,0.0,0.0020147999999999998,0.00014108224551657802,245.0,130.0,175.4
Unknown,Unknown,5.0,0.0,0.0020340000000000002,0.00011198660634200858,245.0,143.0,192.6
Unknown,Unknown,5.0,0.0,0.0020342,0.00011222833866720119,245.0,144.0,193.0
Unknown,Unknown,5.0,0.0,0.002006,0.0001251758762701504,245.0,145.0,207.6
Unknown,Unknown,5.0,0.0,0.0019984,0.00013270568940328064,245.0,131.0,190.8
Unknown,Unknown,5.0,0.0,0.0019664,0.00010565415278161097,246.0,131.0,191.0
Unknown,Unknown,5.0,0.0,0.0019792,0.00010229956011635628,246.0,131.0,181.8
Unknown,Unknown,5.0,0.0,0.00196,6.667833231267866e-05,246.0,131.0,187.0
Unknown,Unknown,5.0,0.0,0.0019598000000000003,6.688198561645733e-05,246.0,131.0,187.2
Unknown,Unknown,5.0,0.0,0.00198,5.033885179461294e-05,246.0,146.0,190.2
Unknown,Unknown,5.0,0.0,0.0019674000000000002,5.686211392482701e-05,219.0,146.0,184.8
Unknown,Unknown,5.0,0.0,0.0019993999999999997,9.798622352147266e-05,219.0,7.0,152.2
Unknown,Unknown,5.0,0.0,0.0020185999999999997,0.00011717209565421279,219.0,7.0,144.4
Unknown,Unknown,5.0,0.0,0.002066,0.00010724504650565449,219.0,7.0,127.4
Unknown,Unknown,5.0,0.0,0.0020316,0.00015697866097020953,220.0,7.0,142.2
Unknown,Unknown,5.0,0.0,0.0020761999999999994,0.00014881095389789015,220.0,7.0,125.2
Unknown,Unknown,5.0,0.0,0.0020069999999999997,0.00018582653201305776,220.0,132.0,150.8
Unknown,Unknown,5.0,0.0,0.0019802,0.00017032527704366132,221.0,133.0,168.6
Unknown,Unknown,5.0,0.0,0.0019484,0.00014561524645448356,221.0,8.0,143.6
Unknown,Unknown,5.0,0.0,0.0020662,0.00022322455062111788,221.0,8.0,139.4
Unknown,Unknown,5.0,0.0,0.0020340000000000002,0.00022097737440742666,221.0,8.0,139.8
Unknown,Unknown,5.0,0.0,0.002084,0.00017806178702910972,221.0,8.0,140.2
Unknown,Unknown,5.0,0.0,0.0021106,0.00017394338159297702,247.0,8.0,145.4
Unknown,Unknown,5.0,0.0,0.0021234,0.00016429333522696533,247.0,136.0,171.4
Unknown,Unknown,5.0,0.0,0.0020721999999999997,6.94456622115449e-05,248.0,136.0,181.2
Unknown,Unknown,5.0,0.0,0.0021554000000000005,0.0001437786493190139,248.0,137.0,189.8
Unknown,Unknown,5.0,0.0,0.0021484,0.00015104403331479198,248.0,138.0,206.8
Unknown,Unknown,5.0,0.0,0.0021294,0.00015787114999264425,249.0,138.0,207.2
Unknown,Unknown,5.0,0.0,0.0021294,0.00015787114999264425,250.0,179.0,229.6
Unknown,Unknown,5.0,0.0,0.0020574,0.00021998931792248456,250.0,179.0,224.6
Unknown,Unknown,5.0,0.0,0.0019916,0.00011838412055677065,250.0,222.0,233.6
Unknown,Unknown,5.0,0.0,0.0020881999999999997,0.0002561234077549335,250.0,200.0,229.2
Unknown,Unknown,5.0,0.0,0.0020405999999999996,0.00028606083269123013,250.0,200.0,224.4
Unknown,Unknown,5.0,0.0,0.0020472,0.0002866255396854927,226.0,200.0,219.6
Unknown,Unknown,25.4,45.61578674099571,0.0033922,0.0028703495780131034,226.0,76.0,190.2
Unknown,Unknown,25.4,45.61578674099571,0.0033402,0.0029024890525202675,228.0,76.0,191.0
Unknown,Unknown,25.4,45.61578674099571,0.0033402,0.0029024890525202675,228.0,76.0,187.0
Unknown,Unknown,25.4,45.61578674099571,0.0034004,0.0028656792039584615,229.0,76.0,187.8
Unknown,Unknown,25.4,45.61578674099571,0.0034128000000000006,0.0028586629217170743,229.0,9.0,144.4
Unknown,Unknown,5.0,0.0,0.0021398,0.0002431557114278831,229.0,9.0,131.0
Unknown,Unknown,5.0,0.0,0.0022065999999999995,0.0001618403534351059,229.0,9.0,87.4
Unknown,Unknown,5.0,0.0,0.0022066000000000004,0.00016184035343510587,229.0,9.0,88.0
Unknown,Unknown,25.4,45.61578674099571,0.0023264,0.000262718099871326,183.0,9.0,59.2
Unknown,Unknown,25.4,45.61578674099571,0.002397,0.00024778216239269526,217.0,9.0,100.8
Unknown,Unknown,25.4,45.61578674099571,0.0023775999999999997,0.00027494872249203117,217.0,10.0,101.2
Unknown,Unknown,25.4,45.61578674099571,0.0024478,0.00024303230237974536,218.0,11.0,142.8
Unknown,Unknown,25.4,45.61578674099571,0.0023580000000000003,0.00029797399215367767,218.0,11.0,108.6
Unknown,Unknown,5.0,0.0,0.0022256,0.00024547158695050625,231.0,11.0,137.8
Unknown,Unknown,5.0,0.0,0.0021298000000000003,0.00020401764629560847,252.0,11.0,144.8
Unknown,Unknown,5.0,0.0,0.0022004000000000004,0.00022749571424534573,252.0,12.0,186.4
Unknown,Unknown,5.0,0.0,0.0020954,0.00017265369964179747,252.0,12.0,189.2
Unknown,Unknown,5.0,0.0,0.0020802,0.00018122279106116875,252.0,219.0,233.4
Unknown,Unknown,5.0,0.0,0.0020992,0.0001818507629898759,252.0,139.0,215.0
Unknown,Unknown,5.0,0.0,0.0020548,0.00022838936052277045,234.0,139.0,211.4
Unknown,Unknown,5.0,0.0,0.0020036,0.0001456409969754395,234.0,139.0,195.6
Unknown,Unknown,5.0,0.0,0.001966,0.00017757392826651093,235.0,139.0,196.2
Unknown,Unknown,5.0,0.0,0.0019302,0.00019386258019535375,236.0,139.0,196.8
Unknown,Unknown,5.0,0.0,0.0018664,0.00015541171127041872,237.0,140.0,216.4
Unknown,Unknown,5.0,0.0,0.0018722000000000003,0.00015254900851857412,237.0,140.0,197.8
Unknown,Unknown,5.0,0.0,0.0018017999999999999,1.9778776504121744e-05,253.0,141.0,220.4
Unknown,Unknown,5.0,0.0,0.0018016,2.004494948858689e-05,254.0,141.0,224.2
Unknown,Unknown,5.0,0.0,0.001808,2.0904544960366877e-05,254.0,141.0,205.4
Unknown,Unknown,5.0,0.0,0.001808,2.0904544960366877e-05,254.0,141.0,205.8
Unknown,Unknown,5.0,0.0,0.0018005999999999999,2.0815859338494765e-05,255.0,142.0,228.6
Unknown,Unknown,5.0,0.0,0.0018070000000000002,2.2011360703055142e-05,255.0,142.0,226.2
Unknown,Unknown,5.0,0.0,0.0018796,0.00014811414517189097,255.0,142.0,204.8
Unknown,Unknown,5.0,0.0,0.0019436000000000002,0.00018265212837522587,255.0,147.0,206.0
Unknown,Unknown,5.0,0.0,0.0019884,0.00017288666808056656,255.0,147.0,188.0
Unknown,Unknown,5.0,0.0,0.0020404,0.00013075855612540235,241.0,147.0,167.0
Unknown,Unknown,5.0,0.0,0.0021044,5.285640926131843e-05,150.0,143.0,147.4
Unknown,Unknown,5.0,0.0,0.0020852,5.276551904416356e-05,150.0,143.0,146.8
Unknown,Unknown,5.0,0.0,0.0020184,0.0001242690629239635,242.0,143.0,165.6
Unknown,Unknown,5.0,0.0,0.002003,0.00012460938969435648,243.0,143.0,184.4
Unknown,Unknown,5.0,0.0,0.0020222,0.0001394083928606882,243.0,143.0,183.4
Unknown,Unknown,5.0,0.0,0.0020221999999999996,0.0001394083928606882,243.0,0.0,154.8
Unknown,Unknown,5.0,0.0,0.0019772,0.00016361448591124188,243.0,0.0,155.2
Unknown,Unknown,5.0,0.0,0.0020246,0.00013443139514265253,243.0,0.0,107.0
Unknown,Unknown,5.0,0.0,0.0017840000000000002,0.0005833999485773031,146.0,0.0,59.2
Unknown,Unknown,5.0,0.0,0.0017842000000000001,0.0005835535108282701,146.0,0.0,32.8
Unknown,Unknown,5.0,0.0,0.0017648,0.000570100605156669,146.0,1.0,35.6
Unknown,Unknown,5.0,0.0,0.0018290000000000001,0.0005956538424286374,151.0,1.0,36.6
Unknown,Unknown,5.0,0.0,0.0018292000000000002,0.0005957450797111127,152.0,4.0,66.8
Unknown,Unknown,5.0,0.0,0.0020596000000000004,9.222689412530382e-05,244.0,13.0,114.8
Unknown,Unknown,5.0,0.0,0.0020274,8.352424797626141e-05,244.0,14.0,126.8
Unknown,Unknown,5.0,0.0,0.0020147999999999998,8.475966021640252e-05,244.0,73.0,138.6
Unknown,Unknown,5.0,0.0,0.0019712,5.210758102234268e-05,245.0,73.0,157.4
Unknown,Unknown,5.0,0.0,0.0019709999999999997,5.174456493198104e-05,245.0,73.0,141.8
Unknown,Unknown,5.0,0.0,0.0019517999999999996,8.376574478866646e-05,246.0,73.0,142.2
Unknown,Unknown,5.0,0.0,0.001952,8.385702117294654e-05,246.0,73.0,159.6
Unknown,Unknown,5.0,0.0,0.0019200000000000003,9.834632682515401e-05,247.0,74.0,194.4
Unknown,Unknown,5.0,0.0,0.0018996,0.00010722779490411993,247.0,74.0,160.4
Unknown,Unknown,5.0,0.0,0.0018872,8.79101814353719e-05,248.0,75.0,195.2
Unknown,Unknown,5.0,0.0,0.0019320000000000001,0.0001028250942134264,248.0,75.0,178.2
Unknown,Unknown,5.0,0.0,0.0020150000000000003,0.0002357975826848104,248.0,75.0,183.0
Unknown,Unknown,5.0,0.0,0.002015,0.00023579758268481041,248.0,75.0,170.6
Unknown,Unknown,5.0,0.0,0.0020086,0.00024264645062312368,250.0,161.0,205.6
Unknown,Unknown,5.0,0.0,0.0017652000000000002,0.0006083290228157787,250.0,5.0,157.0
Unknown,Unknown,5.0,0.0,0.0017396000000000002,0.0005960753308097894,254.0,5.0,175.6
Unknown,Unknown,5.0,0.0,0.0016351999999999998,0.00048781164397746797,254.0,5.0,140.0
Unknown,Unknown,5.0,0.0,0.0016672,0.0005080395653883662,254.0,5.0,147.6
Unknown,Unknown,5.0,0.0,0.0017184000000000001,0.000535777752430987,254.0,5.0,142.4
Unknown,Unknown,5.0,0.0,0.0019425999999999998,7.159818433452074e-05,255.0,6.0,192.4
Unknown,Unknown,5.0,0.0,0.0019554,7.204373671597004e-05,255.0,6.0,182.4
Unknown,Unknown,5.0,0.0,0.0019896000000000002,6.519049010400225e-05,255.0,204.0,222.2
Unknown,Unknown,5.0,0.0,0.0019708,7.954369868191959e-05,255.0,0.0,177.6
Unknown,Unknown,5.0,0.0,0.0019578,6.852517785456677e-05,255.0,0.0,170.0
Unknown,Unknown,5.0,0.0,0.0019896000000000002,6.48290058538615e-05,205.0,0.0,156.4
Unknown,Unknown,5.0,0.0,0.001977,7.214222064782876e-05,205.0,0.0,115.8
Unknown,Unknown,5.0,0.0,0.001996,0.00010165874286061179,187.0,0.0,76.2
Unknown,Unknown,5.0,0.0,0.0020147999999999998,8.409934601410402e-05,187.0,1.0,77.8
Unknown,Unknown,5.0,0.0,0.0020022,9.433822131034692e-05,187.0,1.0,41.6
Unknown,Unknown,5.0,0.0,0.0020214000000000005,0.00011354866797985782,19.0,1.0,8.0
Unknown,Unknown,5.0,0.0,0.0020340000000000002,0.00010243534546239395,20.0,5.0,11.8
