Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Broadcast,Broadcast,77.0,0.0,0.26715,0.0,125.0,125.0,125.0
Ledvance Bulb,Bulb,77.0,0.0,0.26715,0.0,125.0,125.0,125.0
Unknown,Unknown,5.0,0.0,0.000766,0.0,0.0,0.0,0.0
Broadcast,Broadcast,77.0,0.0,1.367229,0.0,211.0,211.0,211.0
Coordinator,Coordinator,77.0,0.0,1.367229,0.0,211.0,211.0,211.0
Broadcast,Broadcast,75.5,2.1213203435596424,0.33169150000000003,0.05218660177191077,214.0,158.0,186.0
Ledvance Smart+ Plug,Socket,77.0,0.0,0.29479,0.0,158.0,158.0,158.0
Power Plug 2,Socket,74.0,0.0,0.368593,0.0,214.0,214.0,214.0
Broadcast,Broadcast,68.0,0.0,0.866738,0.0,168.0,168.0,168.0
Moes Bulb,Bulb,68.0,0.0,0.866738,0.0,168.0,168.0,168.0
Broadcast,Broadcast,74.0,0.0,1.173253,0.0,244.0,244.0,244.0
Philips Lamp 2,Bulb,74.0,0.0,1.173253,0.0,244.0,244.0,244.0
Unknown,Unknown,5.0,0.0,0.000767,0.0,1.0,1.0,1.0
Broadcast,Broadcast,77.0,0.0,3.038435,0.0,6.0,6.0,6.0
Philips Lamp 1,Bulb,77.0,0.0,3.038435,0.0,6.0,6.0,6.0
Unknown,Unknown,5.0,0.0,0.000766,0.0,2.0,2.0,2.0
Broadcast,Broadcast,71.0,0.0,1.441132,0.0,72.0,72.0,72.0
Ledvance Z3 Plug,Socket,71.0,0.0,1.441132,0.0,72.0,72.0,72.0
Broadcast,Broadcast,75.5,2.1213203435596424,1.075515,0.6955045731208386,178.0,136.0,157.0
Philips Motion,Bulb,77.0,0.0,1.567311,0.0,136.0,136.0,136.0
Power Plug 1,Socket,74.0,0.0,0.583719,0.0,178.0,178.0,178.0
Broadcast,Broadcast,77.0,0.0,0.745361,0.0,198.0,198.0,198.0
Smart Socket,Socket,77.0,0.0,0.745361,0.0,198.0,198.0,198.0
Broadcast,Broadcast,77.0,0.0,0.487658,0.0,126.0,126.0,126.0
Ledvance Bulb,Bulb,77.0,0.0,0.487658,0.0,126.0,126.0,126.0
Unknown,Unknown,5.0,0.0,0.000767,0.0,3.0,3.0,3.0
Broadcast,Broadcast,74.0,0.0,0.02737,0.0,215.0,215.0,215.0
Coordinator,Coordinator,51.642857142857146,4.253634515729647,0.09733085714285715,0.22106031808565701,214.0,127.0,157.28571428571428
Ledvance Bulb,Bulb,51.333333333333336,5.853773711604051,0.08478350000000001,0.15483696340053948,214.0,127.0,156.83333333333334
Philips Motion,Bulb,51.875,2.997022331772464,0.106741375,0.27091224964232946,212.0,137.0,157.625
Power Plug 2,Socket,74.0,0.0,0.02737,0.0,215.0,215.0,215.0
Unknown,Unknown,5.0,0.0,0.0020421538461538463,0.00013972225195833226,214.0,127.0,153.07692307692307
Broadcast,Broadcast,77.0,0.0,0.291987,0.0,159.0,159.0,159.0
Coordinator,Coordinator,53.5,2.1213203435596424,0.0807165,0.06437995110669159,144.0,143.0,143.5
Ledvance Smart+ Plug,Socket,77.0,0.0,0.291987,0.0,159.0,159.0,159.0
Philips Motion,Bulb,53.5,2.1213203435596424,0.0807165,0.06437995110669159,144.0,143.0,143.5
Unknown,Unknown,5.0,0.0,0.0020945,6.717514421272173e-05,144.0,143.0,143.5
Broadcast,Broadcast,68.0,0.0,0.724834,0.0,169.0,169.0,169.0
Coordinator,Coordinator,51.61904761904762,4.00594795867583,0.035727523809523806,0.13440534378015595,246.0,7.0,168.33333333333334
Ledvance Bulb,Bulb,52.5,3.0166206257996713,0.005206,0.0023004022256988017,218.0,132.0,148.33333333333334
Moes Bulb,Bulb,52.6,8.988882021697693,0.1487562,0.32204264999872295,171.0,131.0,155.2
Philips Lamp 1,Bulb,51.0,3.605551275463989,0.00805,0.00834803731424339,219.0,7.0,78.0
Philips Lamp 2,Bulb,51.0,3.605551275463989,0.20931266666666667,0.35737438690305345,246.0,215.0,235.33333333333334
Philips Motion,Bulb,51.0,3.605551275463989,0.010077333333333334,0.008797924603753622,216.0,145.0,169.0
Smart Socket,Socket,57.5,7.7781745930520225,0.0064225,0.003943534518677376,221.0,199.0,210.0
Unknown,Unknown,5.0,0.0,0.0020143043478260863,0.0001368095673098555,246.0,7.0,165.2608695652174
Broadcast,Broadcast,77.0,0.0,0.002151,0.0,240.0,240.0,240.0
Coordinator,Coordinator,53.53703703703704,7.434526701924019,0.015871740740740742,0.05744503922591894,250.0,9.0,178.87037037037038
Ledvance Bulb,Bulb,49.92857142857143,4.232916537989193,0.0397805,0.11151429733015611,243.0,138.0,181.07142857142858
Philips Lamp 1,Bulb,53.714285714285715,1.6035674514745462,0.0034992857142857148,0.0031933479669612017,12.0,9.0,10.142857142857142
Philips Lamp 2,Bulb,53.5,1.7320508075688772,0.00391025,0.00246248159045572,250.0,247.0,248.5
Philips Motion,Bulb,53.5,1.7320508075688772,0.014046000000000001,0.013109672586809075,150.0,147.0,148.5
Power Plug 1,Socket,56.36363636363637,9.200790479874295,0.005564727272727273,0.0048232896469299685,236.0,179.0,206.8181818181818
Power Plug 2,Socket,53.375,9.956153875869939,0.00401275,0.0020487022896039757,255.0,217.0,240.125
Smart Socket,Socket,52.5,9.9498743710662,0.016623,0.009017827269728928,234.0,200.0,220.25
