Device Name,Device Type,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Ledvance Bulb,Bulb,66.0,12.328828005937952,0.0991552,0.18906679157297826,83.0,11.0,53.8
Ledvance Bulb,Bulb,63.4,10.691117808723277,0.10081219999999999,0.18801390774275184,192.0,12.0,90.0
Ledvance Bulb,Bulb,61.0,7.842193570679061,0.0146138,0.02118975735349511,193.0,81.0,126.2
Ledvance Bulb,Bulb,60.8,7.726577508832743,0.0050522,0.001879061654124207,193.0,82.0,132.0
Ledvance Bulb,Bulb,64.2,0.4472135954999579,0.006337200000000001,0.002571814573409211,193.0,5.0,116.6
Ledvance Bulb,Bulb,64.2,0.4472135954999579,0.0058366,0.0031292633797748637,193.0,5.0,119.0
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0048676,0.002925037657877246,193.0,5.0,81.8
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.004571799999999999,0.0030837004880500314,176.0,5.0,78.4
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0047902,0.0031215362724145946,177.0,5.0,91.8
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0038643999999999996,0.0015097229215985295,177.0,6.0,111.4
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.0036006,0.0019135243139296661,177.0,6.0,109.0
Ledvance Bulb,Bulb,64.6,0.5477225575051661,0.0036682,0.0019124023373756893,177.0,83.0,128.6
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0036795999999999995,0.0019052774863520536,177.0,83.0,115.4
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0033152,0.0015787994489484722,241.0,83.0,128.2
Ledvance Bulb,Bulb,64.4,0.5477225575051661,0.0030506,0.0012532921846082022,241.0,83.0,141.6
Ledvance Bulb,Bulb,62.4,4.159326868617084,0.0033576,0.0006711917013789727,241.0,84.0,141.8
Ledvance Bulb,Bulb,60.4,4.929503017546495,0.0032418000000000004,0.0006291587240116758,241.0,84.0,138.0
