Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
"Oct 13, 2023 16:44:26.000000",0.000000,65,0xebe5,0xffff,0x8841,69,0xebe5,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:26.008529",0.008529,77,0x482d,0xffff,0x8841,236,0x482d,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:27.207563",1.199034,74,0x6e5f,0xffff,0x8841,188,0x6e5f,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:27.797701",0.590138,77,0xe694,0xffff,0x8841,221,0xe694,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:27.805984",0.008283,71,0x09ac,0xffff,0x8841,228,0x09ac,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:29.147426",1.341442,77,0x054f,0xffff,0x8841,67,0x054f,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:29.183069",0.035643,12,0x2cae,0x0000,0x8863,2,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:29.183836",0.000767,5,,,0x0002,2,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:30.639557",1.455721,77,0x82eb,0xffff,0x8841,52,0x82eb,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:32.139936",1.500379,77,0xe5c4,0xffff,0x8841,11,0xe5c4,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:34.182627",2.042691,12,0x2cae,0x0000,0x8863,3,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:34.183394",0.000767,5,,,0x0002,3,,,,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:39.074776",4.891382,77,0x0000,0xffff,0x8841,110,0x0000,0xfffc,0x1209,,,AppInteraction1.pcapng
"Oct 13, 2023 16:44:39.246306",0.171530,12,0x2cae,0x0000,0x8863,4,,,,,,AppInteraction1.pcapng
