Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Coordinator,Coordinator,"Oct 13, 2023 16:11:04.000000",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.001969",0.001969,5,,,0x0002,2.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:11:04.004820",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.006766",0.001946,5,,,0x0002,78.0,,,,,,AppInteraction4.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 16:11:04.013874",,53,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.015952",0.002078,5,,,0x0002,226.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:11:04.030107",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.031917",0.00181,5,,,0x0002,3.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:11:04.035347",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.037134",0.001787,5,,,0x0002,79.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:11:04.055398",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.057368",0.00197,5,,,0x0002,4.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:11:04.059248",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.061193",0.001945,5,,,0x0002,80.0,,,,,,AppInteraction4.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 16:11:04.068181",,53,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.070260",0.002079,5,,,0x0002,227.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:11:04.083791",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.085601",0.00181,5,,,0x0002,5.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:11:04.089361",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.091147",0.001786,5,,,0x0002,81.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:11:04.109404",,56,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.111565",0.002161,5,,,0x0002,6.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:11:04.115090",,56,,,,,,,,,,AppInteraction4.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 16:11:04.124478",,71,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.127132",0.002654,5,,,0x0002,228.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:11:04.144092",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.145902",0.00181,5,,,0x0002,7.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:11:04.148394",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.150180",0.001786,5,,,0x0002,83.0,,,,,,AppInteraction4.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 16:11:04.463242",0.313062,12,0x2cae,0x0000,0x8863,64.0,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:04.464009",0.000767,5,,,0x0002,64.0,,,,,,AppInteraction4.pcapng
Ledvance Z3 Plug,Socket,"Oct 13, 2023 16:11:05.519101",1.055092,68,0x09ac,0xffff,0x8841,198.0,0x09ac,0xfffc,0x1209,,,AppInteraction4.pcapng
Moes Bulb,Bulb,"Oct 13, 2023 16:11:07.699939",2.180838,68,0xebe5,0xffff,0x8841,229.0,0xebe5,0xfffc,0x1209,,,AppInteraction4.pcapng
Philips Motion,Bulb,"Oct 13, 2023 16:11:08.571027",0.871088,77,0xe5c4,0xffff,0x8841,164.0,0xe5c4,0xfffc,0x1209,,,AppInteraction4.pcapng
Philips Lamp 2,Bulb,"Oct 13, 2023 16:11:08.861863",0.290836,74,0xa209,0xffff,0x8841,14.0,0xa209,0xfffc,0x1209,,,AppInteraction4.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 16:11:09.494081",0.632218,12,0x2cae,0x0000,0x8863,65.0,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:09.494848",0.000767,5,,,0x0002,65.0,,,,,,AppInteraction4.pcapng
Ledvance Bulb,Bulb,"Oct 13, 2023 16:11:11.428083",1.933235,77,0x054f,0xffff,0x8841,84.0,0x054f,0xfffc,0x1209,,,AppInteraction4.pcapng
Power Plug 1,Socket,"Oct 13, 2023 16:11:12.341333",0.91325,74,0x6e5f,0xffff,0x8841,217.0,0x6e5f,0xfffc,0x1209,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:11:13.012006",0.670673,77,0xe694,0xffff,0x8841,222.0,0xe694,0xfffc,0x1209,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:11:13.968908",,57,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:13.971115",0.002207,5,,,0x0002,223.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:11:14.012416",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:14.014360",0.001944,5,,,0x0002,8.0,,,,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:11:14.019980",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:14.021803",0.001823,5,,,0x0002,224.0,,,,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:11:14.034304",,63,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:14.036703",0.002399,5,,,0x0002,225.0,,,,,,AppInteraction4.pcapng
Coordinator,Coordinator,"Oct 13, 2023 16:11:14.078900",,50,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:14.080851",0.001951,5,,,0x0002,9.0,,,,,,AppInteraction4.pcapng
Smart Socket,Socket,"Oct 13, 2023 16:11:14.086340",,45,,,,,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:14.088162",0.001822,5,,,0x0002,226.0,,,,,,AppInteraction4.pcapng
Philips Lamp 3,Motion,"Oct 13, 2023 16:11:14.527467",0.439305,12,0x2cae,0x0000,0x8863,66.0,,,,,,AppInteraction4.pcapng
Unknown,Unknown,"Oct 13, 2023 16:11:14.528234",0.000767,5,,,0x0002,66.0,,,,,,AppInteraction4.pcapng
Power Plug 2,Socket,"Oct 13, 2023 16:11:15.570677",1.042443,74,0xc8f0,0xffff,0x8841,238.0,0xc8f0,0xfffc,0x1209,,,AppInteraction4.pcapng
Ledvance Smart+ Plug,Socket,"Oct 13, 2023 16:11:16.032263",0.461586,77,0x82eb,0xffff,0x8841,32.0,0x82eb,0xfffc,0x1209,,,AppInteraction4.pcapng
