Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
"Oct 27, 2023 18:54:40.000000000",0.0,104,0x5bb9,0xffff,149.0,,
"Oct 27, 2023 18:54:40.686435000",0.686435,68,0x1e15,0xffff,173.0,0x1e15,0xfffc
"Oct 27, 2023 18:54:41.466318000",0.779883,52,0x0000,0xe1a6,158.0,0x0000,0xe1a6
"Oct 27, 2023 18:54:41.468334000",0.002016,5,,,158.0,,
"Oct 27, 2023 18:54:41.475643000",0.007309,63,0xe1a6,0x0000,97.0,0xe1a6,0x0000
"Oct 27, 2023 18:54:41.478042000",0.002399,5,,,97.0,,
"Oct 27, 2023 18:54:41.525570000",0.047528,52,0x0000,0x3d95,159.0,0x0000,0x3d95
"Oct 27, 2023 18:54:41.527588000",0.002018,5,,,159.0,,
"Oct 27, 2023 18:54:41.534894000",0.007306,63,0x3d95,0x0000,161.0,0x3d95,0x0000
"Oct 27, 2023 18:54:41.537293000",0.002399,5,,,161.0,,
"Oct 27, 2023 18:54:41.566811000",0.029518,45,0x0000,0xe1a6,160.0,0x0000,0xe1a6
"Oct 27, 2023 18:54:41.568603000",0.001792,5,,,160.0,,
"Oct 27, 2023 18:54:41.573648000",0.005045,54,0x0000,0xe1a6,161.0,0x0000,0xe1a6
"Oct 27, 2023 18:54:41.575728000",0.00208,5,,,161.0,,
"Oct 27, 2023 18:54:41.583025000",0.007297,66,0xe1a6,0x0000,98.0,0xe1a6,0x0000
"Oct 27, 2023 18:54:41.585520000",0.002495,5,,,98.0,,
"Oct 27, 2023 18:54:41.586678000",0.001158,54,0x0000,0x3d95,162.0,0x0000,0x3d95
"Oct 27, 2023 18:54:41.588747000",0.002069,5,,,162.0,,
"Oct 27, 2023 18:54:41.596051000",0.007304,66,0x3d95,0x0000,162.0,0x3d95,0x0000
"Oct 27, 2023 18:54:41.598546000",0.002495,5,,,162.0,,
"Oct 27, 2023 18:54:41.617385000",0.018839,54,0x0000,0xa706,163.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.625340000",0.007955,54,0x0000,0xa706,163.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.659660000",0.03432,45,0x0000,0x3d95,164.0,0x0000,0x3d95
"Oct 27, 2023 18:54:41.661452000",0.001792,5,,,164.0,,
"Oct 27, 2023 18:54:41.667844000",0.006392,52,0x0000,0xa706,165.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.669853000",0.002009,5,,,165.0,,
"Oct 27, 2023 18:54:41.672358000",0.002505,52,0x0000,0xa706,165.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.674375000",0.002017,5,,,165.0,,
"Oct 27, 2023 18:54:41.676007000",0.001632,52,0x0000,0xa706,165.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.678013000",0.002006,5,,,165.0,,
"Oct 27, 2023 18:54:41.679112000",0.001099,52,0x0000,0xa706,165.0,0x0000,0xa706
"Oct 27, 2023 18:54:41.685244000",0.006132,63,0x5235,0x2766,87.0,,
"Oct 27, 2023 18:54:41.690375000",0.005131,63,0xa706,0x0000,87.0,,
