Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
2023-10-27 17:33:12.000000,52,0x0000,0xe1a6,43.0,0x0000,0xe1a6,0.0
2023-10-27 17:33:12.002017,5,0xe1a6,0x0000,43.0,,,0.002017
2023-10-27 17:33:12.009325,63,0xe1a6,0x0000,174.0,,,0.007308
2023-10-27 17:33:12.011724,5,0x0000,0xe1a6,174.0,,,0.002399
2023-10-27 17:33:12.034059,52,0x0000,0x3d95,44.0,,,0.022335
2023-10-27 17:33:12.036064,5,0x3d95,0x0000,44.0,,,0.002005
2023-10-27 17:33:12.043198,63,0x3d95,0x0000,95.0,,,0.007134
2023-10-27 17:33:12.045597,5,0x0000,0x3d95,95.0,,,0.002399
2023-10-27 17:33:12.048617,45,0x0000,0xe1a6,45.0,0x0000,0xe1a6,0.00302
2023-10-27 17:33:12.050410,5,0xe1a6,0x0000,45.0,,,0.001793
2023-10-27 17:33:12.068661,54,0x0000,0xe1a6,46.0,,,0.018251
2023-10-27 17:33:12.070741,5,0xe1a6,0x0000,46.0,,,0.00208
2023-10-27 17:33:12.078008,66,0xe1a6,0x0000,175.0,0xe1a6,0x0000,0.007267
2023-10-27 17:33:12.080503,5,0x0000,0xe1a6,175.0,,,0.002495
2023-10-27 17:33:12.089980,45,0x0000,0x3d95,47.0,0x0000,0x3d95,0.009477
2023-10-27 17:33:12.091773,5,0x3d95,0x0000,47.0,,,0.001793
2023-10-27 17:33:12.106928,54,0x0000,0x3d95,48.0,0x0000,0x3d95,0.015155
2023-10-27 17:33:12.109004,5,0x3d95,0x0000,48.0,,,0.002076
2023-10-27 17:33:12.116334,66,0x3d95,0x0000,96.0,,,0.00733
2023-10-27 17:33:12.118829,5,0x0000,0x3d95,96.0,,,0.002495
2023-10-27 17:33:12.127289,54,0x0000,0xa706,49.0,,,0.00846
2023-10-27 17:33:12.129371,5,0xa706,0x0000,49.0,,,0.002082
2023-10-27 17:33:12.136907,66,0xa706,0x0000,36.0,,,0.007536
2023-10-27 17:33:12.139402,5,0x0000,0xa706,36.0,,,0.002495
2023-10-27 17:33:12.140244,45,0x0000,0xe1a6,50.0,,,0.000842
2023-10-27 17:33:12.142029,5,0xe1a6,0x0000,50.0,,,0.001785
