Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-27 17:02:47.000000,10,,0xffff,211.0,,,0.0
Philips Lamp 1,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.004604,28,0x1cd8,,137.0,,,0.004604
Power Plug 1,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.006752,28,0x3d95,,53.0,,,0.002148
Philips Lamp 3,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.010208,28,0x711c,,163.0,,,0.003456
Philips Lamp 2,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.015475,28,0x5bb9,,170.0,,,0.005267
Ledvance Smart+ Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.031847,28,0x0112,,218.0,,,0.016372
Ledvance Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.033684,28,0xec7f,,164.0,,,0.001837
Moes Bulb,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.037674,28,0x1e15,,255.0,,,0.00399
Coordinator,Coordinator,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.049007,28,0x0000,,86.0,,,0.011333
Ledvance Z3 Plug,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.061933,28,0x4e11,,98.0,,,0.012926
Power Plug 2,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.093607,28,0xa706,,188.0,,,0.031674
Smart Socket,Socket,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:47.102784,28,0xe1a6,,79.0,,,0.009177
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-27 17:02:50.654348,52,0x0000,0xa706,87.0,,,3.551564
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-27 17:02:50.656355,5,0xa706,0x0000,87.0,,,0.002007
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-27 17:02:50.657381,52,0x0000,0xa706,87.0,,,0.001026
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-27 17:02:50.659393,5,0xa706,0x0000,87.0,,,0.002012
Power Plug 2,Socket,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-27 17:02:50.660618,52,0xa706,0x5bb9,189.0,,,0.001225
Philips Lamp 2,Bulb,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-27 17:02:50.662665,5,0x5bb9,0xa706,189.0,,,0.002047
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:50.664131,52,0x4050,0xc914,190.0,,,0.001466
Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-27 17:02:50.673580,52,0xa706,0x5bb9,190.0,0x0000,0x5bb9,0.009449
Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,Philips Lamp 2,Bulb,2023-10-27 17:02:50.678226,52,0xa706,0x5bb9,190.0,0x0000,0x5bb9,0.004646
Philips Lamp 2,Bulb,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-27 17:02:50.680274,5,0x5bb9,0xa706,190.0,,,0.002048
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:50.683372,5,,,171.0,,,0.003098
Power Plug 2,Socket,Coordinator,Coordinator,Unknown,Unknown,,,2023-10-27 17:02:50.687016,57,0xa706,0x0000,191.0,,,0.003644
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-27 17:02:50.689223,5,0x0000,0xa706,191.0,,,0.002207
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-27 17:02:50.716298,50,0x5bb9,0xa706,172.0,0x5bb9,0x0000,0.027075
Power Plug 2,Socket,Philips Lamp 2,Bulb,Unknown,Unknown,,,2023-10-27 17:02:50.718252,5,0xa706,0x5bb9,172.0,,,0.001954
Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,2023-10-27 17:02:50.721763,50,0xa706,0x0000,192.0,0x5bb9,0x0000,0.003511
Coordinator,Coordinator,Power Plug 2,Socket,Unknown,Unknown,,,2023-10-27 17:02:50.723746,5,0x0000,0xa706,192.0,,,0.001983
Unknown,Unknown,Broadcast,Broadcast,Unknown,Unknown,,,2023-10-27 17:02:51.418368,10,,0xffff,211.0,,,0.694622
Philips Lamp 1,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:51.432803,28,0x1cd8,,138.0,,,0.014435
Philips Lamp 2,Bulb,Unknown,Unknown,Unknown,Unknown,,,2023-10-27 17:02:51.436159,28,0x5bb9,,173.0,,,0.003356
