Group,Group Type,Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee,Delta Time
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-27 17:33:12.000000,52,0x0000,0xe1a6,43.0,0x0000,0xe1a6,0.0
Coordinator,Coordinator,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,2023-10-27 17:33:12.048617,45,0x0000,0xe1a6,45.0,0x0000,0xe1a6,0.00302
Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,Smart Socket,Socket,Coordinator,Coordinator,2023-10-27 17:33:12.078008,66,0xe1a6,0x0000,175.0,0xe1a6,0x0000,0.007267
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-27 17:33:12.089980,45,0x0000,0x3d95,47.0,0x0000,0x3d95,0.009477
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 1,Socket,Coordinator,Coordinator,Power Plug 1,Socket,2023-10-27 17:33:12.106928,54,0x0000,0x3d95,48.0,0x0000,0x3d95,0.015155
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-27 17:33:12.156943,52,0x0000,0xa706,51.0,0x0000,0xa706,0.014914
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-27 17:33:12.192168,45,0x0000,0xa706,54.0,0x0000,0xa706,0.006004
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-27 17:33:12.195587,45,0x0000,0xa706,54.0,0x0000,0xa706,0.003419
Coordinator,Coordinator,Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Power Plug 2,Socket,2023-10-27 17:33:12.198792,45,0x0000,0xa706,54.0,0x0000,0xa706,0.001411
Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,Ledvance Bulb,Bulb,Coordinator,Coordinator,2023-10-27 17:33:15.235369,55,0xec7f,0x0000,214.0,0xec7f,0x0000,0.011688
