Device Name,Device Type,File Name,UP_Average Packet Length,UP_Packet Standard Variance,UP_Maximum Packet Length,UP_Minimum Packet Length,UP_Median Packet Length,UP_Kurtosis Packet Length,UP_Skew Packet Length,UP_Mad Packet Length,UP_Length,UP_Average IAT,UP_IAT Standard Variance,UP_Maximum IAT,UP_Minimum IAT,UP_Median IAT,UP_Kurtosis IAT,UP_Skew IAT,UP_Mad IAT,TOT_Average Packet Length,TOT_Packet Standard Variance,TOT_Maximum Packet Length,TOT_Minimum Packet Length,TOT_Median Packet Length,TOT_Kurtosis Packet Length,TOT_Skew Packet Length,TOT_Mad Packet Length,TOT_Length,TOT_Average IAT,TOT_IAT Standard Variance,TOT_Maximum IAT,TOT_Minimum IAT,TOT_Median IAT,TOT_Kurtosis IAT,TOT_Skew IAT,TOT_Mad IAT,DOWN_Average Packet Length,DOWN_Packet Standard Variance,DOWN_Maximum Packet Length,DOWN_Minimum Packet Length,DOWN_Median Packet Length,DOWN_Kurtosis Packet Length,DOWN_Skew Packet Length,DOWN_Mad Packet Length,DOWN_Length,DOWN_Average IAT,DOWN_IAT Standard Variance,DOWN_Maximum IAT,DOWN_Minimum IAT,DOWN_Median IAT,DOWN_Kurtosis IAT,DOWN_Skew IAT,DOWN_Mad IAT
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,1.227576,,1.227576,1.227576,1.227576,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,1.227576,,1.227576,1.227576,1.227576,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,77.0,0.0,77.0,77.0,77.0,,,0.0,2.0,1.227576,,1.227576,1.227576,1.227576,,,0.0,77.0,0.0,77,77,77.0,,,0.0,2,1.227576,,1.227576,1.227576,1.227576,,,0.0,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,77.0,0.0,77.0,77.0,77.0,,0.0,0.0,3.0,1.526666,0.42297713437016893,1.825756,1.227576,1.526666,,,0.29908999999999997,77.0,0.0,77,77,77.0,,0.0,0.0,3,1.526666,0.42297713437016893,1.825756,1.227576,1.526666,,,0.29908999999999997,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,76.25,1.5,77.0,74.0,77.0,4.0,-1.9999999999999998,1.125,4.0,1.2685896666666667,0.537833626301232,1.825756,0.752437,1.227576,,0.3411617223356922,0.37144422222222223,76.25,1.5,77,74,77.0,4.0,-1.9999999999999998,1.125,4,1.2685896666666667,0.537833626301232,1.825756,0.752437,1.227576,,0.3411617223356922,0.37144422222222223,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,1.2890964999999999,0.7589511432763639,1.825756,0.752437,1.2890964999999999,,,0.5366595,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,1.2890964999999999,0.7589511432763639,1.825756,0.752437,1.2890964999999999,,,0.5366595,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,1.688844,1.3242794793011028,2.625251,0.752437,1.688844,,,0.936407,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,1.688844,1.3242794793011028,2.625251,0.752437,1.688844,,,0.936407,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,76.0,1.7320508075688772,77.0,74.0,77.0,,-1.7320508075688774,1.3333333333333333,3.0,1.688844,1.3242794793011028,2.625251,0.752437,1.688844,,,0.936407,76.0,1.7320508075688772,77,74,77.0,,-1.7320508075688774,1.3333333333333333,3,1.688844,1.3242794793011028,2.625251,0.752437,1.688844,,,0.936407,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,56.0,10.371664696249516,77.0,51.0,51.0,0.9926879467521683,1.688249733496909,8.0,15.0,0.32597314285714285,0.7570512850341278,2.625251,0.0035,0.0449955,7.13329437275534,2.7259859745978376,0.4845539591836735,56.0,10.371664696249516,77,51,51.0,0.9926879467521683,1.688249733496909,8.0,15,0.32597314285714285,0.7570512850341278,2.625251,0.0035,0.0449955,7.13329437275534,2.7259859745978376,0.4845539591836735,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,54.9,9.525036261845607,77.0,51.0,51.0,2.7758554402153033,2.123059867312663,6.63,20.0,0.13160031578947368,0.31737675717356156,1.418573,0.0035,0.039217,17.426524857451312,4.111151077143114,0.14831334072022162,54.9,9.525036261845607,77,51,51.0,2.7758554402153033,2.123059867312663,6.63,20,0.13160031578947368,0.31737675717356156,1.418573,0.0035,0.039217,17.426524857451312,4.111151077143114,0.14831334072022162,,,,,,,,,,,,,,,,,
Broadcast,Broadcast,./Data\Web_Interaction\Topology_B\4-Group_dataset\AppInteraction1_group.csv,54.9,9.525036261845607,77.0,51.0,51.0,2.7758554402153033,2.123059867312663,6.63,20.0,0.13160031578947368,0.31737675717356156,1.418573,0.0035,0.039217,17.426524857451312,4.111151077143114,0.14831334072022162,54.9,9.525036261845607,77,51,51.0,2.7758554402153033,2.123059867312663,6.63,20,0.13160031578947368,0.31737675717356156,1.418573,0.0035,0.039217,17.426524857451312,4.111151077143114,0.14831334072022162,,,,,,,,,,,,,,,,,
